concept_code,approved_cooking_novelty,approved_availability_georgia,approved_availability_tobias,approved_market_class_georgia,approved_market_class_tobias,availability_note_source,availability_note_override_georgia,availability_note_override_tobias,evidence_disposition,approval_status,source_review_head
PICKLED_GINGER,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
PIMENT_D_ESPELETTE,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
PIQUILLO_PEPPER,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
POBLANO,3,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
PRESERVED_LEMON,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
QUAIL,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Wachtelfleisch ist über mehrere spezialisierte Geflügel-/Fleischversender und Direktvermarkter beziehungsweise Wachtelzüchter erhältlich, gehört aber nicht zum breiten allgemeinen Fleischhandel.","Wachtelfleisch ist über mehrere spezialisierte Geflügel-/Fleischversender und Direktvermarkter beziehungsweise Wachtelzüchter erhältlich, gehört aber nicht zum breiten allgemeinen Fleischhandel.","AV2N-N-0084/AV2N-N-0085 bleiben historische PLANNED-Belege, dürfen die freigegebene Einstufung aber nicht überschreiben; die dort belegten spezialisierten Versandwege sind für den Abschlussstand als SPECIALTY_BROAD zu interpretieren und durch weitere unabhängige spezialisierte Wachtel-/Geflügelwege zu ergänzen.",APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
QUAIL_EGG,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
RICE_CAKES,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
ROMESCO,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
SALMON_ROE,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
