concept_code	display_name	applicability	current_weight	target_weight	change_status	comparison_group	anchor_code	rationale	exception_reference	source_reference
ALLSPICE	Piment	APPLICABLE	0.4500	0.7500	CHANGED	SPICES	CUMIN	Semantik: Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln. Vergleich: Kreuzkümmel (0.7500) in SPICES. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALMOND	Mandeln	APPLICABLE	0.6500	0.7500	CHANGED	NUTS	NUTS	Semantik: Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar. Vergleich: Nüsse (1.0000) in NUTS. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALMOND_BUTTER	Mandelmus	APPLICABLE	0.5500	0.5000	CHANGED	NUT_AND_SEED_PASTES	NUT_AND_SEED_PASTES	Semantik: Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma. Vergleich: Nuss- oder Samenpaste (1.0000) in NUT_AND_SEED_PASTES. Entscheidungsgrund: Produktform, Aromaprofil oder typische Funktion sind enger vorgegeben als beim Anker; die Zutat bleibt unterscheidbar, wird wegen dieser Bindung innerhalb der Familie aber kompakter gewichtet.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALMOND_DRINK	Mandelmilch	APPLICABLE	0.6000	0.7500	CHANGED	PLANT_DRINKS	SOY_DRINK	Semantik: Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst. Vergleich: Sojamilch (0.7500) in PLANT_DRINKS. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AMARANTH	Amaranth	APPLICABLE	0.4500	0.7500	CHANGED	GRAINS	GRAINS	Semantik: Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar. Vergleich: Getreide oder Pseudogetreide (1.0000) in GRAINS. Entscheidungsgrund: Getreideart oder Produktform sind benannt, lassen aber süße und herzhafte Anwendungen sowie mehrere Garmethoden zu; diese Breite trägt die eigenständige Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ANCHOVIES	Sardellen	APPLICABLE	0.4500	0.5000	CHANGED	PRESERVED_FISH	CANNED_SARDINES	Semantik: Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf. Vergleich: Sardinen aus der Dose (0.5000) in PRESERVED_FISH. Entscheidungsgrund: Die übliche gesalzene Konserve löst sich häufig als Würzkomponente auf und ist damit enger als ein frei wählbarer fettreicher Fisch; die gleiche Stufe wie Dosensardinen bildet diese konservierte Produktform ab.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ANCHO_CHILI	Ancho-Chili	APPLICABLE	0.3500	0.7500	CHANGED	DRIED_CHILI	DRIED_CHILI	Semantik: Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano. Vergleich: getrocknete Chili (1.0000) in DRIED_CHILI. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ANNATTO	Annatto	APPLICABLE	0.3000	0.5000	CHANGED	SPICES	CUMIN	Semantik: Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar. Vergleich: Kreuzkümmel (0.7500) in SPICES. Entscheidungsgrund: Annatto wird vor allem gezielt für orange-rote Farbe und eine milde erdige Note eingesetzt; diese enge Farb- und Würzfunktion ist weniger breit als die von Kreuzkümmel.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AONORI	Aonori	APPLICABLE	1.0000	0.5000	CHANGED	SEAWEED	SEAWEED	Semantik: Aromatische grüne Würzalge, getrocknet und fein geschnitten oder geflockt. Als Streu- und Würzzutat verwenden; Nori-Blätter und unspezifische grüne Algenprodukte bleiben getrennt. Vergleich: Algen (1.0000) in SEAWEED. Entscheidungsgrund: Aonori legt eine fein zerkleinerte grüne Algenwürze für Bestreuen und Einmischen fest; gegenüber offener Algenware ist die Produktform und Funktion deutlich enger.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
APPLE	Apfel	APPLICABLE	1.0000	0.7500	CHANGED	POME_FRUIT	POME_FRUIT	Semantik: Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen. Vergleich: Kernobst (1.0000) in POME_FRUIT. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
APPLE_CIDER_VINEGAR	Apfelessig	APPLICABLE	0.6500	0.7500	CHANGED	VINEGAR	VINEGAR	Semantik: Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider. Vergleich: Essig (1.0000) in VINEGAR. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
APRICOT	Aprikose	APPLICABLE	0.5500	0.7500	CHANGED	STONE_FRUIT	STONE_FRUIT	Semantik: Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch. Vergleich: Steinobst (1.0000) in STONE_FRUIT. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
APRICOT_PRESERVES	Aprikosenkonfitüre	APPLICABLE	0.5500	0.5000	CHANGED	PRESERVED_PRODUCE	PRESERVED_PRODUCE	Semantik: Süß-säuerliche, eingekochte Aprikosenzubereitung, glatt passiert oder mit Fruchtstücken. Als Füllung, Glasur oder fruchtige Würzkomponente verwendbar. Vergleich: konservierte pflanzliche Zutat (1.0000) in PRESERVED_PRODUCE. Entscheidungsgrund: Konservierung und konkrete Produktform prägen Geschmack, Textur oder weitere Verarbeitung bereits vor; innerhalb der Familie bleibt die Zutat eigenständig, aber enger als der unverarbeitete Rohstoff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AQUAVIT	Aquavit	APPLICABLE	0.2500	0.2500	UNCHANGED	COOKING_ALCOHOL	COOKING_ALCOHOL	Semantik: Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt. Vergleich: Kochalkohol (0.2500) in COOKING_ALCOHOL. Entscheidungsgrund: Der Alkohol ist als Kochzutat eine geschmacks- und verfahrensprägende Pflichtvorgabe; Sorte und Stil unterscheiden die Aufgabe zusätzlich, weshalb der einheitliche Kochalkoholvertrag 0,25 vorsieht.	COOKING_ALCOHOL_INDEPENDENT_LOW_WEIGHT	MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ARCTIC_CHAR	Arktischer Saibling	APPLICABLE	0.6000	0.7500	CHANGED	OILY_FISH	OILY_FISH	Semantik: Arktischer Saibling (Salvelinus alpinus), ein lachsartiger Kaltwasserfisch mit zartem, mäßig fettem Fleisch und mildem Geschmack. Vergleich: fettreicher Fisch (1.0000) in OILY_FISH. Entscheidungsgrund: Die Art beziehungsweise Tiergruppe ist festgelegt, Zuschnitt, Würzung und mehrere Gartechniken bleiben aber wählbar; das trägt eine eigenständige, gegenüber der offenen Familie leicht verdichtete Präsenz.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ARGENTINE_RED_SHRIMP	Argentinische Rotgarnele	APPLICABLE	0.4500	0.5000	CHANGED	SHRIMP	SHRIMP	Semantik: Natürliche rote Färbung; ganze oder geschälte Tiere, mit oder ohne Kopf und Schale, roh oder gegart sind zulässig. Andere Rot- oder Tiefseegarnelen zählen nicht. Vergleich: Garnelen (0.7500) in SHRIMP. Entscheidungsgrund: Konservierung oder stark festgelegte Produktform begrenzen Textur und Einsatz gegenüber frischer Rohware; die benannte Zutat bleibt dennoch ein eigenständiger Familienfall.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ARTICHOKE	Artischocke	APPLICABLE	0.6000	0.7500	CHANGED	FLOWER_VEGETABLES	FLOWER_VEGETABLES	Semantik: Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar. Vergleich: Blütengemüse (1.0000) in FLOWER_VEGETABLES. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ARUGULA	Rucola	APPLICABLE	0.8500	0.7500	CHANGED	SALAD_GREENS	SALAD_GREENS	Semantik: Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar. Vergleich: Blattsalat (1.0000) in SALAD_GREENS. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ASPARAGUS	Spargel	APPLICABLE	0.6000	0.7500	CHANGED	STEM_VEGETABLES	STEM_VEGETABLES	Semantik: Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung. Vergleich: Stängelgemüse (1.0000) in STEM_VEGETABLES. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AVOCADO	Avocado	APPLICABLE	0.8500	0.7500	CHANGED	TROPICAL_FRUIT	TROPICAL_FRUIT	Semantik: Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl. Vergleich: Tropenfrucht (1.0000) in TROPICAL_FRUIT. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BACON	Bacon	APPLICABLE	0.6500	0.5000	CHANGED	CURED_MEAT	CURED_MEAT	Semantik: Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren. Vergleich: gepökeltes oder luftgetrocknetes Fleisch (1.0000) in CURED_MEAT. Entscheidungsgrund: Rezeptur, Verarbeitung und typische Textur sind bei diesem benannten Produkt bereits wesentlich festgelegt; die Eigenständigkeit bleibt erhalten, die Familienverdichtung begrenzt aber seine relative Präsenz.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAGOONG	Bagoong	APPLICABLE	0.3500	0.5000	CHANGED	FERMENTED_SEASONINGS	FERMENTED_SEASONINGS	Semantik: Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar. Vergleich: fermentierte Würzzutat (1.0000) in FERMENTED_SEASONINGS. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAGOONG_ALAMANG	Bagoong alamang	APPLICABLE	0.3000	0.5000	CHANGED	SHRIMP_PASTE	SHRIMP_PASTE	Semantik: Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen. Vergleich: Garnelenpaste (0.5000) in SHRIMP_PASTE. Entscheidungsgrund: Produktform, Aromaprofil oder typische Funktion sind enger vorgegeben als beim Anker; die Zutat bleibt unterscheidbar, wird wegen dieser Bindung innerhalb der Familie aber kompakter gewichtet.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAGOONG_ISDA	Bagoong isda	APPLICABLE	0.2500	0.5000	CHANGED	BAGOONG	BAGOONG	Semantik: Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren. Vergleich: Bagoong (0.5000) in BAGOONG. Entscheidungsgrund: Produktform, Aromaprofil oder typische Funktion sind enger vorgegeben als beim Anker; die Zutat bleibt unterscheidbar, wird wegen dieser Bindung innerhalb der Familie aber kompakter gewichtet.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAGUETTE	Baguette	APPLICABLE	0.7500	0.7500	UNCHANGED	BREAD	BREAD	Semantik: Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot. Vergleich: Brot oder Fladenbrot (1.0000) in BREAD. Entscheidungsgrund: Getreideart oder Produktform sind benannt, lassen aber süße und herzhafte Anwendungen sowie mehrere Garmethoden zu; diese Breite trägt die eigenständige Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAKED_BEANS	Baked Beans	APPLICABLE	0.6500	0.5000	CHANGED	PRESERVED_PRODUCE	CANNED_TOMATOES	Semantik: Verzehrfertige weiße Bohnen in süßlich-würziger Tomatensauce, typischerweise als Konserve. Schlichte weiße Bohnen ohne Sauce und andere gewürzte Bohnen-Fertiggerichte sind nicht gemeint. Vergleich: Dosentomaten (0.7500) in PRESERVED_PRODUCE. Entscheidungsgrund: Tomatensauce, Süße und Verzehrfertigkeit sind bereits vorgegeben; gegenüber neutralen Dosentomaten bleibt deutlich weniger Freiheit für Geschmack und Gerichtsfunktion.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAKED_GOODS	Backware	NOT_APPLICABLE	1.0000	1.0000	UNCHANGED	STRUCTURE_ONLY	BAKED_GOODS	Reiner, nicht ziehbarer Strukturknoten mit Kindern, ohne eigene Availability, Novelty oder Rollen. Der historische technische Wert bleibt unverändert und dient ausdrücklich weder als fachlicher Zielwert noch als Anker für drawable Konzepte.	STRUCTURE_ONLY_NOT_APPLICABLE	MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BALSAMIC_VINEGAR	Balsamico	APPLICABLE	0.5500	0.7500	CHANGED	VINEGAR	VINEGAR	Semantik: Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Reifegrad und Dichte können variieren. Vergleich: Essig (1.0000) in VINEGAR. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BAMBOO_SHOOTS	Bambussprossen	APPLICABLE	0.5500	0.7500	CHANGED	STEM_VEGETABLES	STEM_VEGETABLES	Semantik: Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich. Vergleich: Stängelgemüse (1.0000) in STEM_VEGETABLES. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BANANA	Banane	APPLICABLE	0.7500	0.7500	UNCHANGED	TROPICAL_FRUIT	TROPICAL_FRUIT	Semantik: Reife Dessertbanane mit weichem, süßem Fruchtfleisch; nicht stärkehaltige Kochbanane. Vergleich: Tropenfrucht (1.0000) in TROPICAL_FRUIT. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BANANA_BLOSSOM	Bananenblüte	APPLICABLE	0.3500	0.7500	CHANGED	FLOWER_VEGETABLES	FLOWER_VEGETABLES	Semantik: Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte. Vergleich: Blütengemüse (1.0000) in FLOWER_VEGETABLES. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BANANA_KETCHUP	Bananenketchup	APPLICABLE	0.3500	0.5000	CHANGED	READY_SAUCES_AND_PASTES	MAYONNAISE	Semantik: Filipinische süß-säuerliche Würzsauce auf Bananenbasis, typischerweise tomatenketchupähnlich gewürzt und gefärbt. Vergleich: Mayonnaise (0.5000) in READY_SAUCES_AND_PASTES. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
BANANA_LEAVES	Bananenblätter	APPLICABLE	0.3000	0.7500	CHANGED	FRESH_HERBS	BASIL	Semantik: Große Bananenblätter als aromatisierende Hülle oder Unterlage zum Dämpfen, Kochen und Grillen; frisch oder tiefgekühlt verwendbar. Sie werden nicht als Blattgemüse gegessen und sind keine Konkretisierung der Bananenfrucht. Vergleich: Basilikum (0.7500) in FRESH_HERBS. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
