anchor_id,concept_code,display_name,proposed_availability_georgia,proposed_availability_tobias,anchor_role,market_basis,prior_effective_before_reset_georgia,prior_effective_before_reset_tobias,decision_status
AV2-032,TWAROG,Twaróg,SPECIALTY,PLANNED,PROFILE_BOUNDARY,Tobias profitiert von einem konkret plausibleren osteuropäischen Fachmarktweg; Georgia benötigt den breiten osteuropäischen Spezialhandel.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-033,THAI_BASIL,Thai-Basilikum,SPECIALTY,DIFFICULT,PROFILE_BOUNDARY,Georgia kann große Asia-Frischmärkte in Köln/Düsseldorf gezielt nutzen; für Tobias machen wenige Frischewege und Transport die Beschaffung nischig und fragil.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-034,CURRY_LEAVES,Curryblätter,SPECIALTY,DIFFICULT,PROFILE_BOUNDARY,Im großen indisch-asiatischen Spezialmarkt grundsätzlich etabliert; für Tobias bleibt die exakte frische/TK-Form wegen kleinerer lokaler Auswahl und Frischelogistik schwierig.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-035,GARLIC_CHIVES,Knoblauch-Schnittlauch,SPECIALTY,DIFFICULT,PROFILE_BOUNDARY,Georgia hat Zugang zu großen Asia-Frischsortimenten; Tobias hängt von wenigen frischen Versand- oder Zufallswegen ab.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-036,THAI_EGGPLANT,Thai-Aubergine,SPECIALTY,DIFFICULT,PROFILE_BOUNDARY,In großen Asia-Frischmärkten regelmäßig plausibel; für Tobias ist die frische exakte Form über enge und schwankende Wege zu beziehen.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-037,NATTO,Nattō,SPECIALTY,DIFFICULT,PROFILE_BOUNDARY,Georgia kann große japanisch-asiatische Kühl-/TK-Sortimente gezielt erreichen; Tobias hängt von wenigen geeigneten Kühlwegen ab.,PLANNED,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-038,BIRDS_EYE_CHILI,"Bird’s-Eye-Chili, frisch",SPECIALTY,SPECIALTY,PROFILE_BOUNDARY,Frische exakte Schoten sind typischer Spezialmarktartikel; Rostocker Asia-Läden sind keine EASY-Alltagsroute ein breiter Asia-Marktweg ist aber grundsätzlich plausibel.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-039,GOCHUJANG,Gochujang,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Regulärer Sortimentsartikel vieler unabhängiger breit aufgestellter Asia- und Korea-Händler; nicht bloß ein nationaler Nischenimport.,PLANNED,PLANNED,PROPOSED_FOR_HUMAN_APPROVAL
AV2-040,GOCHUGARU,Gochugaru,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Bei vielen breit aufgestellten Asia-/Korea-Händlern regulär erhältlich im allgemeinen Handel aber nicht zuverlässig.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-041,BLACK_VINEGAR,chinesischer schwarzer Essig,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Breit im chinesisch-asiatischen Spezialmarkt etabliert; mehrere Marken und unabhängige Händler sind üblich.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-042,BONITO_FLAKES,Bonitoflocken,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Reguläres Produkt vieler japanisch-asiatischer Spezialhändler jedoch kein allgemeiner deutscher Handelsstandard.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-043,PANDAN_LEAVES,Pandanblätter,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Frisch oder TK bei vielen südostasiatisch orientierten Spezialhändlern üblich; Produktform und Kühlung bleiben zu beachten.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-044,DUMPLING_WRAPPERS,Dumpling-Hüllen,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Breit in Asia-Kühl-/TK-Sortimenten etabliert aber nicht allgemeiner Handel und wegen Kühlform nicht PLANNED.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-045,BANANA_BLOSSOM,Bananenblüte,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Konservierte Ware ist bei vielen breit aufgestellten Asia-Händlern regulär erhältlich.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-046,KOMBU,Kombu,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Breit im japanisch-asiatischen Spezialmarkt etabliert; viele unabhängige Händler und Marken.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-047,DRIED_SHRIMP,getrocknete Garnelen,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Regulärer Artikel vieler unabhängiger Asia-Händler; haltbar und ohne enge nationale Importabhängigkeit.,PLANNED,PLANNED,PROPOSED_FOR_HUMAN_APPROVAL
AV2-048,DOUBANJIANG,Doubanjiang,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Breit in chinesisch-asiatischen Spezialsortimenten geführt; mehrere Marken und unabhängige Händler.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-049,FERMENTED_BLACK_BEANS,fermentierte schwarze Bohnen,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Typischer Artikel des breiten chinesisch-asiatischen Spezialhandels aber kein allgemeiner deutscher Standard.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-050,KECAP_MANIS,Kecap Manis,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Bei vielen breit aufgestellten Asia-Händlern regulär verfügbar; allgemeine Supermarktpräsenz reicht nicht für PLANNED als sichere Regel.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-051,KLIPPFISH,Klippfisch,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Im portugiesisch-/spanisch geprägten Spezialmarkt breit als gesalzener Trockenfisch etabliert; klare Abgrenzung zu ungesalzenem Stockfisch.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-052,BANANA_LEAVES,Bananenblätter,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Frisch oder TK bei mehreren breit aufgestellten Asia-Händlern üblich; lokale Zufallsfunde ändern die Marktklasse nicht.,PLANNED,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-053,FENUGREEK,Bockshornklee,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Breit im indisch-/arabisch geprägten Gewürz- und Spezialhandel etabliert aber kein robuster allgemeiner Handelsstandard.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-054,BOMBA_RICE,Bomba-Reis,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Reguläres Produkt vieler spanischer und mediterraner Spezialhändler aber nicht breit genug für allgemeinen PLANNED-Handel.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-055,YEAST_EXTRACT,Hefeextrakt,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Exakte Produkte wie Marmite sind im internationalen Spezialhandel stabil erhältlich aber nicht als breiter allgemeiner deutscher Standard abgesichert.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-056,MAM_NEM,Mắm nêm,SPECIALTY,SPECIALTY,SPECIALTY_GATE,"Exakte Produkte sind bei mehreren unabhängigen deutschen, niederländischen und breiter aufgestellten Asia-Händlern regulär gelistet; damit breiter Spezialmarkt, nicht bloß ein einzelner Vietnam-Importeur.",,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-057,MAM_TOM,Mắm tôm,SPECIALTY,SPECIALTY,SPECIALTY_GATE,Exakte Mắm-tôm-Produkte werden von mehreren unabhängigen deutschen Asia-Händlern regulär angeboten; national geprägt aber inzwischen ausreichend breit im einschlägigen Spezialmarkt.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-058,BAGOONG,Bagoong,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Trotz mehrerer Listings bleibt der Markt überwiegend auf philippinische beziehungsweise eng importierende Händler beschränkt; kein breiter allgemeiner Asia-Spezialmarkt.,PLANNED,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-059,BAGOONG_ALAMANG,Bagoong alamang,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Mehrere Angebote stammen aus engem philippinischem Importmarkt; Varianten und Bestände sind nicht mit breiter Spezialmarktpräsenz gleichzusetzen.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-060,BAGOONG_ISDA,Bagoong isda,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Fischbasiertes Bagoong ist enger als die bereits nischige Garnelenform; wenige nationale Importwege und hohe Formverwechslungsgefahr.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-061,MAM_RUOC,Mắm ruốc,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Nur wenige vietnamesisch ausgerichtete Händler führen die exakte fermentierte Würze; der Markt ist national nischig.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-062,UBE,Ube,DIFFICULT,DIFFICULT,DIFFICULT_GATE,"Die zulässigen Formen frisch, TK oder ungesüßtes reines Püree sind deutlich seltener als Pulver, Aroma und gesüßte Aufstriche; enger philippinischer Import- und Kühlmarkt.",SPECIALTY,DIFFICULT,PROPOSED_FOR_HUMAN_APPROVAL
AV2-063,LONGGANISA,Longganisa,DIFFICULT,DIFFICULT,DIFFICULT_GATE,"Philippinische Kühl-/TK-Wurst über wenige nationale Spezialhändler; wechselnde Sorten, Bestand und Kühlweg verhindern breite Spezialmarktannahme.",PLANNED,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-064,ALIGUE,Aligue,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Sehr enger philippinischer Nischenimport; kein robuster deutscher Spezialmarkt.,DIFFICULT,DIFFICULT,PROPOSED_FOR_HUMAN_APPROVAL
AV2-065,CALAMANSI,Calamansi,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Zulässig sind frische Frucht oder ungesüßter sortenreiner Saft; verbreitete gesüßte Konzentrate zählen nicht passende Wege bleiben eng.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-066,FISH_MINT,Fischminze,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Essbare lebende Pflanze beziehungsweise frische Blätter nur über wenige spezialisierte Pflanzen- oder Asia-Wege; keine breite Spezialmarktware.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-067,CORIANDER_ROOT,Korianderwurzel,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Exakte frische Wurzel nur bei wenigen Frischeimporteuren; Koriandergrün mit Wurzelrest ist kein sicherer Ersatz.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-068,LA_LOT_LEAVES,Lá-lốt-Blätter,DIFFICULT,DIFFICULT,DIFFICULT_GATE,"Wenige vietnamesisch orientierte Frischehändler, schwankender Bestand und Frischelogistik.",,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-069,HOLY_BASIL,Krapao / Holy Basil,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Exaktes Holy Basil ist deutlich seltener als Thai-Basilikum/Horapa und hängt von wenigen frischen Spezialwegen ab.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-070,STOCKFISH,"Stockfisch, ungesalzen",DIFFICULT,DIFFICULT,DIFFICULT_GATE,Wenige norwegisch/afrikanisch/adria-spezialisierte Wege und hohe Verwechslungsgefahr mit gesalzenem Klippfisch/Bacalhau.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-071,FLATBROD,Flatbrød,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Enges norwegisches Importsortiment; einzelne Listings und schwankender Bestand genügen nicht für breite Spezialmarktpräsenz.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-072,LEFSE,Lefse,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Enger norwegischer Fertigproduktimport mit wenigen Händlern und periodischem Bestand.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-073,PINNEKJOTT,Pinnekjøtt,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Saisonaler norwegischer Fleischimport über wenige Spezialhändler; genaue Produktform und Lieferfenster sind fragil.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-074,FROG_LEGS,Froschschenkel,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Wenige TK-Spezialwege und notwendige Tiefkühllogistik; keine breite Präsenz im allgemeinen Asia-/Feinkostmarkt.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-075,FRESHWATER_SNAILS,Süßwasserschnecken,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Exaktes TK-Schneckenfleisch über wenige Spezialimporteure und Tiefkühlversand; enger Markt.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-076,SEA_SNAILS,Meeresschnecken,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Einige koreanische Dosenprodukte belegen Beschaffbarkeit aber der Markt bleibt eng und produktformspezifisch.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-077,PEA_EGGPLANT,Erbsenaubergine,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Exakte frische Solanum-torvum-Ware über wenige Frischeimporteure; Bestand und Zustellung sind fragil.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-078,NIPA_PALM_VINEGAR,Nipapalmenessig,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Enge philippinische Importware mit erheblicher Verwechslungsgefahr zu Kokos- oder Zuckerrohressig.,DIFFICULT,DIFFICULT,PROPOSED_FOR_HUMAN_APPROVAL
AV2-079,TAI_PLA,Tai Pla,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Sehr enge südthailändische Würze; wenige oder uneindeutige Importwege andere Fischwürzen zählen nicht.,DIFFICULT,DIFFICULT,PROPOSED_FOR_HUMAN_APPROVAL
AV2-080,GIO_LUA,Giò lụa / Chả lụa,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Nationale vietnamesische Kühlware über wenige geeignete Händler; Produktform und Kühlzustellung sind nicht breit robust.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-081,PICKLED_SAUSAGE,eingelegte Wurst,DIFFICULT,DIFFICULT,DIFFICULT_GATE,Konkrete mittel-/osteuropäische Fertigprodukte nur über enge nationale Spezialsortimente; keine breite allgemeine Verfügbarkeit.,SPECIALTY,SPECIALTY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-082,COM_ME,Mẻ / Cơm mẻ,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE_GATE,Kein realistischer wiederholbarer deutscher oder sinnvoller EU-Endkundenweg für die exakte fermentierte Reiswürze.,UNAVAILABLE,UNAVAILABLE,PROPOSED_FOR_HUMAN_APPROVAL
AV2-083,RAKFISK,Rakfisk,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE_GATE,Kein realistischer wiederholbarer deutscher/EU-Weg innerhalb des normalen Vorlaufs; gekühlte Herkunftslandware reicht nicht.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-084,READY_SAUCES_AND_PASTES,fertige Sauce oder Würzpaste,NOT_APPLICABLE,NOT_APPLICABLE,STRUCTURE_GATE,Ausdrücklich bestätigter reiner Strukturknoten; keine erfundenen Personenwerte.,NOT_APPLICABLE,NOT_APPLICABLE,PROPOSED_FOR_HUMAN_APPROVAL
