"evidence_id","evidence_type","checked_on","scope","person_relevance","evidence_role","supported_ratings","url","search_terms","finding","limitations"
"EV24","CATALOGUE","2026-09-03","COCKLES|RAZOR_CLAMS|SEA_SNAILS","Georgia|Tobias","CONTEXT_ONLY","","https://image.deutschesee.de/public/media/e9/6f/2d/1694693985/Meeresfruechte-Broschuere.pdf?ts=1694693985","Deutsche See Broschüre Herzmuscheln Schwertmuscheln Meeresschnecken","Die Handelsbroschüre nennt die drei Meeresfrüchtearten.","Sie bestätigt weder haushaltsüblichen Einzelverkauf noch aktuellen Bestand und trägt deshalb keine Bewertung."
"EV25","PRODUCT_PAGE","2026-09-03","GAC_FRUIT","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/gac-frucht/","Gấc Frucht TK Deutschland bestellen","Exakte Gấc-Frucht beziehungsweise tiefgekühltes Fruchtfleisch ist im deutschen Spezialversand gelistet.","Tiefkühlzustellung und Tagesbestand müssen geprüft werden."
"EV26","FORM_MISMATCH_REVIEW","2026-09-03","NIPA_PALM_VINEGAR","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://asianbrand.de/products/kokosnuss-essig-sukang-paombong-saeuregehalt-4-5-marca-pina-750ml","Nipapalmenessig Sukang Paombong Deutschland kaufen","Der konkret bestellbare Sukang-Paombong-Treffer besteht laut Zutaten aus Kokosessig und Zuckerrohressig und bestätigt damit nicht die geforderte Nipapalmenbasis.","Ein einzelner Formmismatch schließt neue Angebote nicht aus; am Stichtag fehlt ein exakter wiederholbarer Weg."
"EV27","FORM_AND_ROUTE_REVIEW","2026-09-03","UBE","Tobias","DECISION_LIMITATION","DIFFICULT","https://unitedbytea.de/products/ube-pulver","Ube frisch TK ungesüßtes Püree Deutschland Rostock","Der leicht erreichbare deutsche Treffer ist Pulver und erfüllt die freigegebene frische, tiefgekühlte oder ungesüßte Püreeform nicht.","Georgia besitzt eine andere bestätigte Spezialroute; für Tobias ist kein belastbarer Ersatzweg nach Rostock belegt."
"EV28","FORM_MISMATCH_REVIEW","2026-09-03","CALAMANSI","Georgia|Tobias","CONTEXT_ONLY","","https://www.filipinoasianstore.de/p/pick-und-squeeze-calamansi-concentrate-320ml","Calamansi ungesüßter Saft Deutschland kaufen","Das Produkt ist gesüßtes Konzentrat und damit eine sichtbare, aber unzulässige Alternativform.","Seit der exakten Evidenz EV41 trägt dieser Fehlformtreffer keine Bewertung."
"EV29","ORIGIN_ONLY_REVIEW","2026-09-03","ALIGUE","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://shopee.ph/PURE-Crab-Paste-ALIGUE-%28taba-ng-talangka%29-250grms-i.70650486.6645915735","Aligue crab paste Deutschland EU kaufen","Exakte Aligue war nur über ein Herkunftslandangebot belastbar auffindbar; kein deutscher oder problemlos erreichbarer EU-Haushaltsweg wurde bestätigt.","Herkunftsland-Marktplatz, Import- und Lieferfähigkeit nach Deutschland sind nicht verlässlich."
"EV30","NO_RETAIL_ROUTE_REVIEW","2026-09-03","TAI_PLA","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://www.thai-thaifood.de/kurze-makrele-pla-thu/","Tai Pla fermentierte Fischeingeweide Würze Deutschland kaufen","Deutsche Treffer betrafen andere Fischprodukte oder Fischwürzen; ein exaktes Tai-Pla-Angebot wurde nicht bestätigt.","Negativsuche ist stichtagsbezogen; verwandte Produkte sind keine zulässigen Ersatzformen."
"EV31","PRODUCT_PAGE","2026-09-03","VIETNAMESE_CORIANDER","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/vietnamesischer-koriander-rau-ram-100g/","vietnamesischer Koriander Rau răm frisch Deutschland bestellen","Die exakte frische Kräuterart ist als eigenes vorrätiges 100-g-Produkt im deutschen Asia-Frischeversand gelistet.","Die Quelle belegt weder Lá-lốt noch Reisfeldkraut; Frischebestand und Kühlweg bleiben zu prüfen."
"EV32","ORIGIN_AND_COLD_CHAIN_REVIEW","2026-09-03","RAKFISK","Georgia|Tobias","DECISION_LIMITATION","UNAVAILABLE","https://www.valdresrakfisken.no/bestilling/","Rakfisk Deutschland gekühlt bestellen","Die Bezugsseite beschreibt saisonale norwegische Bestellung beziehungsweise Abholung; ein wiederholbarer gekühlter Haushaltsweg nach Deutschland wurde nicht bestätigt.","Saisonale Herkunftslandverfügbarkeit reicht für die deutschen Personenprofile nicht aus."
"EV33","NO_RETAIL_ROUTE_REVIEW","2026-09-03","COM_ME","Georgia|Tobias","DECISION_LIMITATION","UNAVAILABLE","https://www.nagofa.de/collections/sonstige-gewurze","Cơm mẻ fermentierter Reis Deutschland kaufen","Die Prüfung eines deutschen vietnamesischen Fachsortiments und exakter Suchbegriffe ergab kein Cơm-mẻ-Retailangebot.","Kategorie und Negativsuche sind stichtagsbezogen; andere Reisfermente oder Essig sind kein Ersatz."
"EV34","PRODUCT_AND_STOCK_REVIEW","2026-09-03","POBLANO","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://www.obstwelt.com/products/poblano-chili-kaufen","frische Poblano Chili Deutschland kaufen","Exakte frische Poblano-Chilis sind als Haushaltsprodukt in 500-g- und 2-kg-Varianten gelistet, aber am Stichtag vollständig ausverkauft.","Bestand kann sich ändern; ein einzelner ausverkaufter Treffer belegt keinen wiederholbar lieferbaren Weg, und getrockneter Ancho ist kein Ersatz."
"EV35","PRODUCT_PAGE","2026-09-03","CLOUDBERRY","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.schweden-markt.de/moltebeeren-tk.html","ungesüßte TK Moltebeeren Deutschland bestellen","Exakte ungesüßte tiefgekühlte Moltebeeren sind mit Vorbestellfenster und terminiertem Tiefkühlversand gelistet.","Isoboxpflicht, Vorbestellung und Tagesbestand machen dies zu einer Spezialroute."
"EV36","PRODUCT_AND_STOCK_REVIEW","2026-09-03","LUTEFISK","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://www.scandmarkt.com/p/skaerhamns-gelaugter-stockfisch-ohne-haut-vakuumverpackt","Lutefisk Deutschland gekühlt bestellen","Exakter küchenfertiger Lutefisk war gelistet, am Stichtag aber nicht auf Lager und ausdrücklich kühlversandpflichtig.","Ein einzelner ausverkaufter Treffer belegt keinen wiederholbaren Bezug."
"EV37","FORM_MISMATCH_REVIEW","2026-09-03","NORWEGIAN_WAFFLE","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://www.ikea.com/de/de/p/vafflor-waffeln-gefr-30301964/","fertige norwegische Kardamomwaffel Deutschland kaufen","Der deutsche Treffer ist eine schwedische tiefgekühlte Herzwaffel; weitere Treffer waren Backmischungen statt der geforderten fertigen norwegischen Kardamomwaffel.","Die Quelle ist ausschließlich ein Formmismatch-Beleg und niemals generische Fallback-Evidenz."
"EV38","PRODUCT_PAGE","2026-09-03","HOLY_BASIL","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.asiatischer-lebensmittelladen.de/produkt/frisches-obst-gemuese/kraeuter/holy-basil-100g/","Holy Basil Tulsi frisch Deutschland bestellen","Die Seite listet Holy Basil ausdrücklich als frisches 100-g-Produkt im deutschen Asia-Fachversand.","Frischware und Bestand sind stichtagsabhängig; Thai-Basilikum Horapa ist kein Ersatz."
"EV39","PRODUCT_PAGE","2026-09-03","LA_LOT_LEAVES","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asia4friends.de/frische-pfefferblaetter-aus-asien-100g","Lá lốt Pfefferblätter frisch Deutschland bestellen","Exakte frische Lá-lốt-Pfefferblätter sind als haushaltsübliche 100-g-Ware bei einem deutschen Asia-Frischeversand gelistet.","Frische- beziehungsweise Kühlversand und Tagesbestand bleiben zu prüfen."
"EV40","PRODUCT_PAGE","2026-09-03","SEA_SNAILS","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.y-mart.de/de/kategorie/fertiggerichte-konserven/dosengerichte/dongwon-golbaengi.0883298616098-1075328607.html","Golbaengi Wellhornschnecken Dose Deutschland kaufen","Ein deutscher Asia-Händler listet eine haltbare Dose mit gewürzten Wellhornschnecken als haushaltsübliches Produkt.","Das Produkt enthält 43 Prozent Wellhornschnecken sowie Würzung; es trägt nur wegen der offenen Produktform des Katalogbegriffs."
"EV41","PRODUCT_PAGE","2026-09-03","CALAMANSI","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://pinoyfood.de/shop/obst-gemuese/obst-konserven-glas/good-sense-real-squeezed-calamansi-extract-500ml/","ungesüßter Calamansi Extrakt Deutschland bestellen","Ein deutscher Philippinen-Fachhändler listet sortenreinen ausgepressten Calamansi-Extrakt ohne Zucker als bestellbares Produkt.","Extrakt statt Frischfrucht, aber die freigegebene Produktform erlaubt ungesüßten sortenreinen Saft; Bestand ist stichtagsabhängig."
"EV42","PRODUCT_PAGE","2026-09-03","BAGOONG_ALAMANG","Georgia|Tobias","EXACT_RETAIL","PLANNED|SPECIALTY","https://www.asia-in.de/Monika-Salted-Tiny-Shrimp-Gesalzene-Garnelen-Bagoong-Alamang-340-g","Bagoong Alamang gesalzene kleine Garnelen Deutschland bestellen","Die exakte gesalzene kleine Garnelenpaste Bagoong Alamang ist bei einem deutschen Händler als bestellbare 340-g-Packung gelistet.","Spezialversand mit angegebener Lieferzeit; Tagesbestand bleibt zu prüfen."
"EV43","PRODUCT_PAGE","2026-09-03","PICKLED_SAUSAGE","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://tsche-deu.de/tschechische-produkte-fuer-alle/gekuehlte-feinkost/3227/utopenci-krajene-250g-in-essig-eingelegte-speckwuerste-geschnitten","Utopenci eingelegte Wurst Deutschland bestellen","Der deutsche Tschechien-Fachhandel listet exakt in Essig eingelegte Speckwürste als haushaltsübliche Packung.","Gekühlte Fachware; diese Seite belegt nur PICKLED_SAUSAGE und nicht Olmützer Quargel."
"EV44","PRODUCT_PAGE","2026-09-03","MOOSE","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://swedishwild.de/products/algfars","Elchfleisch Älgfärs Deutschland bestellen","Ein deutschsprachiger Skandinavien-Fachversand listet exakt Elchhackfleisch für Haushaltsbestellungen.","Tiefkühl- beziehungsweise Kühlversand und Bestand müssen geprüft werden."
"EV45","PRODUCT_PAGE","2026-09-03","REINDEER","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://swedishwild.de/products/renytterfile-putsad","Rentierfleisch Deutschland bestellen","Ein deutschsprachiger Skandinavien-Fachversand listet exakt Rentierfilet als konkretes Produkt.","Spezialpreis, Kühlversand und Tagesbestand; kein Alltagsangebot."
"EV46","PRODUCT_PAGE","2026-09-03","MORCILLA","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.carmenrosa-gourmet.de/morcilla-de-burgos-la-leyenda-burgos-blutwurst/","Morcilla de Burgos Deutschland bestellen","Ein deutscher Spanien-Fachhändler listet Morcilla de Burgos ausdrücklich als bestellbare Wurst.","Gekühlte Fachware und aktueller Bestand sind zu prüfen."
"EV47","PRODUCT_PAGE","2026-09-03","SOBRASADA","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.frischeparadies-shop.de/bio-sobrasada/143119","Sobrasada Deutschland bestellen","Der deutsche Feinkostversand listet exakt Bio-Sobrasada als haushaltsübliches Produkt.","Kühlversand und stichtagsabhängiger Bestand; keine Alltagsware."
"EV48","PRODUCT_PAGE","2026-09-03","COCKLES","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.deutschesee.de/shop/herzmuscheln-500g-82175.html","Herzmuscheln 500g Deutsche See bestellen","Der deutsche Endkundenshop listet Herzmuscheln als konkrete 500-g-Packung.","Frische- oder Kühlzustellung, regionales Liefergebiet und Bestand müssen geprüft werden."
"EV49","PRODUCT_PAGE","2026-09-03","RAZOR_CLAMS","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.deutschesee.de/shop/schwertmuscheln-500g-88697.html","Schwertmuscheln 500g Deutsche See bestellen","Der deutsche Endkundenshop listet Schwertmuscheln als konkrete 500-g-Packung.","Frische- oder Kühlzustellung, regionales Liefergebiet und Bestand müssen geprüft werden."
"EV50","PRODUCT_PAGE","2026-09-03","CORIANDER_ROOT","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://ohayo-asia.com/products/korianderwurzel-100g","Korianderwurzel frisch 100g Deutschland bestellen","Exakte frische Korianderwurzel ist als eigenes 100-g-Produkt in einem deutschen Asia-Shop gelistet und technisch bestellbar.","Die Seitendarstellung zeigte widersprüchliche Bestandsanzeige; vor Bestellung muss der reale Bestand verifiziert werden."
"EV51","PRODUCT_PAGE","2026-09-03","CULANTRO","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/mexikanischer-koriander-thailand-100g/","Culantro mexikanischer Koriander Rau mùi tàu Deutschland bestellen","Die exakte Kräuterart Culantro ist als 100-g-Frischprodukt mit Warenkorb und deutscher Lieferung gelistet.","Frische- und Kühlweg sowie Tagesbestand bleiben stichtagsabhängig."
"EV52","PRODUCT_PAGE","2026-09-03","FINGERROOT","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asia4friends.de/frischer-krachai-100g","Krachai Fingerroot frisch Deutschland bestellen","Exakter frischer Krachai beziehungsweise Fingerroot ist als 100-g-Produkt im deutschen Asia-Frischeversand gelistet.","Frischeversand und Tagesbestand müssen geprüft werden."
"EV53","FORM_MISMATCH_REVIEW","2026-09-03","GREEN_RICE_FLAKES","Georgia|Tobias","DECISION_LIMITATION","DIFFICULT","https://www.asiamarkt-halong.de/Com-Xanh-Gruener-Reisflocken-200g","Cốm xanh junge grüne Reisflocken Deutschland kaufen","Das deutsche Produkt besteht aus gekochtem und getrocknetem Klebreis mit Pandanextrakt und ist nicht als Flocken aus jungen grünen Reiskörnern bestätigt.","Ein passender Großhandelstreffer ist kein haushaltsüblicher Retailweg; Form und Route bleiben unbelegt."
"EV54","PRODUCT_PAGE","2026-09-03","PEA_EGGPLANT","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://chriskes-afro-beauty.de/produkt/fresh-turkey-berry-abedru-abada-200g/","frische Erbsenaubergine Turkey Berry Solanum torvum Deutschland bestellen","Der deutsche Verbraucherhändler listet exakte frische Turkey Berry beziehungsweise Erbsenaubergine, ausdrücklich Solanum torvum, als vorrätige 200-g-Packung mit Warenkorb und Deutschlandversand.","Nur eine aktuell bestätigte Quelle; Frischwarenbestand und Versandzeit schwanken, daher SPECIALTY statt PLANNED."
"EV55","PRODUCT_PAGE","2026-09-03","PERILLA_LEAVES","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/perilla-shiso-rau-tia-to-bund-100g/","Perillablätter Shiso Rau Tia To frisch Deutschland bestellen","Exakte frische Perilla- beziehungsweise Shisoblätter sind als vorrätiges 100-g-Bund im deutschen Asia-Frischeversand gelistet.","Frischezustellung und Tagesbestand müssen geprüft werden."
"EV56","PRODUCT_PAGE","2026-09-03","SAI_UA","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.yak-thai.de/products/sai-ua-extra-scharf-northailandische-grillwurst","Sai Ua nordthailändische Grillwurst Deutschland bestellen","Ein deutscher Thai-Fachhändler listet Sai Ua ausdrücklich als konkrete nordthailändische Grillwurst.","Gekühlte beziehungsweise tiefgekühlte Fachware; Bestand und Versandart sind zu prüfen."
"EV57","PRODUCT_PAGE","2026-09-03","STINKY_TOFU","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://bick.shop/food/1402-fermented-red-chili-bean-curd-wangzhihe-340g-fermentierter-tofu-in-chilioel-aus-china-stinktofu-6907592000019.html","Stinky Tofu fermentierter Tofu Deutschland bestellen","Der deutsche Fachshop listet ausdrücklich fermentierten Stinktofu in Chiliöl als haushaltsübliche Packung.","Konservierte gewürzte Form; sie ist nur wegen der offenen Katalogproduktform zulässig."
"EV58","PRODUCT_PAGE","2026-09-03","THAI_EGGPLANT","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://spicelands.de/produkt/frische-thai-auberginen-250g/","frische Thai Auberginen Deutschland bestellen","Frische Thai-Auberginen sind als konkrete 250-g-Packung im deutschen Spezialversand gelistet.","Frischebestand, Sorte und Zustelltag müssen vor Bestellung geprüft werden."
"EV59","PRODUCT_PAGE","2026-09-03","WATER_SPINACH","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://my-asia-shop.de/p/wasserspinat-thailaendisch-thailand-200g","Wasserspinat Kangkong frisch Deutschland bestellen","Ein deutscher Asia-Frischehändler listet exakten frischen Wasserspinat als 200-g-Produkt mit Warenkorb und deutschlandweitem DHL-Expressweg am nächsten Werktag.","Frischebestand und konkrete Zustellung bleiben stichtagsabhängig; der spezialisierte Expressweg ist keine lokale Standardbeschaffung."
"EV60","PRODUCT_PAGE","2026-09-03","GIO_LUA","Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/gio-lua-rinderschinken/","Giò lụa vietnamesische Wurst Deutschland bestellen","Ein deutscher Asia-Frischeversand listet ein ausdrücklich als Giò lụa bezeichnetes Wurstprodukt.","Titel und Beschreibung zur Fleischart sind widersprüchlich; daher Spezialroute und keine breitere Produktformbehauptung."
