"concept_code","display_name","challenge_specificity","direct_parent_codes","direct_child_codes","curator_note","review_applicability"
"BAGOONG","Bagoong","OPEN","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","BAGOONG_ALAMANG|BAGOONG_ISDA","Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar.","APPLICABLE"
"BAGOONG_ALAMANG","Bagoong alamang","SPECIFIC","BAGOONG|SHRIMP_PASTE","","Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen.","APPLICABLE"
"BAGOONG_ISDA","Bagoong isda","SPECIFIC","BAGOONG","","Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren.","APPLICABLE"
"BAGUETTE","Baguette","SPECIFIC","BREAD","","Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot.","APPLICABLE"
"BAKED_GOODS","Backware","OPEN","","BREAD|CROISSANT|KOLACHE|WAFFLES","Offene Familie gebackener oder vergleichbar ausgebackener stärkehaltiger Produkte; süße und herzhafte Formen sind umfasst.","NOT_APPLICABLE_STRUCTURE"
"BALSAMIC_VINEGAR","Balsamico","SPECIFIC","VINEGAR","","Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Reifegrad und Dichte können variieren.","APPLICABLE"
"BAMBOO_SHOOTS","Bambussprossen","SPECIFIC","STEM_VEGETABLES","","Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich.","APPLICABLE"
"BANANA","Banane","SPECIFIC","TROPICAL_FRUIT","","Reife Dessertbanane mit weichem, süßem Fruchtfleisch; nicht stärkehaltige Kochbanane.","APPLICABLE"
"BANANA_BLOSSOM","Bananenblüte","SPECIFIC","FLOWER_VEGETABLES","","Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte.","APPLICABLE"
"BANANA_KETCHUP","Bananenketchup","SPECIFIC","READY_SAUCES_AND_PASTES","","Filipinische süß-säuerliche Würzsauce auf Bananenbasis, typischerweise tomatenketchupähnlich gewürzt und gefärbt.","APPLICABLE"
"BANANA_LEAVES","Bananenblätter","SPECIFIC","FRESH_HERBS","","Große Bananenblätter als aromatisierende Hülle oder Unterlage zum Dämpfen, Kochen und Grillen; frisch oder tiefgekühlt verwendbar. Sie werden nicht als Blattgemüse gegessen und sind keine Konkretisierung der Bananenfrucht.","APPLICABLE"
"BARBECUE_SAUCE","Barbecuesauce","SPECIFIC","READY_SAUCES_AND_PASTES","","Fertige kräftig gewürzte Sauce nach Barbecue-Art; Süße, Rauchigkeit, Säure und Schärfe können deutlich variieren.","APPLICABLE"
"BARLEY","Gerste","SPECIFIC","GRAINS","PEARL_BARLEY","Gerstenkorn als Kochzutat, etwa geschält oder als Rollgerste; Graupen sind eine stärker verarbeitete Form.","APPLICABLE"
"BASIL","Basilikum","SPECIFIC","FRESH_HERBS","HOLY_BASIL|THAI_BASIL","Frisches Basilikum mit süßlich-pfeffrigem Aroma; Thai-Basilikum bleibt als eigenständige Ausprägung getrennt.","APPLICABLE"
"BASMATI_RICE","Basmatireis","SPECIFIC","RICE","","Langkornreis mit charakteristisch duftigem Aroma und lockerem Korn; weiß oder als Vollkornvariante verwendbar.","APPLICABLE"
"BAY_LEAF","Lorbeerblatt","SPECIFIC","FRESH_HERBS","","Getrocknetes oder frisches Lorbeerblatt mit herb-würzigem Aroma für Brühen, Saucen und Schmorgerichte; vor dem Servieren üblicherweise entfernen.","APPLICABLE"
"BEAN_SPROUTS","Mungbohnensprossen","SPECIFIC","SPROUTS","","Knackige Sprossen der Mungbohne, im Handel oft als Sojasprossen bezeichnet; nicht mit Keimlingen der Sojabohne gleichsetzen.","APPLICABLE"
"BEANS","Bohnen","OPEN","LEGUMES","ADZUKI_BEANS|BLACK_BEANS|BLACK_EYED_PEAS|BROAD_BEANS|BUTTER_BEANS|CANNELLINI_BEANS|KIDNEY_BEANS|MUNG_BEANS|PINTO_BEANS|SOYBEANS|WHITE_BEANS","Offene Vorgabe für trockene oder vorgegarte Bohnenkerne; frische grüne Bohnen und andere Schotengemüse sind nicht gemeint.","APPLICABLE"
"BEEF","Rindfleisch","OPEN","MEAT","BEEF_BRISKET|BEEF_CHEEK|BEEF_GOULASH|BEEF_HEART|BEEF_LIVER|BEEF_MINCE|BEEF_ROAST|BEEF_ROULADE|BEEF_RUMP|BEEF_SHIN|BEEF_SHORT_RIBS|BEEF_STEAK|BEEF_TENDERLOIN|BEEF_TONGUE|BONE_MARROW|OXTAIL|TRIPE","Offene Vorgabe für Rindfleisch; Zuschnitt, Fettanteil und geeignete Garmethode werden bewusst nicht festgelegt.","APPLICABLE"
"BEEF_BRISKET","Rinderbrust","SPECIFIC","BEEF","","Bindegewebsreiche Rinderbrust, besonders für langsames Schmoren, Kochen oder Barbecue geeignet.","APPLICABLE"
"BEEF_CHEEK","Rinderbäckchen","SPECIFIC","BEEF","","Stark beanspruchtes, kollagenreiches Muskelfleisch aus der Rinderbacke; wird durch langes Schmoren zart.","APPLICABLE"
"BEEF_GOULASH","Rindergulasch","SPECIFIC","BEEF","","Würfel oder grobe Stücke vom Rind für Schmorgerichte; gemeint ist der rohe Zuschnitt, nicht das fertige Gulasch.","APPLICABLE"
"BEEF_HEART","Rinderherz","SPECIFIC","BEEF|OFFAL","","Mageres, festes Muskelfleisch vom Rinderherz mit kräftigem Eigengeschmack; nicht mit Lebertextur gleichsetzen.","APPLICABLE"
"BEEF_LIVER","Rinderleber","SPECIFIC","BEEF|OFFAL","","Rinderleber mit kräftigem, mineralischem Geschmack und weicher Textur; kurze Garung verhindert unnötige Trockenheit.","APPLICABLE"
"BEEF_MINCE","Rinderhack","SPECIFIC","BEEF|MINCED_MEAT","","Zerkleinertes Rindfleisch mit variablem Fettanteil; nicht gemischtes Hackfleisch.","APPLICABLE"
"BEEF_ROAST","Rinderbraten","SPECIFIC","BEEF","","Größeres Rindfleischstück zum Braten oder Schmoren; der konkrete Teilzuschnitt bleibt offen.","APPLICABLE"
"BEEF_ROULADE","Rinderroulade","SPECIFIC","BEEF","","Dünne große Rindfleischscheibe zum Füllen und Schmoren; gemeint ist der Zuschnitt, nicht eine festgelegte Füllung.","APPLICABLE"
"BEEF_RUMP","Rinderhüfte","SPECIFIC","BEEF","","Rinderhüfte als relativ magerer, kurzbrat- oder bratentauglicher Zuschnitt; nicht das stärker marmorierte Roastbeef.","APPLICABLE"
"BEEF_SHIN","Rinderbeinscheibe","SPECIFIC","BEEF","","Quergeschnittene Rinderhaxe mit Knochen und viel Kollagen; besonders für langsames Schmoren oder Brühen geeignet.","APPLICABLE"
"BEEF_SHORT_RIBS","Rinderrippen","SPECIFIC","BEEF","","Fleischige kurze Rinderrippen mit Fett und Bindegewebe; für langsames Garen oder Barbecue geeignet.","APPLICABLE"
"BEEF_STEAK","Rindersteak","SPECIFIC","BEEF","","Zum Kurzbraten geeignete Rindfleischscheibe; der konkrete Steakzuschnitt und Reifegrad bleiben offen.","APPLICABLE"
"BEEF_STOCK","Rinderfond","SPECIFIC","STOCKS","","Kräftiger Fond auf Basis von Rindfleisch und/oder Rinderknochen; selbst gekocht oder als hochwertiges Fertigprodukt verwendbar.","APPLICABLE"
"BEEF_TENDERLOIN","Rinderfilet","SPECIFIC","BEEF","","Sehr zartes und mageres Rinderfilet für kurze Garung; nicht mit Schweinefilet oder Roastbeef gleichsetzen.","APPLICABLE"
"BEEF_TONGUE","Rinderzunge","SPECIFIC","BEEF|OFFAL","","Rinderzunge als festes, nach langem Garen zartes Muskelfleisch; üblicherweise vor dem Servieren gehäutet.","APPLICABLE"
"BEER","Bier","SPECIFIC","COOKING_ALCOHOL","LAMBIC|PILSNER_LAGER","Vergorenes Getreidegetränk als Kochzutat; Bierstil, Malzigkeit und Hopfenbittere bleiben bewusst wählbar.","APPLICABLE"
"BEETROOT","Rote Bete","SPECIFIC","ROOT_VEGETABLES","","Rote Bete mit erdig-süßlichem Geschmack; frisch, vorgegart oder schlicht konserviert verwendbar.","APPLICABLE"
"BELACAN","Belacan","SPECIFIC","SHRIMP_PASTE","","Malaysische feste fermentierte Garnelenpaste mit sehr intensivem Aroma; meist geröstet und sparsam dosiert verwendet.","APPLICABLE"
"BELL_PEPPER","Paprika","SPECIFIC","FRUIT_VEGETABLES","AJVAR|GREEN_BELL_PEPPER|RED_BELL_PEPPER|YELLOW_BELL_PEPPER","Milde Gemüsepaprika ohne Festlegung auf eine Farbe; rote, gelbe und grüne Paprika sind bekannte Ausprägungen.","APPLICABLE"
"BELUGA_LENTILS","Belugalinsen","SPECIFIC","LENTILS","","Kleine schwarze Linsen, die beim Garen vergleichsweise formstabil bleiben; nicht Beluga-Kaviar.","APPLICABLE"
"BERBERE","Berbere","SPECIFIC","SPICE_BLENDS","","Äthiopisch-eritreische Gewürzmischung mit Chili und warmen Gewürzen; Zusammensetzung und Schärfe variieren.","APPLICABLE"
"BERRIES","Beeren","OPEN","FRUIT","BLACKBERRY|BLACK_CURRANT|BLUEBERRY|CLOUDBERRY|CRANBERRY|ELDERBERRY|GOOSEBERRY|LINGONBERRY|MULBERRY|RASPBERRY|RED_CURRANT|STRAWBERRY","Offene Vorgabe für kulinarisch als Beeren verwendete kleine Früchte; Sorte und frisch oder tiefgekühlt bleiben offen.","APPLICABLE"
"BIRDS_EYE_CHILI","Bird’s-Eye-Chili","SPECIFIC","CHILI","","Kleine, sehr scharfe frische Chili der Bird’s-Eye-Familie; nicht getrocknete Flocken oder Pulver.","APPLICABLE"
"BITTER_MELON","Bittermelone","SPECIFIC","FRUIT_VEGETABLES","","Herb-bitteres Fruchtgemüse mit warziger Oberfläche; auch Bittergurke oder Ampalaya genannt.","APPLICABLE"
"BIVALVES","Muscheln","OPEN","MOLLUSCS|SHELLFISH","CLAMS|COCKLES|MUSSELS|OYSTER|RAZOR_CLAMS|SCALLOPS","Offene Vorgabe für zweischalige Weichtiere wie Mies-, Venus- oder Jakobsmuscheln; nicht Krebstiere.","APPLICABLE"
"BLACK_BEANS","schwarze Bohnen","SPECIFIC","BEANS","FERMENTED_BLACK_BEANS","Schwarze Bohnen mit cremigem Inneren und mild-erdigem Geschmack; getrocknet oder vorgegart verwendbar.","APPLICABLE"
"BLACK_CARDAMOM","schwarzer Kardamom oder Thảo quả","SPECIFIC","CARDAMOM","","Große dunkle Kardamomkapseln mit kräftig harzig-kampferartigem und häufig rauchigem Aroma; meist ganz in Brühen und Schmorgerichten mitgekocht. Nicht mit dem milderen grünen Kardamom gleichsetzen.","APPLICABLE"
"BLACK_CURRANT","schwarze Johannisbeere","SPECIFIC","BERRIES","","Schwarze Johannisbeere mit intensiver Säure und herb-aromatischem Geschmack; frisch oder ungesüßt tiefgekühlt gemeint.","APPLICABLE"
"BLACK_EYED_PEAS","Augenbohnen","SPECIFIC","BEANS","","Helle Augenbohnen mit dunklem Keimfleck und mild-nussigem Geschmack; botanisch eine Form der Kuhbohne.","APPLICABLE"
"BLACK_GARLIC","schwarzer Knoblauch","SPECIFIC","GARLIC","","Fermentativ gereifter Knoblauch mit süßlich-würzigem, deutlich umamireichem Profil.","APPLICABLE"
"BLACK_PEPPER","schwarzer Pfeffer","SPECIFIC","PEPPER","","Reif geerntete und getrocknete Pfefferfrüchte mit kräftiger Schärfe und warmem Aroma; ganz oder gemahlen verwendbar.","APPLICABLE"
"BLACK_TEA","schwarzer Tee","SPECIFIC","TEA","","Vollständig oxidierter Tee mit kräftigem, oft malzigem oder herbem Profil; Sorte und Blattgrad bleiben offen.","APPLICABLE"
"BLACK_VINEGAR","chinesischer schwarzer Essig","SPECIFIC","VINEGAR","","Dunkler chinesischer Getreideessig mit malziger, röstiger Säure; nicht Balsamico oder bloß gefärbter Tafelessig.","APPLICABLE"
"BLACKBERRY","Brombeere","SPECIFIC","BERRIES","","Brombeere als frische oder ungesüßt tiefgekühlte Beere mit süß-säuerlichem, dunklem Fruchtaroma.","APPLICABLE"
"BLOOD_ORANGE","Blutorange","SPECIFIC","ORANGE","","Orange mit rot pigmentiertem Fruchtfleisch und häufig beerig-herber Note; nicht Grapefruit.","APPLICABLE"
"BLOOD_SAUSAGE","Blutwurst","SPECIFIC","OFFAL|SAUSAGE","MORCILLA","Wurstfamilie mit Blut als prägendem Bestandteil; Gewürzung, Getreideanteil und Konsistenz können regional variieren.","APPLICABLE"
"BLUE_CHEESE","Blauschimmelkäse","SPECIFIC","CHEESE","DANABLU|ROQUEFORT","Offene Käsefamilie mit Blauschimmelkulturen und ausgeprägt würzigem Aroma; Milchart und Reifegrad bleiben offen.","APPLICABLE"
"BLUEBERRY","Heidelbeere","SPECIFIC","BERRIES","","Heidelbeere als frische oder ungesüßt tiefgekühlte Beere; Kultur- und Waldheidelbeeren sind umfasst.","APPLICABLE"
"BOMBA_RICE","Bomba-Reis","SPECIFIC","RICE","","Spanische Rundkorn-Reissorte Bomba mit hoher Flüssigkeits- und Geschmacksaufnahme; nicht Synonym für beliebigen Paella-Reis und nicht synonym mit der Herkunftsbezeichnung Calasparra.","APPLICABLE"
"BONE_MARROW","Knochenmark","SPECIFIC","BEEF|OFFAL","","Fettreiches Mark aus großen Rinderknochen; zum Rösten, Auslassen oder Aromatisieren von Saucen und Brühen.","APPLICABLE"
"BONITO_FLAKES","Bonitoflocken","SPECIFIC","DRIED_FISH","","Dünn gehobelte Flocken aus getrocknetem und meist geräuchertem Bonito nach Katsuobushi-Art; stark umamireich.","APPLICABLE"
"BRANDY","Brandy oder Weinbrand","OPEN","COOKING_ALCOHOL","COGNAC","Offene Weinbrandfamilie; geschützte beziehungsweise kulinarisch eigenständige Ausprägungen wie Cognac können separat konkretisiert werden.","APPLICABLE"
"BRATWURST","Bratwurst","SPECIFIC","PORK|SAUSAGE","","Zum Braten oder Grillen bestimmte Wurst; Fleischmischung, Körnung und regionale Würzung bleiben offen.","APPLICABLE"
"BRAZIL_NUT","Paranüsse","SPECIFIC","NUTS","","Große, fettreiche Paranusskerne mit cremigem Biss; ganz, gehackt oder gemahlen verwendbar.","APPLICABLE"
"BREAD","Brot oder Fladenbrot","OPEN","BAKED_GOODS|STARCHES","BAGUETTE|CRISPBREAD|FLATBREAD|PRETZEL|RYE_BREAD|SOURDOUGH_BREAD|TORTILLA","Offene Vorgabe für gebackenes Brot oder Fladenbrot; Getreide, Triebmittel, Form und Krustenanteil bleiben wählbar.","APPLICABLE"
"BREAD_DUMPLING","Semmelknödel","SPECIFIC","STARCHES","","Gekochter oder gedämpfter böhmisch-mitteleuropäischer Brot-/Semmelknödel als fertige Beilage; nicht Dumpling-Teig, Teighülle oder gefüllter Dumpling.","APPLICABLE"
"BREADCRUMBS","Semmelbrösel","SPECIFIC","STARCHES","PANKO","Trockene gemahlene Brot- oder Brötchenkrume zum Panieren, Binden oder Bestreuen; Panko ist eine eigene Ausprägung.","APPLICABLE"
"BRIE","Brie","SPECIFIC","CHEESE","","Weichkäse der Brie-Familie mit charakteristischer Weißschimmelrinde; umfasst handelsüblichen Brie-Stil und bekannte französische Ausprägungen, ohne auf Brie de Meaux oder Brie de Melun beschränkt zu sein. Nicht Camembert.","APPLICABLE"
"BROAD_BEANS","Dicke Bohnen","SPECIFIC","BEANS|POD_VEGETABLES","","Dicke Bohnen beziehungsweise Ackerbohnen; frisch, tiefgekühlt oder getrocknet verwendbar und nicht mit grünen Bohnen gleichzusetzen.","APPLICABLE"
"BROCCOLI","Brokkoli","SPECIFIC","CABBAGE_VEGETABLES|FLOWER_VEGETABLES","","Grünes Kohlgemüse mit essbaren Blütenknospen und Stielen; nicht mit Romanesco oder Blumenkohl gleichsetzen.","APPLICABLE"
"BROKEN_RICE","Bruchreis","SPECIFIC","RICE","","Reiskörner, die bei Ernte oder Verarbeitung gebrochen wurden und dadurch kleiner sowie schneller garend sind. Gemeint ist das Kornprodukt, nicht ein fertig belegtes Cơm-tấm-Gericht.","APPLICABLE"
"BROWN_CHAMPIGNON","braune Champignons","SPECIFIC","CHAMPIGNON","","Frische braune Zuchtchampignons mit etwas kräftigerem Aroma als weiße Champignons.","APPLICABLE"
"BROWN_RICE","Vollkornreis","SPECIFIC","RICE","","Reis mit erhaltenen Randschichten und dadurch nussigerem Geschmack sowie festerem Biss; Sorte bleibt offen.","APPLICABLE"
"BROWN_SUGAR","brauner Zucker","SPECIFIC","SWEETENERS","","Brauner Zucker mit Melasseanteil beziehungsweise karamelligem Aroma; feucht oder trocken verwendbar.","APPLICABLE"
"BRUNOST","Brunost","SPECIFIC","CHEESE","","Norwegisches braunes Molkeprodukt mit charakteristisch süßlich-karamelligem Geschmack, der durch starkes Einkochen von Molke und Milchbestandteilen entsteht. Kuh- und Ziegenmilchanteile können je nach Variante variieren. Nicht mit gewöhnlichem Ziegenkäse oder Karamellaufstrich gleichsetzen.","APPLICABLE"
"BRUSSELS_SPROUTS","Rosenkohl","SPECIFIC","CABBAGE_VEGETABLES","","Kleine feste Blattachselknospen des Kohls mit herb-nussigem Geschmack; frisch oder tiefgekühlt verwendbar.","APPLICABLE"
"BRUSSELS_WAFFLE","Brüsseler Waffel","SPECIFIC","CONFECTIONERY|WAFFLES","","Große rechteckige belgische Waffel nach Brüsseler Art, außen knusprig und innen luftig. Gemeint ist die Waffel selbst, ohne vorausgesetzte Beläge. Nicht mit der kompakteren Lütticher Zuckerwaffel gleichsetzen.","APPLICABLE"
"BUCKWHEAT","Buchweizen","SPECIFIC","GRAINS","BUCKWHEAT_FLOUR","Glutenfreies Pseudogetreide mit kräftig-nussigem Geschmack; gemeint sind ganze Körner oder Grütze, nicht Mehl.","APPLICABLE"
"BUCKWHEAT_FLOUR","Buchweizenmehl","SPECIFIC","BUCKWHEAT|FLOUR","","Mehl aus Buchweizen; nicht Weizenmehl mit Buchweizenanteil und nicht ganzes Buchweizenkorn.","APPLICABLE"
"BULGUR","Bulgur","SPECIFIC","GRAINS","","Vorgegarter, getrockneter und gebrochener Hartweizen mit nussigem Biss; Körnung kann variieren.","APPLICABLE"
"BUTTER","Butter","SPECIFIC","COOKING_FATS|DAIRY_PRODUCTS","GARLIC_BUTTER|HERB_BUTTER","Streich- und Kochfett aus Milchrahm; gesalzene, ungesalzene und mildgesäuerte Butter sind umfasst.","APPLICABLE"
"BUTTER_BEANS","Limabohnen","SPECIFIC","BEANS","","Große helle Limabohnen mit weicher, cremiger Textur; getrocknet oder vorgegart verwendbar.","APPLICABLE"
"BUTTERMILK","Buttermilch","SPECIFIC","CULTURED_DAIRY","","Fettarmes säuerliches Milchprodukt aus der Butterherstellung beziehungsweise entsprechender Kultivierung; nicht Kefir.","APPLICABLE"
"BUTTERNUT_SQUASH","Butternut-Kürbis","SPECIFIC","PUMPKIN","","Birnenförmiger Moschuskürbis mit dichtem, süßlich-nussigem Fruchtfleisch und kleiner Samenhöhle.","APPLICABLE"
"CABBAGE_VEGETABLES","Kohlgemüse","OPEN","VEGETABLES","BROCCOLI|BRUSSELS_SPROUTS|CAULIFLOWER|KALE|KOHLRABI|NAPA_CABBAGE|PAK_CHOI|POINTED_CABBAGE|RED_CABBAGE|ROMANESCO|SAVOY_CABBAGE|WHITE_CABBAGE","Offene Vorgabe für Blatt-, Kopf-, Knospen- und Blütenformen der Kohlgemüsefamilie.","APPLICABLE"
"CALAMANSI","Calamansi","SPECIFIC","CITRUS_FRUIT|TROPICAL_FRUIT","","Kleine südostasiatische Zitrusfrucht mit aromatischem, deutlich saurem Saft; frisch oder als ungesüßter Saft verwendbar.","APPLICABLE"
"CALVADOS","Calvados","SPECIFIC","COOKING_ALCOHOL","","Französischer Apfel- beziehungsweise Apfel-Birnen-Brand nach Calvados-Art; nicht Cider, Apfellikör oder generischer Obstbrand.","APPLICABLE"
"CAMEMBERT","Camembert","SPECIFIC","CHEESE","","Weicher Kuhmilchkäse mit Weißschimmelrinde und cremiger bis reifer, kräftiger Textur; nicht Brie.","APPLICABLE"
"CANNED_CHAMPIGNONS","Dosenchampignons","SPECIFIC","CHAMPIGNONS|PRESERVED_PRODUCE","","Gegarte Champignons aus Dose oder Glas in schlichter Lake; nicht eingelegte oder frische Champignons.","APPLICABLE"
"CANNED_SARDINES","Sardinen aus der Dose","SPECIFIC","PRESERVED_FISH|SARDINES","","Gegarte Sardinen als Konserve in Öl, Wasser oder einfacher Sauce; Flüssigkeit und Würzung können variieren.","APPLICABLE"
"CANNED_TOMATOES","Dosentomaten","SPECIFIC","TOMATO|TOMATO_PRODUCTS","","Geschälte oder stückige Tomaten als unkonzentrierte Konserve; nicht passierte Tomaten oder Tomatenmark.","APPLICABLE"
"CANNED_TUNA","Thunfisch aus der Dose","SPECIFIC","PRESERVED_FISH|TUNA","","Gegarter Thunfisch als Konserve in Öl oder eigenem Saft; nicht frisches Thunfischsteak.","APPLICABLE"
"CANNELLINI_BEANS","Cannellini-Bohnen","SPECIFIC","BEANS","","Mittelgroße weiße Bohnen italienischer Art mit mildem Geschmack und cremiger Textur.","APPLICABLE"
"CANTALOUPE","Cantaloupe-Melone","SPECIFIC","MELONS","","Orangefleischige, aromatisch süße Melone mit typischer netzartiger oder gerippter Schale.","APPLICABLE"
"CAPERS","Kapern","SPECIFIC","PRESERVED_PRODUCE","","Eingelegte Blütenknospen des Kapernstrauchs mit salzig-säuerlichem, pikantem Geschmack; nicht Kapernäpfel.","APPLICABLE"
"CARAWAY","Kümmel","SPECIFIC","SPICES","","Echter Kümmel mit warmem, anisartigem Aroma; nicht Kreuzkümmel.","APPLICABLE"
"CARDAMOM","Kardamom","SPECIFIC","SPICES","BLACK_CARDAMOM","Aromatische Kardamomkapseln oder -samen; ohne weitere Konkretisierung ist grüner Kardamom gemeint. Schwarzer Kardamom besitzt ein deutlich herberes, häufig rauchiges Profil.","APPLICABLE"
"CARP","Karpfen","SPECIFIC","FISH","","Karpfen als frischer oder tiefgekühlter Süßwasserfisch; Zuschnitt und Zubereitungsform bleiben offen.","APPLICABLE"
