anchor_id,concept_code,decision,effective_cooking_novelty,effective_availability_georgia,effective_availability_tobias,decision_note,evidence
A29,STOCKFISH,APPROVED_AS_PROPOSED,3,DIFFICULT,DIFFICULT,"DIFFICULT nach Nachrecherche bestätigt: exakter ungesalzener Stockfisch ist im Spezialhandel prinzipiell vorhanden, aktuell aber nicht zuverlässig verfügbar; zahlreiche Treffer sind stattdessen gesalzener Klippfisch/Bacalhau.","https://norwegianshop24.com/de/collections/torrfisk; https://norwegianshop24.com/de/blogs/news/stockfisch-online-kaufen"
A30,KLIPPFISH,APPROVED_AS_PROPOSED,3,SPECIALTY,SPECIALTY,,
A31,PICKLED_SAUSAGE,APPROVED_AS_PROPOSED,4,SPECIALTY,SPECIALTY,,
A32,FROG_LEGS,APPROVED_WITH_OVERRIDE,3,SPECIALTY,SPECIALTY,Georgia und Tobias von DIFFICULT auf SPECIALTY korrigiert: haushaltsübliche TK-Ware ist mit kurzem deutschen Spezialversand erhältlich.,"https://asiamoin.com/produkt/froschschenkel-900g/; https://asiamoin.com/shop/"
A33,LOBSTER,APPROVED_AS_PROPOSED,2,PLANNED,PLANNED,,
A34,SEA_SNAILS,APPROVED_AS_PROPOSED,3,DIFFICULT,DIFFICULT,,
A35,FRESHWATER_SNAILS,APPROVED_WITH_OVERRIDE,3,SPECIALTY,SPECIALTY,Georgia und Tobias von UNAVAILABLE auf SPECIALTY korrigiert: TK-Apfelschneckenfleisch (Ốc bươu) ist in Deutschland haushaltsüblich erhältlich und tiefgekühlt versendbar.,"https://asiamoin.com/produkt-kategorie/lebensmittel/kuehlware/sonstige-kuehlware/; https://asiamoin.com/shop/"
A36,FISH_MINT,APPROVED_WITH_OVERRIDE,3,SPECIALTY,SPECIALTY,Lebende essbare Houttuynia-cordata-Pflanze als geeignete Produktform freigegeben; spezialisierter Pflanzenversand macht die Beschaffung für beide zu SPECIALTY statt DIFFICULT/UNAVAILABLE.,https://www.kraeuter-und-duftpflanzen.de/pdf/Ruehlemanns-Kraeuterkatalog-2025.pdf
A37,COM_ME,APPROVED_AS_PROPOSED,4,UNAVAILABLE,UNAVAILABLE,,
A38,READY_SAUCES_AND_PASTES,APPROVED_AS_PROPOSED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Reiner Strukturknoten ausdrücklich bestätigt.,
A39,LIQUORICE,APPROVED_AS_PROPOSED,5,EASY,EASY,Kochungewöhnlichkeit 5 ausdrücklich freigegeben.,
