"concept_code","display_name","review_applicability","product_form_basis","market_class","market_basis","proposed_availability","availability_note","evidence_requirement","evidence_search_terms","review_flags"
"ALMOND_BUTTER","Mandelmus","APPLICABLE","Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.","GENERAL_BROAD","Tobias prüft „Mandelmus“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler.","PLANNED","Mandelmus: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler.","OPTIONAL","Mandelmus Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; Tobias Rostock Nuss Samen Mus genaue Rohware; Mandeln / Nuss- oder Samenpaste; gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler; gezielter Einkauf Deutschland Wochenvorlauf; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"ALMOND_DRINK","Mandeldrink","APPLICABLE","Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst.","GENERAL_LOCAL","Tobias prüft „Mandeldrink“ in Rostock über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Mandeldrink: Rostocker Bezugsweg über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Mandeldrink Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind…; Tobias Rostock Pflanzendrink genaue Basis gesüßt ungesüßt; pflanzlicher Drink; Das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE|RATING_RECONCILED_V2"
"AMARANTH","Amaranth","APPLICABLE","Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.","GENERAL_BROAD","Für „Amaranth“ führt der Rostocker Marktweg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler.","PLANNED","Amaranth: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler.","OPTIONAL","Amaranth Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; Tobias Rostock Getreide Stärke Teigware genaue Form; Getreide oder Pseudogetreide; gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler; gezielter Einkauf Deutschland Wochenvorlauf; die geforderte ganze oder körnige Form","TOBIAS_ROSTOCK_PROFILE"
"ANCHO_CHILI","Ancho-Chili","APPLICABLE","Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano.","SPECIALTY_BROAD","Tobias prüft „Ancho-Chili“ in Rostock über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand ausweist.","SPECIALTY","Ancho-Chili: Rostocker Bezugsweg über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili; dokumentiert sind eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand.","REQUIRED","Ancho-Chili Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem…; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; getrocknete Chili; MTG Gewürze – Ancho Chili | Hola Mexico – mexikanischer Fachhandel; mehrere unabhängige Fachhändler Marktbreite; die getrocknete Produktform","TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|FORM_SENSITIVE|RESEARCH_REQUIRED"
"ANCHOVIES","Sardellen","APPLICABLE","Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.","GENERAL_LOCAL","Tobias prüft „Sardellen“ in Rostock über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Sardellen: Rostocker Bezugsweg über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Sardellen Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake…; Tobias Rostock Fisch Seafood exakte Art Konserve Trockenware; fettreicher Fisch; Das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die konservierte Produktform","TOBIAS_ROSTOCK_PROFILE"
"ANNATTO","Annatto","APPLICABLE","Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar.","SPECIALTY_BROAD","Tobias prüft „Annatto“ in Rostock über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen, wobei die Evidenz ein dokumentiertes laufendes Angebot und Standardversand ausweist.","SPECIALTY","Annatto: Rostocker Bezugsweg über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen; dokumentiert sind ein dokumentiertes laufendes Angebot und Standardversand.","REQUIRED","Annatto Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild…; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; Gewürz oder trockenes Würzmittel; My Asia Shop – Annatto Samen | Asia4Friends – Gewürze; mehrere unabhängige Fachhändler Marktbreite; die gemahlene oder pulverisierte Form","TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|RESEARCH_REQUIRED"
"APPLE","Apfel","APPLICABLE","Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.","GENERAL_LOCAL","Tobias prüft „Apfel“ in Rostock über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Apfel: Rostocker Bezugsweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Apfel Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit…; Tobias Rostock Obst frisch TK genaue Sorte; Kernobst; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die verlangte frische Form","TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"
"APPLE_CIDER_VINEGAR","Apfelessig","APPLICABLE","Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.","GENERAL_LOCAL","Die Beschaffung von „Apfelessig“ erfolgt in Rostock über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Apfelessig: gewöhnlicher lokaler Bezugsweg über den Bereich »Apfelessig«.","OPTIONAL","Apfelessig Aus Apfelwein vergorener Essig mit fruchtiger Säure; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Essig; Das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"APRICOT","Aprikose","APPLICABLE","Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.","GENERAL_LOCAL","Tobias prüft „Aprikose“ in Rostock über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Aprikose: Rostocker Bezugsweg über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Aprikose Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit…; Tobias Rostock Obst frisch TK genaue Sorte; Steinobst; Der Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die zugelassene Frisch- oder Tiefkühlform","TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"
"AQUAVIT","Aquavit","APPLICABLE","Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt.","GENERAL_BROAD","Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd, ein verlässlicher Rostocker Regalbestand ist dagegen nicht belegt.","PLANNED","Aquavit: Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd, ein verlässlicher Rostocker Regalbestand ist dagegen nicht belegt.","REQUIRED","O.P. Anderson Aquavit Dill Kümmel Bio Conalco Lager Rostock Versand","TOBIAS_ROSTOCK_PROFILE|RESEARCH_REQUIRED"
"ARTICHOKE","Artischocke","APPLICABLE","Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar.","GENERAL_BROAD","Rapunzel Onlineshop – Artischockenherzen in Lake 200 g belegt formgenau: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware. Für Tobias in Rostock gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; 1–3 Werktage; Logistik STANDARD_SHIPPING. Belegt ist die schlicht konservierte Form, nicht die saisonale frische Knospe; nach Öffnung muss das Glas gekühlt werden.","PLANNED","Artischocke: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware.","REQUIRED","Artischockenherzen Lake 200 g Rapunzel sofort verfügbar Deutschland | Tobias in Rostock | IN_STOCK STANDARD_SHIPPING","TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE|RESEARCH_REQUIRED"
"ARUGULA","Rucola","APPLICABLE","Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar.","GENERAL_LOCAL","Für „Rucola“ führt der Rostocker Marktweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Rucola: Rostocker Bezugsweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Rucola Pfeffrig-scharfer Blattsalat, auch Rauke genannt; Tobias Rostock Gemüse frisch TK genaue Sorte; Blattsalat; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"ASPARAGUS","Spargel","APPLICABLE","Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung.","GENERAL_LOCAL","Die Beschaffung von „Spargel“ erfolgt in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Spargel: gewöhnlicher lokaler Bezugsweg über den Bereich »Spargel«.","OPTIONAL","Spargel Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind…; Tobias Rostock Gemüse frisch TK genaue Sorte; Stängelgemüse; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"AVOCADO","Avocado","APPLICABLE","Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl.","GENERAL_LOCAL","Für „Avocado“ führt der Rostocker Marktweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Avocado: Rostocker Bezugsweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Avocado Cremige, fettreiche Frucht mit mild-nussigem Geschmack; Tobias Rostock Obst frisch TK genaue Sorte; Tropenfrucht; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"BACON","Bacon","APPLICABLE","Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren.","GENERAL_LOCAL","Tobias prüft „Bacon“ in Rostock über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Bacon: Rostocker Bezugsweg über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Bacon Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Tobias Rostock Fleisch Wurst exakte Tierart Zuschnitt; gepökeltes oder luftgetrocknetes Fleisch / Schweinefleisch; Die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die präzise tierische Produktform","TOBIAS_ROSTOCK_PROFILE"
"BAGOONG","Bagoong","APPLICABLE","Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar.","NICHE_IMPORT","Für „Bagoong“ führt der Rostocker Marktweg über philippinische Lebensmittelfachhändler, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Frischeversand, Importbeschränkungen sowie einen gezielten Händlerbesuch ausweist.","DIFFICULT","Bagoong bleibt auf wenige philippinische Importhändler beschränkt; mehrere Listings bilden noch keinen breiten allgemeinen Asia-Spezialmarkt.","REQUIRED","Bagoong Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; Tobias Rostock Würzsauce Paste Essig exakte Sorte; fermentierte Würzzutat / fertige Sauce oder Würzpaste; philippinischen Lebensmittel-Spezialhandel Nischenweg; Bestand Produktform Versandlogistik; die exakt festgelegte Darreichung","REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED"
"BAGOONG_ALAMANG","Bagoong alamang","APPLICABLE","Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen.","NICHE_IMPORT","Die Beschaffung von „Bagoong alamang“ erfolgt in Rostock über auf philippinische Lebensmittel spezialisierte Anbieter, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Frischeversand, Importbeschränkungen sowie einen gezielten Händlerbesuch ausweist.","DIFFICULT","Bagoong alamang bleibt auf wenige philippinische Importhändler mit wechselnden Varianten und Beständen beschränkt.","REQUIRED","Bagoong alamang Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Bagoong / Garnelenpaste; philippinischen Lebensmittel-Spezialhandel Nischenweg; Bestand Produktform Versandlogistik; die pastöse Produktform","REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED"
"BAGOONG_ISDA","Bagoong isda","APPLICABLE","Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren.","NICHE_IMPORT","Beim Einkauf von „Bagoong isda“ nutzt Tobias Fachgeschäfte für philippinische Kochzutaten, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Frischeversand, Importbeschränkungen sowie einen gezielten Händlerbesuch ausweist.","DIFFICULT","Fischbasiertes Bagoong ist nur über wenige philippinische Importwege belegt; regionale Varianten erhöhen die Formverwechslungsgefahr.","REQUIRED","Bagoong isda Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Tobias Rostock Lebensmittel genaue Produktform; Bagoong; philippinischen Lebensmittel-Spezialhandel Nischenweg; Bestand Produktform Versandlogistik; die exakt festgelegte Darreichung","REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED"
"BAGUETTE","Baguette","APPLICABLE","Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot.","GENERAL_LOCAL","Für „Baguette“ führt der Rostocker Marktweg über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Baguette: Rostocker Bezugsweg über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts.","OPTIONAL","Baguette Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; Tobias Rostock Backware Süßungsmittel exakte Form; Brot oder Fladenbrot; Das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"BAKED_GOODS","Backware","NOT_APPLICABLE_STRUCTURE","","","","","","","",""
"BALSAMIC_VINEGAR","Balsamico","APPLICABLE","Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Reifegrad und Dichte können variieren.","GENERAL_LOCAL","Beim Einkauf von „Balsamico“ nutzt Tobias das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Balsamico: gewöhnlicher lokaler Bezugsweg über den Bereich »Balsamico«.","OPTIONAL","Balsamico Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Essig; Das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
"BAMBOO_SHOOTS","Bambussprossen","APPLICABLE","Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich.","GENERAL_BROAD","Tobias prüft „Bambussprossen“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Händler für haltbare Gemüseformen.","PLANNED","Bambussprossen: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Händler für haltbare Gemüseformen.","OPTIONAL","Bambussprossen Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; Tobias Rostock Gemüse genaue Sorte haltbar TK; Stängelgemüse; gut sortierte Vollsortimenter und etablierte deutsche Händler für haltbare Gemüseformen; gezielter Einkauf Deutschland Wochenvorlauf; die konservierte Produktform","TOBIAS_ROSTOCK_PROFILE"
"BANANA","Banane","APPLICABLE","Reife Dessertbanane mit weichem, süßem Fruchtfleisch; nicht stärkehaltige Kochbanane.","GENERAL_LOCAL","Die Beschaffung von „Banane“ erfolgt in Rostock über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.","EASY","Banane: gewöhnlicher lokaler Bezugsweg über den Bereich »Banane«.","OPTIONAL","Banane Reife Dessertbanane mit weichem, süßem Fruchtfleisch; Tobias Rostock Obst frisch TK genaue Sorte; Tropenfrucht; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung","TOBIAS_ROSTOCK_PROFILE"
