"concept_code"	"display_name"	"review_applicability"	"previous_availability_georgia"	"proposed_availability_georgia"	"changed_georgia"	"previous_availability_tobias"	"proposed_availability_tobias"	"changed_tobias"	"person_difference"	"comparison_flags"
"BELACAN"	"Belacan"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"BELL_PEPPER"	"Paprika"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BELUGA_LENTILS"	"Belugalinsen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BERBERE"	"Berbere"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"BERRIES"	"Beeren"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BIRDS_EYE_CHILI"	"Bird’s-Eye-Chili"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BITTER_MELON"	"Bittermelone"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"BIVALVES"	"Muscheln"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BLACK_BEANS"	"schwarze Bohnen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BLACK_CARDAMOM"	"schwarzer Kardamom oder Thảo quả"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BLACK_CURRANT"	"schwarze Johannisbeere"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BLACK_EYED_PEAS"	"Augenbohnen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BLACK_GARLIC"	"schwarzer Knoblauch"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"EASY"	"PLANNED"	"YES"	"NO"	""
"BLACK_PEPPER"	"schwarzer Pfeffer"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BLACK_TEA"	"schwarzer Tee"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BLACK_VINEGAR"	"chinesischer schwarzer Essig"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BLACKBERRY"	"Brombeere"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BLOOD_ORANGE"	"Blutorange"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BLOOD_SAUSAGE"	"Blutwurst"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BLUE_CHEESE"	"Blauschimmelkäse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BLUEBERRY"	"Heidelbeere"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BOMBA_RICE"	"Bomba-Reis"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BONE_MARROW"	"Knochenmark"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"BONITO_FLAKES"	"Bonitoflocken"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BRANDY"	"Brandy oder Weinbrand"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BRATWURST"	"Bratwurst"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BRAZIL_NUT"	"Paranüsse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BREAD"	"Brot oder Fladenbrot"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BREAD_DUMPLING"	"Semmelknödel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BREADCRUMBS"	"Semmelbrösel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BRIE"	"Brie"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BROAD_BEANS"	"Dicke Bohnen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BROCCOLI"	"Brokkoli"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BROKEN_RICE"	"Bruchreis"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BROWN_CHAMPIGNON"	"braune Champignons"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BROWN_RICE"	"Vollkornreis"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BROWN_SUGAR"	"brauner Zucker"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BRUNOST"	"Brunost"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"BRUSSELS_SPROUTS"	"Rosenkohl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BRUSSELS_WAFFLE"	"Brüsseler Waffel"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"BUCKWHEAT"	"Buchweizen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BUCKWHEAT_FLOUR"	"Buchweizenmehl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BULGUR"	"Bulgur"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BUTTER"	"Butter"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BUTTER_BEANS"	"Limabohnen"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"BUTTERMILK"	"Buttermilch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"BUTTERNUT_SQUASH"	"Butternut-Kürbis"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CABBAGE_VEGETABLES"	"Kohlgemüse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CALAMANSI"	"Calamansi"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"CALVADOS"	"Calvados"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CAMEMBERT"	"Camembert"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CANNED_CHAMPIGNONS"	"Dosenchampignons"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CANNED_SARDINES"	"Sardinen aus der Dose"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CANNED_TOMATOES"	"Dosentomaten"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CANNED_TUNA"	"Thunfisch aus der Dose"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CANNELLINI_BEANS"	"Cannellini-Bohnen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CANTALOUPE"	"Cantaloupe-Melone"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CAPERS"	"Kapern"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CARAWAY"	"Kümmel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CARDAMOM"	"Kardamom"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CARP"	"Karpfen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"CARROT"	"Karotte"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CASHEW"	"Cashewkerne"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CASHEW_BUTTER"	"Cashewmus"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CASSAVA"	"Maniok"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"CATFISH"	"Wels"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"CAULIFLOWER"	"Blumenkohl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CAVA"	"Cava"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CAYENNE_PEPPER"	"Cayennepfeffer"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CELERIAC"	"Knollensellerie"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CELERY_STALK"	"Staudensellerie"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHAMPIGNON"	"frische Champignons"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHAMPIGNONS"	"Champignons"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHANTERELLE"	"Pfifferlinge"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CHARD"	"Mangold"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHEDDAR"	"Cheddar"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHEESE"	"Käse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHERRY"	"Kirsche"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHERRY_TOMATO"	"Kirschtomaten"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHERVIL"	"Kerbel"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"CHESTNUT"	"Esskastanien"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CHIA_SEEDS"	"Chiasamen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKEN"	"Hähnchen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKEN_BREAST"	"Hähnchenbrust"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKEN_DRUMSTICKS"	"Hähnchenunterkeulen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKEN_FEET"	"Hühnerfüße"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"CHICKEN_LIVER"	"Hähnchenleber"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CHICKEN_STOCK"	"Hühnerbrühe"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKEN_THIGH"	"Hähnchenschenkel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKEN_WINGS"	"Hähnchenflügel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKPEA_FLOUR"	"Kichererbsenmehl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICKPEAS"	"Kichererbsen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHICORY"	"Chicorée"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHILI"	"frische Chili"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHILI_CONDIMENTS"	"Chilisauce oder -paste"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHILI_CRISP"	"Chili-Crisp"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"EASY"	"PLANNED"	"YES"	"NO"	""
"CHILI_FLAKES"	"Chiliflocken"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHILI_OIL"	"Chiliöl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHILI_POWDER"	"Chilipulver"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHIPOTLE"	"Chipotle"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"CHIVES"	"Schnittlauch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHOCOLATE"	"Schokolade"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CHOCOLATE_HAGELSLAG"	"Schoko-Hagelslag"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"CHORIZO"	"Chorizo"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CIDER"	"Cider"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CILANTRO"	"Koriandergrün"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CINNAMON"	"Zimt"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CITRUS_FRUIT"	"Zitrusfrucht"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CLAMS"	"Venusmuscheln"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"CLOUDBERRY"	"Moltebeere"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"CLOUDBERRY_PRESERVES"	"Moltebeerkonfitüre/-kompott"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"YES"	"NO"	""
"CLOVES"	"Gewürznelken"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCKLES"	"Herzmuscheln"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"YES"	"NO"	""
"COCOA_POWDER"	"Kakaopulver"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCOA_PRODUCTS"	"Kakao oder Schokolade"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCONUT"	"Kokosnuss"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"COCONUT_CREAM"	"Kokoscreme"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCONUT_FLAKES"	"Kokosraspeln"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCONUT_MILK"	"Kokosmilch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCONUT_OIL"	"Kokosöl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
