"concept_code","georgia_before","tobias_before","recommended_georgia","recommended_tobias","audit_reason","evidence_focus","audit_status"
"BLOOD_SAUSAGE","PLANNED","EASY","EASY","EASY","Für Blutwurst ist die erlaubte Form „Wurstfamilie mit Blut als prägendem Bestandteil“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Blutwurst und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"BRANDY","PLANNED","EASY","EASY","EASY","Für Brandy oder Weinbrand ist die erlaubte Form „Offene Weinbrandfamilie; geschützte beziehungsweise kulinarisch eigenständige Ausprägungen wie Cognac können separat konkretisiert werden.“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Brandy oder Weinbrand und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"BRAZIL_NUT","PLANNED","EASY","EASY","EASY","Für Paranüsse ist die erlaubte Form „Große, fettreiche Paranusskerne mit cremigem Biss“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Paranüsse und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CANNELLINI_BEANS","PLANNED","EASY","PLANNED","PLANNED","Bei Cannellini-Bohnen ist die Form „Mittelgroße weiße Bohnen italienischer Art mit mildem Geschmack und cremiger Textur“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Cannellini-Bohnen; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"CHERVIL","PLANNED","EASY","DIFFICULT","DIFFICULT","Die erneute formgenaue Suche findet keinen stabilen allgemeinen Lebensmittelweg für frischen Kerbel: Die breite Route ist ohne positiven Bestand, während nur eine lebende Topfpflanze aus einer einzelnen Gärtnerei bestellbar bleibt. Frischeform und Pflanzenversand tragen daher DIFFICULT für beide Profile.","Allgemeine Bundware auf aktuellen Bestand und den verbleibenden Gärtnereiweg auf essbare Blattform, Versandempfindlichkeit und Wiederholbarkeit prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"CHIA_SEEDS","PLANNED","EASY","EASY","EASY","Für Chiasamen ist die erlaubte Form „Kleine quellfähige Samen, die Flüssigkeit gelartig binden“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Chiasamen und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CHICKEN_LIVER","PLANNED","EASY","PLANNED","PLANNED","Bei Hähnchenleber ist die Form „Kleine zarte Geflügelleber mit kräftigem, aber milderem Aroma als Rinderleber“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Hähnchenleber; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"CHILI_OIL","PLANNED","EASY","PLANNED","PLANNED","Bei Chiliöl ist die Form „Mit Chili aromatisiertes Speiseöl, klar oder mit Sediment“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Chiliöl; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"CHORIZO","PLANNED","EASY","EASY","EASY","Für Chorizo ist die erlaubte Form „Kräftig gewürzte Wurst der Chorizo-Familie“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Chorizo und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CIDER","PLANNED","EASY","PLANNED","PLANNED","Bei Cider ist die Form „Vergorener Apfelwein, still oder perlend und trocken bis süß“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Cider; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"CILANTRO","PLANNED","EASY","EASY","EASY","Für Koriandergrün ist die erlaubte Form „Frisches Blattgrün des Korianders mit markant zitrisch-würzigem Aroma“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Koriandergrün und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CLOUDBERRY_PRESERVES","PLANNED","DIFFICULT","DIFFICULT","DIFFICULT","Moltebeer-Konfitüre bleibt trotz einzelner haltbarer Listings ein enger skandinavischer Importartikel; Georgias allgemeiner PLANNED-Weg ist ohne mehrere unabhängige, stabile Nicht-Nischenquellen nicht belegt.","Aktuelle unabhängige deutsche/EU-Endkundenquellen für echte Moltebeer-Konfitüre, Wiederholbestand und Lieferzeit prüfen; Aggregatoren und Gastronomiegebinde nicht als Marktbreite zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"COCONUT_CREAM","PLANNED","EASY","PLANNED","PLANNED","Bei Kokoscreme ist die Form „Dickflüssige, fettreiche Kokosextraktion mit höherem Fettanteil als Kokosmilch“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Kokoscreme; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"COCONUT_PRODUCTS","PLANNED","EASY","EASY","EASY","Für Kokoszutat ist die erlaubte Form „Offene Familie für Kokosfrucht, Kokoswasser, daraus gewonnene Emulsionen, Fett und weitere verarbeitete Kokosprodukte“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Kokoszutat und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"COCONUT_WATER","EASY","PLANNED","EASY","EASY","Für Kokoswasser ist die erlaubte Form „Klare Flüssigkeit aus dem Inneren junger Kokosnüsse“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Kokoswasser und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CRUSTACEANS","PLANNED","EASY","EASY","EASY","Für Krustentiere ist die erlaubte Form „Offene Vorgabe für Krebstiere wie Garnelen, Krabben, Hummer oder Flusskrebse“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Krustentiere und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CULANTRO","SPECIALTY","DIFFICULT","DIFFICULT","DIFFICULT","Die aktuelle A–M-Evidenz weist für Georgia keinen exakten positiven Treffer der zulässigen Blattware aus; beide geprüften Quellen sind NO_MATCH. Ohne positiven Weg und ohne belegte breite Spezialmarktpräsenz trägt die v2-SPECIALTY-Stufe nicht.","Für eine spätere leichtere Stufe wären namentlich konkrete, wiederholt bestückte Kölner/Düsseldorfer Händler für Culantro-/Sägeblattkoriander-Blattware nötig; ähnliche Korianderformen sowie bloße Suchtreffer ausschließen und Frische-/Transportweg prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"CURED_MEAT","PLANNED","EASY","EASY","EASY","Für gepökeltes oder luftgetrocknetes Fleisch ist die erlaubte Form „Offene Familie gepökelter, getrockneter oder vergleichbar gereifter Fleischprodukte“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für gepökeltes oder luftgetrocknetes Fleisch und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"CURRY_LEAVES","SPECIALTY","DIFFICULT","SPECIALTY","DIFFICULT","Der effektive menschlich freigegebene Anker AV2-034 ist verbindlich: Im großen indisch-asiatischen Spezialmarkt grundsätzlich etabliert; für Tobias bleibt die exakte frische/TK-Form wegen kleinerer lokaler Auswahl und Frischelogistik schwierig. Dieser konkrete Ankerweg rechtfertigt den Personenunterschied; eine katalogweite Übertragung auf Verwandte wäre unzulässig.","Anker AV2-034 als Kontrollsatz beibehalten; bei späterer Evidenzpflege den dort benannten konkreten Profilweg und die exakte Form „Aromatische Blätter des Currybaums mit zitrisch-röstigem Aroma“ dokumentieren.","ANCHOR_PROFILE_DIFFERENCE_CONFIRMED"
"CUTTLEFISH","PLANNED","EASY","PLANNED","PLANNED","Bei Sepia ist die Form „Sepia beziehungsweise echter Tintenfisch mit festem Fleisch und essbarer Tinte“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Sepia; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"DATE_SYRUP","PLANNED","SPECIALTY","PLANNED","SPECIALTY","Der effektive menschlich freigegebene Anker AV2-026 ist verbindlich: Georgia hat einen konkreten breiteren türkisch-/arabischen Fachmarktweg; Tobias benötigt eher den einschlägigen Spezialhandel. Keine Seite erhält EASY allein aus Demografie. Dieser konkrete Ankerweg rechtfertigt den Personenunterschied; eine katalogweite Übertragung auf Verwandte wäre unzulässig.","Anker AV2-026 als Kontrollsatz beibehalten; bei späterer Evidenzpflege den dort benannten konkreten Profilweg und die exakte Form „Dunkler konzentrierter Sirup aus Datteln mit fruchtig-karamelligem Geschmack“ dokumentieren.","ANCHOR_PROFILE_DIFFERENCE_CONFIRMED"
"DIJON_MUSTARD","PLANNED","EASY","EASY","EASY","Für Dijon-Senf ist die erlaubte Form „Feiner bis glatter, deutlich scharfer Senf nach Dijon-Art“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Dijon-Senf und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"DILL","PLANNED","EASY","EASY","EASY","Für Dill ist die erlaubte Form „Frische Dillspitzen mit anisartig-grünem Aroma“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Dill und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"DUCK_EGG","DIFFICULT","PLANNED","DIFFICULT","DIFFICULT","Frische Enteneier hängen von einzelnen Hof-, Wochenmarkt- oder Delikatessenwegen ab; weder Rostocks allgemeiner Handel noch Georgias Regionalprofil belegt einen robusten breiten Handelsweg.","Konkrete wiederholbare Endkundenquelle für frische Enteneier je Person, Packstellen-/Versandbedingungen und Ein-Wochen-Verfügbarkeit prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"DUMPLING_DOUGH","DIFFICULT","SPECIALTY","PLANNED","PLANNED","Der ungeschnittene, in Zusammensetzung und Dicke offene Teig kann durch robust angebotenen frischen Nudel-/Pastateig erfüllt werden; zugeschnittene Wrapper sind dagegen ein anderes Konzept. Damit ist ein allgemeiner geplanter Weg für beide Personen tragfähig.","Mindestens zwei allgemeine deutsche Kühlteig-Angebote auf Eignung als ungeschnittener Dumpling-Teig prüfen; Wrapper-Listings ausdrücklich ausschließen.","ALIGNMENT_CORRECTION_REQUIRED"
"EDAM","PLANNED","EASY","EASY","EASY","Für Edamer ist die erlaubte Form „Halbfester Kuhmilchkäse nach Edamer Art“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Edamer und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"EDAMAME","PLANNED","SPECIALTY","PLANNED","PLANNED","Bei Edamame ist die Form „Unreif geerntete grüne Sojabohnen, meist in der Schote blanchiert oder ausgelöst“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Edamame; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"EVAPORATED_MILK","EASY","PLANNED","PLANNED","PLANNED","Bei Kondensmilch ist die Form „Ungesüßte, durch Wasserentzug konzentrierte Milch“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Kondensmilch; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"FENNEL_SEED","PLANNED","EASY","EASY","EASY","Für Fenchelsaat ist die erlaubte Form „Getrocknete Fenchelfrüchte mit süßlich-anisartigem Aroma“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Fenchelsaat und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"FERMENTED_CUCUMBER","PLANNED","EASY","PLANNED","PLANNED","Bei Salzgurke ist die Form „Milchsauer in Salzlake fermentierte Gurke“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Salzgurke; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"FERMENTED_SEASONINGS","PLANNED","EASY","EASY","EASY","Für fermentierte Würzzutat ist die erlaubte Form „Offene Familie fermentierter Würzsaucen, Pasten und vergleichbarer Zutaten“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für fermentierte Würzzutat und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"FIG","PLANNED","EASY","EASY","EASY","Für Feige ist die erlaubte Form „Feige mit weichem, samenreichem und honigartig süßem Fruchtfleisch“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Feige und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"FINGERROOT","DIFFICULT","SPECIALTY","SPECIALTY","SPECIALTY","Für Fingerwurz scheidet der allgemeine Handel bei der Form „Fingerartige Rhizome von Boesenbergia rotunda mit erdig-zitrischem, leicht pfeffrig-kampferartigem Aroma“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Fingerwurz, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"FIRM_TOFU","PLANNED","EASY","EASY","EASY","Für fester Tofu ist die erlaubte Form „Fester gepresster Tofu, der schneiden, braten und marinieren verträgt“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für fester Tofu und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"FLATBREAD","PLANNED","EASY","EASY","EASY","Für Fladenbrot ist die erlaubte Form „Offene Familie flacher Brote, weich oder knusprig und mit oder ohne Triebmittel“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Fladenbrot und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"FRANKFURT_GREEN_SAUCE","PLANNED","DIFFICULT","DIFFICULT","DIFFICULT","Die genaue Sieben-Kräuter-Sauce ist außerhalb des Frankfurter Saison- und Kühlmarkts nicht robust; ein bloßes nationales Kettenlisting belegt weder Bornheimer Bestand noch einen Tobias-spezifischen Weg.","Standortbezogenen Bestand der fertigen Sieben-Kräuter-Sauce in Bornheim und Rostock sowie Saison-, Kühl- und Lieferfenster prüfen; Kräutersalz und bloße Rezeptseiten ausschließen.","ALIGNMENT_CORRECTION_REQUIRED"
"FRUIT_DUMPLING","PLANNED","SPECIALTY","PLANNED","PLANNED","Die offene Obstknödel-Form umfasst verbreitete tiefgekühlte Germ-, Marillen- und andere Fruchtknödel; mehrere allgemeine deutsche Ketten führen solche Produkte, wenn auch nicht mit universeller Nahmarktquote. Ein internationaler Spezialmarkt ist für Tobias nicht erforderlich.","Aktuelle allgemeine Kettenlistings für fruchtgefüllte Germ-/Marillen-/Kartoffelknödel, Filialabhängigkeit und Ein-Wochen-Verfügbarkeit prüfen; ungefüllte Knödel und bloße Rezeptseiten ausschließen.","ALIGNMENT_CORRECTION_REQUIRED"
"GARLIC_CHIVES","SPECIALTY","DIFFICULT","SPECIALTY","DIFFICULT","Der effektive menschlich freigegebene Anker AV2-035 ist verbindlich: Georgia hat Zugang zu großen Asia-Frischsortimenten; Tobias hängt von wenigen frischen Versand- oder Zufallswegen ab. Dieser konkrete Ankerweg rechtfertigt den Personenunterschied; eine katalogweite Übertragung auf Verwandte wäre unzulässig.","Anker AV2-035 als Kontrollsatz beibehalten; bei späterer Evidenzpflege den dort benannten konkreten Profilweg und die exakte Form „Flaches asiatisches Schnittlauchgewächs mit deutlichem Knoblaucharoma“ dokumentieren.","ANCHOR_PROFILE_DIFFERENCE_CONFIRMED"
"GLASS_NOODLES","PLANNED","EASY","EASY","EASY","Für Glasnudeln ist die erlaubte Form „Transparente Nudeln aus Stärke, häufig Mungbohnen-, Süßkartoffel- oder Erbsenstärke“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Glasnudeln und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
