concept_code,display_name,active,random_draw_enabled,challenge_specificity,current_cooking_novelty,current_availability_georgia,current_availability_tobias,current_base_draw_weight,direct_parent_codes,direct_child_codes,curator_note,proposed_review_applicability,proposed_cooking_novelty,proposed_availability_georgia,proposed_availability_tobias,proposed_base_draw_weight_review,review_rationale,evidence,approval_status
ALMOND_BUTTER,Mandelmus,true,true,SPECIFIC,2,EASY,EASY,0.5500,ALMOND|NUT_AND_SEED_PASTES,,"Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ALMOND_DRINK,Mandeldrink,true,true,SPECIFIC,1,EASY,EASY,0.6000,PLANT_DRINKS,,Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AMARANTH,Amaranth,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,GRAINS,,Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ANCHOVIES,Sardellen,true,true,SPECIFIC,2,EASY,EASY,0.4500,OILY_FISH,,"Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ANCHO_CHILI,Ancho-Chili,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3500,DRIED_CHILI,,Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ANNATTO,Annatto,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,SPICES,,"Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
APPLE,Apfel,true,true,SPECIFIC,1,EASY,EASY,1.0000,POME_FRUIT,,"Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
APPLE_CIDER_VINEGAR,Apfelessig,true,true,SPECIFIC,1,EASY,EASY,0.6500,VINEGAR,,Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
APRICOT,Aprikose,true,true,SPECIFIC,2,EASY,EASY,0.5500,STONE_FRUIT,DRIED_APRICOT,"Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AQUAVIT,Aquavit,true,true,SPECIFIC,3,EASY,EASY,0.2500,COOKING_ALCOHOL,,"Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ARTICHOKE,Artischocke,true,true,SPECIFIC,2,EASY,EASY,0.6000,FLOWER_VEGETABLES,,Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ARUGULA,Rucola,true,true,SPECIFIC,1,EASY,EASY,0.8500,SALAD_GREENS,,"Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ASPARAGUS,Spargel,true,true,SPECIFIC,1,EASY,EASY,0.6000,STEM_VEGETABLES,GREEN_ASPARAGUS|WHITE_ASPARAGUS,Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AVOCADO,Avocado,true,true,SPECIFIC,1,EASY,EASY,0.8500,TROPICAL_FRUIT,,"Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BACON,Bacon,true,true,SPECIFIC,2,EASY,EASY,0.6500,CURED_MEAT|PORK,,"Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAGOONG,Bagoong,true,true,OPEN,4,EASY,PLANNED,0.3500,FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES,BAGOONG_ALAMANG|BAGOONG_ISDA,Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAGOONG_ALAMANG,Bagoong alamang,true,true,SPECIFIC,4,EASY,PLANNED,0.3000,BAGOONG|SHRIMP_PASTE,,Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAGOONG_ISDA,Bagoong isda,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.2500,BAGOONG,,Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAGUETTE,Baguette,true,true,SPECIFIC,1,EASY,EASY,0.7500,BREAD,,Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAKED_GOODS,Backware,true,false,OPEN,1,,,1.0000,,BREAD|CROISSANT|KOLACHE|WAFFLES,Offene Familie gebackener oder vergleichbar ausgebackener stärkehaltiger Produkte; süße und herzhafte Formen sind umfasst.,NOT_APPLICABLE_STRUCTURE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,PROPOSED_NOT_APPLICABLE
BALSAMIC_VINEGAR,Balsamico,true,true,SPECIFIC,1,EASY,EASY,0.5500,VINEGAR,,"Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Reifegrad und Dichte können variieren.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAMBOO_SHOOTS,Bambussprossen,true,true,SPECIFIC,3,EASY,EASY,0.5500,STEM_VEGETABLES,,Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BANANA,Banane,true,true,SPECIFIC,1,EASY,EASY,0.7500,TROPICAL_FRUIT,,"Reife Dessertbanane mit weichem, süßem Fruchtfleisch; nicht stärkehaltige Kochbanane.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BANANA_BLOSSOM,Bananenblüte,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3500,FLOWER_VEGETABLES,,"Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BANANA_KETCHUP,Bananenketchup,true,true,SPECIFIC,4,EASY,PLANNED,0.3500,READY_SAUCES_AND_PASTES,,"Filipinische süß-säuerliche Würzsauce auf Bananenbasis, typischerweise tomatenketchupähnlich gewürzt und gefärbt.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BANANA_LEAVES,Bananenblätter,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,FRESH_HERBS,,"Große Bananenblätter als aromatisierende Hülle oder Unterlage zum Dämpfen, Kochen und Grillen; frisch oder tiefgekühlt verwendbar. Sie werden nicht als Blattgemüse gegessen und sind keine Konkretisierung der Bananenfrucht.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BARBECUE_SAUCE,Barbecuesauce,true,true,SPECIFIC,2,EASY,EASY,0.4500,READY_SAUCES_AND_PASTES,,"Fertige kräftig gewürzte Sauce nach Barbecue-Art; Süße, Rauchigkeit, Säure und Schärfe können deutlich variieren.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BARLEY,Gerste,true,true,SPECIFIC,2,PLANNED,PLANNED,0.5500,GRAINS,PEARL_BARLEY,"Gerstenkorn als Kochzutat, etwa geschält oder als Rollgerste; Graupen sind eine stärker verarbeitete Form.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BASIL,Basilikum,true,true,SPECIFIC,1,EASY,EASY,0.7000,FRESH_HERBS,HOLY_BASIL|THAI_BASIL,Frisches Basilikum mit süßlich-pfeffrigem Aroma; Thai-Basilikum bleibt als eigenständige Ausprägung getrennt.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BASMATI_RICE,Basmatireis,true,true,SPECIFIC,1,EASY,EASY,0.8500,RICE,,Langkornreis mit charakteristisch duftigem Aroma und lockerem Korn; weiß oder als Vollkornvariante verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BAY_LEAF,Lorbeerblatt,true,false,SPECIFIC,1,EASY,EASY,0.6000,FRESH_HERBS,,"Getrocknetes oder frisches Lorbeerblatt mit herb-würzigem Aroma für Brühen, Saucen und Schmorgerichte; vor dem Servieren üblicherweise entfernen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEANS,Bohnen,true,true,OPEN,1,EASY,EASY,0.6500,LEGUMES,ADZUKI_BEANS|BLACK_BEANS|BLACK_EYED_PEAS|BROAD_BEANS|BUTTER_BEANS|CANNELLINI_BEANS|KIDNEY_BEANS|MUNG_BEANS|PINTO_BEANS|SOYBEANS|WHITE_BEANS,Offene Vorgabe für trockene oder vorgegarte Bohnenkerne; frische grüne Bohnen und andere Schotengemüse sind nicht gemeint.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEAN_SPROUTS,Mungbohnensprossen,true,true,SPECIFIC,1,EASY,EASY,0.8000,SPROUTS,,"Knackige Sprossen der Mungbohne, im Handel oft als Sojasprossen bezeichnet; nicht mit Keimlingen der Sojabohne gleichsetzen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF,Rindfleisch,true,true,OPEN,1,EASY,EASY,0.7500,MEAT,BEEF_BRISKET|BEEF_CHEEK|BEEF_GOULASH|BEEF_HEART|BEEF_LIVER|BEEF_MINCE|BEEF_ROAST|BEEF_ROULADE|BEEF_RUMP|BEEF_SHIN|BEEF_SHORT_RIBS|BEEF_STEAK|BEEF_TENDERLOIN|BEEF_TONGUE|BONE_MARROW|OXTAIL|TRIPE,"Offene Vorgabe für Rindfleisch; Zuschnitt, Fettanteil und geeignete Garmethode werden bewusst nicht festgelegt.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_BRISKET,Rinderbrust,true,true,SPECIFIC,2,PLANNED,PLANNED,0.7500,BEEF,,"Bindegewebsreiche Rinderbrust, besonders für langsames Schmoren, Kochen oder Barbecue geeignet.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_CHEEK,Rinderbäckchen,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3500,BEEF,,"Stark beanspruchtes, kollagenreiches Muskelfleisch aus der Rinderbacke; wird durch langes Schmoren zart.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_GOULASH,Rindergulasch,true,true,SPECIFIC,1,EASY,EASY,0.9000,BEEF,,"Würfel oder grobe Stücke vom Rind für Schmorgerichte; gemeint ist der rohe Zuschnitt, nicht das fertige Gulasch.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_HEART,Rinderherz,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.2500,BEEF|OFFAL,,"Mageres, festes Muskelfleisch vom Rinderherz mit kräftigem Eigengeschmack; nicht mit Lebertextur gleichsetzen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_LIVER,Rinderleber,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,BEEF|OFFAL,,"Rinderleber mit kräftigem, mineralischem Geschmack und weicher Textur; kurze Garung verhindert unnötige Trockenheit.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_MINCE,Rinderhack,true,true,SPECIFIC,1,EASY,EASY,0.9500,BEEF|MINCED_MEAT,,Zerkleinertes Rindfleisch mit variablem Fettanteil; nicht gemischtes Hackfleisch.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_ROAST,Rinderbraten,true,true,SPECIFIC,1,EASY,EASY,0.8500,BEEF,,Größeres Rindfleischstück zum Braten oder Schmoren; der konkrete Teilzuschnitt bleibt offen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_ROULADE,Rinderroulade,true,true,SPECIFIC,1,EASY,EASY,0.7500,BEEF,,"Dünne große Rindfleischscheibe zum Füllen und Schmoren; gemeint ist der Zuschnitt, nicht eine festgelegte Füllung.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_RUMP,Rinderhüfte,true,true,SPECIFIC,1,EASY,EASY,0.7000,BEEF,,"Rinderhüfte als relativ magerer, kurzbrat- oder bratentauglicher Zuschnitt; nicht das stärker marmorierte Roastbeef.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_SHIN,Rinderbeinscheibe,true,true,SPECIFIC,1,EASY,EASY,0.8500,BEEF,,Quergeschnittene Rinderhaxe mit Knochen und viel Kollagen; besonders für langsames Schmoren oder Brühen geeignet.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_SHORT_RIBS,Rinderrippen,true,true,SPECIFIC,3,PLANNED,PLANNED,0.5500,BEEF,,Fleischige kurze Rinderrippen mit Fett und Bindegewebe; für langsames Garen oder Barbecue geeignet.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_STEAK,Rindersteak,true,true,SPECIFIC,1,EASY,EASY,0.7500,BEEF,,Zum Kurzbraten geeignete Rindfleischscheibe; der konkrete Steakzuschnitt und Reifegrad bleiben offen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_STOCK,Rinderfond,true,true,SPECIFIC,1,EASY,EASY,0.5000,STOCKS,,Kräftiger Fond auf Basis von Rindfleisch und/oder Rinderknochen; selbst gekocht oder als hochwertiges Fertigprodukt verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_TENDERLOIN,Rinderfilet,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,BEEF,,Sehr zartes und mageres Rinderfilet für kurze Garung; nicht mit Schweinefilet oder Roastbeef gleichsetzen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEEF_TONGUE,Rinderzunge,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.2500,BEEF|OFFAL,,"Rinderzunge als festes, nach langem Garen zartes Muskelfleisch; üblicherweise vor dem Servieren gehäutet.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEER,Bier,true,true,SPECIFIC,1,EASY,EASY,0.2500,COOKING_ALCOHOL,LAMBIC|PILSNER_LAGER,"Vergorenes Getreidegetränk als Kochzutat; Bierstil, Malzigkeit und Hopfenbittere bleiben bewusst wählbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BEETROOT,Rote Bete,true,true,SPECIFIC,1,EASY,EASY,0.9000,ROOT_VEGETABLES,,"Rote Bete mit erdig-süßlichem Geschmack; frisch, vorgegart oder schlicht konserviert verwendbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BELACAN,Belacan,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,SHRIMP_PASTE,,Malaysische feste fermentierte Garnelenpaste mit sehr intensivem Aroma; meist geröstet und sparsam dosiert verwendet.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BELL_PEPPER,Paprika,true,true,SPECIFIC,1,EASY,EASY,1.0000,FRUIT_VEGETABLES,AJVAR|GREEN_BELL_PEPPER|RED_BELL_PEPPER|YELLOW_BELL_PEPPER,"Milde Gemüsepaprika ohne Festlegung auf eine Farbe; rote, gelbe und grüne Paprika sind bekannte Ausprägungen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BELUGA_LENTILS,Belugalinsen,true,true,SPECIFIC,2,EASY,EASY,0.6500,LENTILS,,"Kleine schwarze Linsen, die beim Garen vergleichsweise formstabil bleiben; nicht Beluga-Kaviar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BERBERE,Berbere,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,SPICE_BLENDS,,Äthiopisch-eritreische Gewürzmischung mit Chili und warmen Gewürzen; Zusammensetzung und Schärfe variieren.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BERRIES,Beeren,true,true,OPEN,1,EASY,EASY,0.6500,FRUIT,BLACKBERRY|BLACK_CURRANT|BLUEBERRY|CLOUDBERRY|CRANBERRY|ELDERBERRY|GOOSEBERRY|LINGONBERRY|MULBERRY|RASPBERRY|RED_CURRANT|STRAWBERRY,Offene Vorgabe für kulinarisch als Beeren verwendete kleine Früchte; Sorte und frisch oder tiefgekühlt bleiben offen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BIRDS_EYE_CHILI,Bird’s-Eye-Chili,true,true,SPECIFIC,3,EASY,PLANNED,0.5000,CHILI,,"Kleine, sehr scharfe frische Chili der Bird’s-Eye-Familie; nicht getrocknete Flocken oder Pulver.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BITTER_MELON,Bittermelone,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,FRUIT_VEGETABLES,,Herb-bitteres Fruchtgemüse mit warziger Oberfläche; auch Bittergurke oder Ampalaya genannt.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BIVALVES,Muscheln,true,true,OPEN,2,EASY,PLANNED,0.5500,MOLLUSCS|SHELLFISH,CLAMS|COCKLES|MUSSELS|OYSTER|RAZOR_CLAMS|SCALLOPS,"Offene Vorgabe für zweischalige Weichtiere wie Mies-, Venus- oder Jakobsmuscheln; nicht Krebstiere.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACKBERRY,Brombeere,true,true,SPECIFIC,2,EASY,EASY,0.5500,BERRIES,,"Brombeere als frische oder ungesüßt tiefgekühlte Beere mit süß-säuerlichem, dunklem Fruchtaroma.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_BEANS,schwarze Bohnen,true,true,SPECIFIC,1,EASY,EASY,0.8000,BEANS,FERMENTED_BLACK_BEANS,Schwarze Bohnen mit cremigem Inneren und mild-erdigem Geschmack; getrocknet oder vorgegart verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_CARDAMOM,schwarzer Kardamom oder Thảo quả,true,true,SPECIFIC,4,PLANNED,PLANNED,0.3000,CARDAMOM,,Große dunkle Kardamomkapseln mit kräftig harzig-kampferartigem und häufig rauchigem Aroma; meist ganz in Brühen und Schmorgerichten mitgekocht. Nicht mit dem milderen grünen Kardamom gleichsetzen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_CURRANT,schwarze Johannisbeere,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,BERRIES,,Schwarze Johannisbeere mit intensiver Säure und herb-aromatischem Geschmack; frisch oder ungesüßt tiefgekühlt gemeint.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_EYED_PEAS,Augenbohnen,true,true,SPECIFIC,3,PLANNED,PLANNED,0.5500,BEANS,,Helle Augenbohnen mit dunklem Keimfleck und mild-nussigem Geschmack; botanisch eine Form der Kuhbohne.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_GARLIC,schwarzer Knoblauch,true,true,SPECIFIC,4,EASY,EASY,0.3500,GARLIC,,"Fermentativ gereifter Knoblauch mit süßlich-würzigem, deutlich umamireichem Profil.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_PEPPER,schwarzer Pfeffer,true,false,SPECIFIC,1,EASY,EASY,0.6000,PEPPER,,Reif geerntete und getrocknete Pfefferfrüchte mit kräftiger Schärfe und warmem Aroma; ganz oder gemahlen verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_TEA,schwarzer Tee,true,true,SPECIFIC,2,EASY,EASY,0.3500,TEA,,"Vollständig oxidierter Tee mit kräftigem, oft malzigem oder herbem Profil; Sorte und Blattgrad bleiben offen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLACK_VINEGAR,chinesischer schwarzer Essig,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,VINEGAR,,"Dunkler chinesischer Getreideessig mit malziger, röstiger Säure; nicht Balsamico oder bloß gefärbter Tafelessig.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLOOD_ORANGE,Blutorange,true,true,SPECIFIC,2,PLANNED,PLANNED,0.5000,ORANGE,,Orange mit rot pigmentiertem Fruchtfleisch und häufig beerig-herber Note; nicht Grapefruit.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLOOD_SAUSAGE,Blutwurst,true,true,SPECIFIC,3,PLANNED,PLANNED,0.3000,OFFAL|SAUSAGE,MORCILLA,"Wurstfamilie mit Blut als prägendem Bestandteil; Gewürzung, Getreideanteil und Konsistenz können regional variieren.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
BLUEBERRY,Heidelbeere,true,true,SPECIFIC,1,EASY,EASY,0.6500,BERRIES,,Heidelbeere als frische oder ungesüßt tiefgekühlte Beere; Kultur- und Waldheidelbeeren sind umfasst.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
