anchor_id,concept_code,display_name,specificity,coverage_tags,current_cooking_novelty,current_availability_georgia,current_availability_tobias,proposed_cooking_novelty,proposed_availability_georgia,proposed_availability_tobias,product_form_basis,cooking_novelty_rationale,availability_rationale,evidence,open_boundary,approval_status
A11,POMEGRANATE_MOLASSES,Granatapfelmelasse,SPECIFIC,planned|context-bound|shelf-stable|turkish-arabic,3,PLANNED,PLANNED,3,PLANNED,PLANNED,reine oder schlicht zusammengesetzte Granatapfelmelasse,In türkisch-arabischen und östlichen Mittelmeerküchen konventionell außerhalb davon klar richtungsgebend.,Bekannte Spezialsortimente oder unkomplizierte Bestellung sind nötig aber planbar.,Katalognotiz,,PROPOSED
A12,BUCKWHEAT,Buchweizen,SPECIFIC,easy|familiar|dry|eastern-european,2,EASY,EASY,2,EASY,EASY,ganzes Korn oder Grütze,Nussige aber etablierte Stärke mit mehreren konventionellen europäischen Anwendungen.,Bio- Supermarkt- und osteuropäische Sortimente machen den Einkauf in beiden Profilen spontan realistisch.,Katalognotiz,,PROPOSED
A13,BEER,Bier,SPECIFIC,easy|unusual|beverage|european,1,EASY,EASY,4,EASY,EASY,Bier als Flüssigkeit und Aromaträger,Als Getränk alltäglich; als verpflichtende Kochzutat auf Teige Marinaden Saucen und Schmorgerichte begrenzt und damit deutlicher Twist.,Bier ist in beiden Profilen spontan erhältlich; die Verwendungsungewöhnlichkeit beeinflusst das nicht.,"docs/AVAILABILITY_AND_COOKING_NOVELTY.md §3.2",,PROPOSED
A14,COFFEE,Kaffee,SPECIFIC,easy|unusual|beverage|global,3,EASY,EASY,4,EASY,EASY,gebrühter Kaffee oder geröstete Bohnen beziehungsweise Mahlgut,Primär Getränk; erkennbare herzhafte oder süße Kochverwendungen existieren aber sind deutlich begrenzt.,Geeigneter Kaffee ist in beiden Profilen spontan erhältlich.,Katalognotiz,Ob die breite zulässige Form noch Stufe 3 statt 4 rechtfertigt.,PROPOSED
A15,SAFFRON,Safran,SPECIFIC,easy|context-bound|dry|european,5,PLANNED,PLANNED,3,EASY,EASY,getrocknete echte Safranfäden,Klassisch und konventionell in bestimmten Gerichten zugleich stark richtungsgebend; der Preis ist kein Novelty-Signal.,Kleine Packungen sind in gut sortierten gewöhnlichen Supermärkten typischerweise zuverlässig erhältlich; der hohe Preis verschlechtert die Stufe nicht.,"docs/AVAILABILITY_AND_COOKING_NOVELTY.md §§3.2 und 5.4",EASY gegen die tatsächlich genutzten Edeka-Filialen bestätigen.,PROPOSED
A16,BAGOONG,Bagoong,OPEN,planned-specialty|context-bound|open|shelf-stable|filipino,4,EASY,PLANNED,3,PLANNED,SPECIALTY,haltbares Glas einer echten fisch- oder garnelenbasierten Bagoong-Form,In philippinischen Gerichten konventionell aus gemeinsamer Perspektive aber klar kontextgebunden; verbindlich nicht unter Stufe 3.,Georgia kann einen konkreten Kölner philippinischen Bezugsweg nutzen; Tobias' wiederholte lokale Fehlversuche und der notwendige spezialisierte Onlineweg sprechen für Stufe 3.,"docs/AVAILABILITY_AND_COOKING_NOVELTY.md §§3.2 und 6; https://www.asia-in.de/Monika-Salted-Tiny-Shrimp-Gesalzene-Garnelen-Bagoong-Alamang-340-g; https://www.filipinoasianstore.de/p/buenas-salted-tiny-shrimp-bagoong-alamang-340g",Georgias konkreten Ladenbestand und Tobias' Online-Erfahrung bestätigen.,PROPOSED
A17,BAGOONG_ISDA,Bagoong isda,SPECIFIC,specialty-difficult|context-bound|shelf-stable|filipino,4,PLANNED,DIFFICULT,3,SPECIALTY,DIFFICULT,eindeutig fischbasiertes Bagoong in flüssiger oder pastöser Form,Innerhalb philippinischer Gerichte konventionell aber enger als der offene Bagoong-Anker.,Der fischbasierte Untertyp ist nicht durch verbreitetes Bagoong alamang ersetzt; Köln bietet plausible Spezialchancen während Tobias keinen belastbaren wiederholbaren Weg hat.,Katalognotiz,Konkreten Händler für den exakten Fisch-Untertyp vor Freigabe belegen.,PROPOSED
A18,CALAMANSI,Calamansi,SPECIFIC,specialty-difficult|context-bound|fresh-or-juice|filipino,4,PLANNED,DIFFICULT,3,SPECIALTY,DIFFICULT,frische Frucht oder ungesüßter sortenreiner Saft,In philippinischen und südostasiatischen Anwendungen konventionelle Säurequelle aus gemeinsamer Perspektive aber richtungsgebend.,Süße Getränke Aromen und bloße Calamansi-Würzen zählen nicht; valide Frucht oder ungesüßter Saft erfordern für Georgia Spezialbeschaffung und sind für Tobias unzuverlässiger.,"Katalognotiz; https://www.princess-asia-store.de/c/getraenke",Ob ein aktuell lieferbarer ungesüßter Saft einen zuverlässigeren Weg eröffnet.,PROPOSED
A19,UBE,Ube,SPECIFIC,specialty-difficult|context-bound|fresh-or-frozen|filipino,4,PLANNED,DIFFICULT,3,SPECIALTY,DIFFICULT,frische oder tiefgekühlte Ube beziehungsweise ungesüßtes Püree,In philippinischen Süßspeisen und Backwaren klar etabliert; die Zutat ist kontextgebunden statt experimentell.,Pulver Latte Eiscreme und gesüßter Ube-Aufstrich sind keine Belege für die katalogseitig gemeinte Form; Georgia hat plausiblere Kölner TK-Wege als Tobias.,"Katalognotiz; https://philippineshop-cologne.de/sortiment/; https://www.nicas-pinoy-store.de/fisch-fleisch-copy",Exakten wiederholbaren Roh-Ube- oder ungesüßten TK/Püree-Bezugsweg belegen.,PROPOSED
A20,LONGGANISA,Longganisa,OPEN,planned-specialty|context-bound|chilled-or-frozen|filipino,4,PLANNED,PLANNED,3,PLANNED,SPECIALTY,gekühlte oder tiefgekühlte philippinische Wurst einer beliebigen echten Regionalform,Als Wurst in philippinischen Frühstücks- und Reisgerichten konventionell; die offene Regionalform bleibt richtungsgebend.,Ein Kölner Laden führt Longganisa als TK-Ware; Tobias benötigt spezialisierten Kühlversand oder einen belastbaren Transportweg und liegt daher eine Stufe höher.,"https://philippineshop-cologne.de/sortiment/; https://phil-food.de/; https://www.filipinoasianstore.de/c/kategorie/gefrorene-waren",Zuverlässigkeit und Kühlkette des Versandwegs für Tobias bestätigen.,PROPOSED
A21,ALIGUE,Aligue,SPECIFIC,difficult|unusual|shelf-stable-or-chilled|filipino,5,DIFFICULT,DIFFICULT,4,DIFFICULT,DIFFICULT,echte philippinische Krabbenfett-Würzpaste,Sehr enge intensiv prägende Würzzutat mit wenigen naheliegenden Anwendungen; mehr als bloß kontextgebunden.,Die gezielte aktuelle Suche ergab keinen belastbaren deutschen Wiederholungsweg; mögliche private Importe zählen nicht.,Katalognotiz,Vor Freigabe erneut nach exaktem Aligue statt generischer Krabbenpaste recherchieren.,PROPOSED
A22,DRIED_SHRIMP,getrocknete Garnelen,SPECIFIC,planned|context-bound|dry|east-southeast-asian,3,EASY,PLANNED,3,PLANNED,PLANNED,getrocknete ganze oder grob zerkleinerte Garnelen,In vielen ost- und südostasiatischen Küchen konventionelle Umami-Zutat außerhalb davon merklich richtungsgebend.,Haltbare Ware ist im Asialaden oder per einfacher Bestellung für beide planbar; ein beliebiger Supermarkt ist keine sichere Quelle.,Katalognotiz,Georgias derzeitiges EASY anhand einer gewöhnlichen Nahquelle bestätigen oder auf PLANNED ändern.,PROPOSED
A23,BANANA_LEAVES,Bananenblätter,SPECIFIC,planned-specialty|context-bound|fresh-or-frozen|southeast-asian,4,PLANNED,DIFFICULT,3,PLANNED,SPECIALTY,frische oder tiefgekühlte ganze Blattstücke zum Wickeln und Dämpfen,Als Garhülle in mehreren Küchen konventionell und daher kontextgebunden statt bloßer Twist.,Ein Kölner Markt listet frische Blätter; deutschlandweiter Spezialversand existiert aber bleibt für Tobias gegenüber einem lokalen geplanten Einkauf aufwendiger.,"https://asiamarkt-koeln.de/products/frisches-bananenblatt-banana-leaf-100g; https://www.asiatischer-lebensmittelladen.de/produkt/frisches-obst-gemuese/kraeuter/frische-bananen-blaetter-200g/",Für Tobias Verlässlichkeit einer TK-Quelle und nicht nur einer einmaligen Sichtung bestätigen.,PROPOSED
A24,HOLY_BASIL,Krapao,SPECIFIC,specialty|context-bound|fresh|thai,4,PLANNED,DIFFICULT,3,SPECIALTY,SPECIALTY,frische Krapao-Blätter; getrockneter Tulsi und Thai-Basilikum zählen nicht,Für thailändische Gerichte klar konventionelles Kraut aus gemeinsamer Perspektive aber deutlich richtungsgebend.,Aktuell lieferbarer gekühlter deutscher Spezialversand belegt Stufe 3 für beide; die empfindliche Form rechtfertigt keine bloße PLANNED-Einstufung ohne lokale Bestätigung.,"Katalognotiz; https://asia4friends.de/frisches-heiliges-basilikum-krapao-aus-asien-100g",Ob Georgia einen bekannten zuverlässigeren Kölner/Bonn-Bezugsweg der Stufe 2 hat.,PROPOSED
A25,THAI_EGGPLANT,Thai-Aubergine,SPECIFIC,specialty|context-bound|fresh|thai,4,PLANNED,DIFFICULT,3,SPECIALTY,SPECIALTY,frische kleine runde Thai-Aubergine,In Thai-Currys und Dips konventionelles Gemüse aber außerhalb dieses Kontexts deutlich speziell.,Mehrere deutsche Spezialshops listen die frische Form mit planbarem Versand; das ist Spezialbeschaffung aber nicht bloß zufälliger Fund.,"https://villagefoods.de/products/frische-thai-auberginen; https://www.asiamarkt-halong.de/Thai-Aubergine-200g",Ob Georgias bekannter Stadtladen zuverlässig genug für PLANNED ist.,PROPOSED
A26,MAM_TOM,Mắm tôm,SPECIFIC,specialty-difficult|context-bound|shelf-stable|vietnamese,5,PLANNED,DIFFICULT,3,SPECIALTY,DIFFICULT,echte vietnamesische Mắm-tôm-Garnelenpaste,Kräftige aber in ihren vietnamesischen Rollen konventionelle Würze; Intensität und Beschaffung dürfen Novelty nicht auf 5 treiben.,Georgia besitzt plausiblere spezialisierte Stadtläden; für Tobias fehlt noch ein belegter zuverlässiger exakter Produktweg.,Katalognotiz,Exakte Produktlistings statt generischer Garnelenpaste belegen.,PROPOSED
A27,TAI_PLA,Tai Pla,SPECIFIC,difficult|unusual|shelf-stable|thai,5,DIFFICULT,DIFFICULT,4,DIFFICULT,DIFFICULT,echte südthailändische Würze aus fermentierten Fischinnereien,Konventionell in einem sehr engen Gerichtskontext und stark prägend; deshalb ungewöhnliche statt bloß kontextgebundene Verwendung.,Die gezielte aktuelle Suche ergab Gerichte aber keinen belastbaren deutschen Haushaltsbezugsweg; ein möglicher Spezialimport bleibt Stufe 4.,Katalognotiz,Konkreten deutschen oder europäischen Haushaltsanbieter suchen.,PROPOSED
A28,NATTO,Nattō,SPECIFIC,planned-specialty|unusual|chilled-or-frozen|east-asian,5,PLANNED,DIFFICULT,4,PLANNED,SPECIALTY,gekühlte oder tiefgekühlte fermentierte Sojabohnen,Als verzehrfertiges Frühstück oder Topping etabliert; als verpflichtende erkennbare Kochzutat deutlich enger und twistreicher.,Größere japanisch-koreanische Sortimente im Rheinland sind planbar; Tobias benötigt typischerweise einen Spezialladen oder verlässlichen Kühlversand.,Katalognotiz,Ob Tobias' lokale Läden TK-Natto wiederholt führen.,PROPOSED
A29,STOCKFISH,Stockfisch,SPECIFIC,difficult|context-bound|dry|european-eastern-european,5,DIFFICULT,DIFFICULT,3,DIFFICULT,DIFFICULT,ungesalzener luftgetrockneter Fisch,In norwegischen russischen und südeuropäischen Kontexten etablierte Zutat; ihre seltene deutsche Beschaffung macht die Verwendung nicht ausgefallen.,Selbst die Händlerorientierung beschreibt deutsche Beschaffung als Glücks- oder Spezialfall; exakte ungesalzene Form darf nicht mit Klippfisch verwechselt werden.,"Katalognotiz; https://www.rewe.de/lexikon/stockfisch/",Belastbaren exakten Onlineanbieter für ungesalzenen Stockfisch prüfen.,PROPOSED
A30,KLIPPFISH,Klippfisch,SPECIFIC,specialty|context-bound|dry|european,4,DIFFICULT,DIFFICULT,3,SPECIALTY,SPECIALTY,gesalzener und getrockneter Kabeljau oder vergleichbarer Weißfisch,Als Bacalhau beziehungsweise Baccalà konventionell und klar kontextgebunden.,Mehrere exakte deutsche Versandangebote machen Stufe 3 belastbarer als DIFFICULT; große Mengen und Preis allein ändern die Stufe nicht.,"https://finefoods-online.com/de/p/klippfisch-bacalao-bacalhau-getrocknet/399887; https://mitte-meer.de/products/stucke-vom-kabeljau-in-salz-500g-klippfisch",Lieferzuverlässigkeit über mehr als einen Momentstand bestätigen.,PROPOSED
A31,PICKLED_SAUSAGE,eingelegte Wurst,SPECIFIC,specialty|unusual|preserved|eastern-european,3,DIFFICULT,DIFFICULT,4,SPECIALTY,SPECIALTY,verzehrfertige Wurst in säurebasierter Lake,Normalerweise fertiger Imbiss oder kalte Speise; als verpflichtende Kochzutat mit wenigen naheliegenden Anwendungen ein deutlicher Twist.,Haltbare tschechische oder osteuropäische Ware sollte über Spezialhandel planbar sein ohne empfindliche Logistik.,Katalognotiz,Konkreten wiederholbaren Händler vor endgültiger Stufe 3 belegen.,PROPOSED
A32,FROG_LEGS,Froschschenkel,SPECIFIC,difficult|context-bound|frozen|european,5,DIFFICULT,DIFFICULT,3,DIFFICULT,DIFFICULT,rohe tiefgekühlte Froschschenkel,Als tierisches Protein in bestimmten Küchen konventionell; die Zutat ist speziell aber ihre Verwendung nicht experimentell.,Gefunden wurde nur Großhandels-TK-Ware und kein verlässlich haushaltsüblicher Lieferweg für beide Profile.,"Katalognotiz; https://loewenzahngmbh.de/produkt/froschschenkel-roh-13-15-10x900g/",Georgia könnte über den nahen Wesselinger Großhandel einen besseren Weg haben; Zugang und Haushaltsmenge klären.,PROPOSED
A33,LOBSTER,Hummer,SPECIFIC,planned|familiar|fresh-or-frozen|european,5,DIFFICULT,DIFFICULT,2,PLANNED,PLANNED,ganzer oder ausgelöster frischer beziehungsweise tiefgekühlter Hummer,Hochpreisig aber kulinarisch konventionell mit mehreren offensichtlichen Garweisen; weder Preis noch Luxusstatus begründen hohe Novelty.,Fischtheke Vorbestellung oder TK-Sortiment sind für beide planbare Wege; der Preis wird nicht als Beschaffbarkeit gewertet.,"docs/AVAILABILITY_AND_COOKING_NOVELTY.md §5.4; https://edeka-foodservice.de/eigenmarken/produkte/2506620007/msc-escal-gekochter-hummer-netto-350g",Verfügbarkeit in den konkret nutzbaren Endkundenfilialen bestätigen.,PROPOSED
A34,SEA_SNAILS,Meeresschnecken,OPEN,difficult|context-bound|open|fresh-frozen-or-preserved|southeast-asian,5,DIFFICULT,DIFFICULT,3,DIFFICULT,DIFFICULT,küchenfertige echte Meeresschnecken beliebiger Art,In vietnamesischen und weiteren Küstenküchen konventionell aus gemeinsamer Perspektive aber deutlich kontextgebunden.,Die offene Artwahl hilft nur wenn eine echte Meeresschnecke verfügbar ist; Muscheln und Landschnecken sind kein Ersatz und belastbare Wege fehlen.,Katalognotiz,Konservierte Produktformen und ihre Eignung gezielt prüfen.,PROPOSED
A35,FRESHWATER_SNAILS,Süßwasserschnecken,OPEN,unavailable|context-bound|open|fresh-frozen-or-preserved|vietnamese,5,DIFFICULT,DIFFICULT,3,UNAVAILABLE,UNAVAILABLE,küchenfertig gereinigte echte Süßwasserschnecken beliebiger Art,In vietnamesischen Gerichten konventionell und deshalb trotz engem Horizont eher Stufe 3 als 5.,Aktuell ist kein realistischer wiederholbarer Bezugsweg für genau diese Form belegt; Land- oder Meeresschnecken zählen nicht.,Katalognotiz,Vor Freigabe von UNAVAILABLE spezialisierten vietnamesischen Handel in Köln Düsseldorf und online prüfen.,PROPOSED
A36,FISH_MINT,Fischminze,SPECIFIC,difficult-unavailable|context-bound|fresh|vietnamese,5,DIFFICULT,DIFFICULT,3,DIFFICULT,UNAVAILABLE,frische essbare Fischminzenblätter,In vietnamesischen Kräutertellern und Salaten konventionelles Würzkraut; der ungewöhnliche Name und deutsche Mangel erhöhen Novelty nicht.,Die aktuelle Suche fand nur getrocknete Apotheken-/Teeware und einen frischen Hamburger Lokalhinweis; Georgia hat in Köln plausiblere Spezialchancen als Tobias aber noch keinen zuverlässigen Weg.,"Katalognotiz; https://www.drtee.de/p/houttuyniae-herba; https://wolt.com/de/deu/hamburg/venue/asia24/items/krauter-11",Für Georgia konkreten Frischbestand belegen; für Tobias vor UNAVAILABLE nochmals Spezialversand prüfen.,PROPOSED
A37,COM_ME,Mẻ oder Cơm mẻ,SPECIFIC,difficult-unavailable|unusual|fermented|vietnamese,5,DIFFICULT,DIFFICULT,4,UNAVAILABLE,UNAVAILABLE,echte saure vietnamesische Mẻ-Reiswürze,Konventionelles aber sehr enges Säuerungs- und Würzmittel mit wenigen naheliegenden Anwendungen.,Die aktuelle Suche lieferte Cơm rượu Koji und andere fermentierte Reisprodukte; diese sind ausdrücklich keine Ersatzprodukte für Mẻ.,"Katalognotiz; https://asia-foodstore.de/fermentierter-reis; https://de.pit-pit.com/products/komekoji-bio",Vor Freigabe von UNAVAILABLE vietnamesische Fachgeschäfte direkt prüfen.,PROPOSED
A38,READY_SAUCES_AND_PASTES,fertige Sauce oder Würzpaste,OPEN,not-applicable|structure|open,1,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,nicht anwendbar,Nicht ziehbarer reiner Strukturknoten für Hierarchie und Ausschlusslogik.,Es gibt bewusst keine direkten Personenwerte; einzelne Kinder werden eigenständig bewertet.,"Katalognotiz; aktueller Snapshot",Menschlich bestätigen dass der Knoten auch im späteren Abschlussstand nicht fachlich bewertet werden soll.,PROPOSED_NOT_APPLICABLE
A39,LIQUORICE,Lakritz,OPEN,easy|extraordinary|open|confectionery|european,3,EASY,EASY,5,EASY,EASY,süße oder salzige verzehrfertige Lakritzware,Überwiegend Süßware und Snack; eine sinnvolle erkennbare Verwendung als verpflichtende Kochzutat ist ausgesprochen nischig und das Gericht muss stark darum konstruiert werden.,Die offene Lakritzform ist in gewöhnlichen Geschäften beider Profile spontan erhältlich; diese leichte Beschaffung senkt die Kochungewöhnlichkeit nicht.,Katalognotiz,Ob die offene Wahl zwischen süßer und salziger Lakritzware Stufe 5 ausreichend stabil trägt.,PROPOSED
