"evidence_id","concept_code","person_relevance","source_name","url","audit_finding","required_action","audit_status"
"AV2N-A-0129","LAMBIC","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die Jashopping-Startseite belegte weder Lambic-Grundstil noch Marktbreite. AV2N-A-0129 und AV2N-A-0129B dokumentieren jetzt bei Belgoshop und Beyond Beer zwei unabhängige positive Angebote für Cantillon Grand Cru Bruocsella, ausdrücklich reines ungeblendetes dreijähriges Lambic statt Kriek oder Gueuze.","Abgeschlossen: die kanonischen URLs https://www.belgoshop.de/p/cantillon-grand-cru-bruocsella und https://www.beyondbeer.de/Cantillon-Grand-Cru-Bruocsella-2026/ tragen SPECIALTY_BROAD; beide Personen wurden freigegeben auf SPECIALTY synchronisiert.","RESOLVED_VERIFIED"
"AV2N-A-0134","LAND_SNAILS","Georgia|Tobias","REWE – Online-Shop","https://shop.rewe.de/","Die REWE-Rootseite war kein Nachweis für Landschnecken. AV2N-A-0134 verweist nun auf Culina-Weinbergschnecken ohne Haus in der Dose und dokumentiert Warenkorbstatus sowie Deutschlandlieferzeit.","Abgeschlossen: https://www.culina-delikatessenvertrieb.de/de/weinbergschnecken-2-dtz-ohne-haeuschen-200-g-dose.html kanonisch erfasst; beide Decisions behandeln konservierte Landschnecken und den längeren Versand.","RESOLVED_VERIFIED"
"AV2N-A-0136","LIEGE_WAFFLE","Georgia|Tobias","Waffelshop24 – Lütticher Waffeln","https://www.waffelshop24.de/","Die Waffelshop-Startseite zeigte keine reproduzierbare Lütticher Produktform. AV2N-A-0136 nutzt nun die konkrete REWE-Seite für Atelier Délices Lütticher Waffeln mit 19 Prozent Perlzucker sowie Kühl-/Auftau- und Filialhinweis.","Abgeschlossen: https://www.rewe.de/shop/p/atelier-delices-luetticher-waffel-180g/8159852 ist kanonisch; Georgia und Tobias prüfen jeweils ihre Filiale und verwechseln die Ware nicht mit Brüsseler Waffeln.","RESOLVED_VERIFIED"
"AV2N-A-0149","MARSALA","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die frühere Domainroot belegte keinen Marsala. AV2N-A-0149 verweist jetzt auf die Marsala-DOC-Kategorie von Weinquelle mit konkret lagerndem semisecco Koch- und Dessertwein sowie kurzer Deutschlandlieferzeit.","Abgeschlossen: https://www.weinquelle.com/aperitif/Marsala.html ist als formgenaue Route erfasst; beide Personentexte grenzen den belegten semisecco-Stil von nicht pauschal bestätigten Süßegraden ab.","RESOLVED_VERIFIED"
"AV2N-N-0009","NDUJA","Tobias","Mitte Meer – Mediterranean direct shop","https://mitte-meer.de/","Die ursprüngliche Domainroot blieb unzureichend; der kanonische Evidenzsatz verweist nun auf die abgerufene Mitte-Meer-Produktseite für Nduja di Spilinga, die streichfähige Schweinewurstpaste, Warenkorbstatus und DHL-Versand auf das deutsche Festland belegt.","Abgeschlossen am 2026-09-04: konkrete Produkt-URL und Quellenmetadaten im kanonischen Evidenzsatz eingetragen sowie Tobias’ Rostocker Entscheidungstext und Suchbegriffe angeglichen; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0043","PASTIS","Georgia","Weinquelle – wine and spirits direct shop","https://www.weinquelle.com/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz nutzt jetzt die abgerufene Weinquelle-Produktseite für lagernden Pastis Ardent mit Anis, Kräutern, Süßholz und Deutschlandversand.","Abgeschlossen am 2026-09-04: formgenaue Produkt-URL im Evidenzsatz hinterlegt und Georgias Bornheimer Route samt Suchbegriffen synchronisiert; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0050","PIMENT_D_ESPELETTE","Georgia","Mitte Meer – Mediterranean direct shop","https://mitte-meer.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist nun auf Boomers’ abgerufene Produktseite für lagerndes, luftgetrocknetes und fein gemahlenes Piment d’Espelette AOP mit DHL-Versand.","Abgeschlossen am 2026-09-04: exakte AOP-Produkt-URL und aktuelle Bestands-/Versanddaten übernommen sowie Georgias Entscheidungstext angepasst; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0051","PIMENT_D_ESPELETTE","Tobias","Mitte Meer – Mediterranean direct shop","https://mitte-meer.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist nun auf Boomers’ abgerufene Produktseite für lagerndes, luftgetrocknetes und fein gemahlenes Piment d’Espelette AOP mit DHL-Versand.","Abgeschlossen am 2026-09-04: exakte AOP-Produkt-URL und aktuelle Bestands-/Versanddaten übernommen sowie Tobias’ Rostocker Entscheidungstext angepasst; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0075","PORT_WINE","Georgia","Weinquelle – wine and spirits direct shop","https://www.weinquelle.com/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz nutzt jetzt die abgerufene Weinquelle-Portweinkategorie mit breitem, markenübergreifendem und vielfach lagerndem Sortiment samt Deutschlandversand.","Abgeschlossen am 2026-09-04: reproduzierbare Kategorie-URL und aktuelle Sortimentsdaten eingetragen sowie Georgias Bornheimer Route und Suchbegriffe angeglichen; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0126","SAKE","Georgia","Weinquelle – wine and spirits direct shop","https://www.weinquelle.com/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist jetzt auf die abgerufene REWE-Produktseite für Kizakura Junmai Sake und dokumentiert die standortabhängige Bornheimer Filialroute.","Abgeschlossen am 2026-09-04: formgenaue Produkt-URL, VARIABLE_STOCK und Standortprüfung hinterlegt sowie Georgias Entscheidungstext synchronisiert; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0163","SLIVOVICE","Georgia","Weinquelle – wine and spirits direct shop","https://www.weinquelle.com/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist jetzt auf Weinquelles abgerufene Kategorie „Obstbrand aus Pflaumen“ mit mehreren lagernden Sliwovitz-Flaschen und Deutschlandversand.","Abgeschlossen am 2026-09-04: konkrete Kategorie-URL und aktuelle Routenangaben übernommen sowie Georgias Bornheimer Entscheidungstext und Suchbegriffe angepasst; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0164","SLIVOVICE","Tobias","Weinquelle – wine and spirits direct shop","https://www.weinquelle.com/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist jetzt auf Weinquelles abgerufene Kategorie „Obstbrand aus Pflaumen“ mit mehreren lagernden Sliwovitz-Flaschen und Deutschlandversand.","Abgeschlossen am 2026-09-04: konkrete Kategorie-URL und aktuelle Routenangaben übernommen sowie Tobias’ Rostocker Entscheidungstext und Suchbegriffe angepasst; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0216","TRUFFLE","Georgia","BOS FOOD – direct specialty food shop","https://www.bosfood.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist jetzt auf die abgerufene REWE-Produktseite für Feine-Welt-Trüffel-Carpaccio mit schwarzen Sommertrüffelscheiben in Olivenöl.","Abgeschlossen am 2026-09-04: formgenaue Produkt-URL, VARIABLE_STOCK und Georgias Bornheimer Standortprüfung hinterlegt; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0217","TRUFFLE","Tobias","BOS FOOD – direct specialty food shop","https://www.bosfood.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist jetzt auf die abgerufene REWE-Produktseite für Feine-Welt-Trüffel-Carpaccio mit schwarzen Sommertrüffelscheiben in Olivenöl.","Abgeschlossen am 2026-09-04: formgenaue Produkt-URL, VARIABLE_STOCK und Tobias' Rostocker Standortprüfung hinterlegt; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0221","TURRON","Georgia","Mitte Meer – Mediterranean direct shop","https://mitte-meer.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist nun auf die abgerufene Mitte-Meer-Produktseite für bestellbaren klassischen harten Turrón de Alicante mit ganzen Marcona-Mandeln und DHL-Versand.","Abgeschlossen am 2026-09-04: exakte Produkt-URL und aktuelle Versanddaten eingetragen sowie Georgias Bornheimer Entscheidungstext und Suchbegriffe angeglichen; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0222","TURRON","Tobias","Mitte Meer – Mediterranean direct shop","https://mitte-meer.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz verweist nun auf die abgerufene Mitte-Meer-Produktseite für bestellbaren klassischen harten Turrón de Alicante mit ganzen Marcona-Mandeln und DHL-Versand.","Abgeschlossen am 2026-09-04: exakte Produkt-URL und aktuelle Versanddaten eingetragen sowie Tobias’ Rostocker Entscheidungstext und Suchbegriffe angeglichen; Rating unverändert.","RESOLVED_VERIFIED"
"AV2N-N-0249","WHITE_TEA","Tobias","BOS FOOD – direct specialty food shop","https://www.bosfood.de/","Die ursprüngliche Domainroot blieb unzureichend; die kanonische Evidenz nutzt jetzt Pit&Pits abgerufene Produktseite für lagernden weißen Bio-Mao-Feng aus junger Knospe und zwei jungen Blättern mit Lieferzeitangabe.","Abgeschlossen am 2026-09-04: formgenaue Produkt-URL und Bestands-/Versanddaten übernommen sowie Tobias’ Rostocker Entscheidungstext und Suchbegriffe angepasst; Rating unverändert.","RESOLVED_VERIFIED"
