"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class_georgia"	"market_basis_georgia"	"proposed_availability_georgia"	"availability_note_georgia"	"evidence_requirement_georgia"	"availability_evidence_georgia"	"market_class_tobias"	"market_basis_tobias"	"proposed_availability_tobias"	"availability_note_tobias"	"evidence_requirement_tobias"	"availability_evidence_tobias"	"review_flags"	"approval_status"
"ALMOND_BUTTER"	"Mandelmus"	"APPLICABLE"	"Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma."	"GENERAL_BROAD"	"Katalogpfad Mandeln → Nuss- oder Samenpaste → Nüsse → Sauce, Würzmittel oder Paste. Warengruppe Nuss- oder Saatenpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Marzipan oder bloßes Mandelaroma«. Allgemein planbarer, aber nicht lokal garantierter Weg über einen vorbereiteten Einkauf im gut sortierten Bereich »Aufstrich-, Nussmus- oder Feinkostregal«."	"PLANNED"	"Mandelmus ist über einen vorbereiteten Einkauf im gut sortierten Bereich »Aufstrich-, Nussmus- oder Feinkostregal« im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel."	"OPTIONAL"	""	"GENERAL_BROAD"	"Tobias prüft „Mandelmus“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler."	"PLANNED"	"Mandelmus: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND_DRINK"	"Mandeldrink"	"APPLICABLE"	"Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst."	"GENERAL_LOCAL"	"Katalogpfad pflanzlicher Drink. Warengruppe Pflanzendrink, formrelevanter Prüfhinweis aus der vollständigen Definition: »gesüßte und ungesüßte Varianten sind umfasst«. Regelweg in Bornheim über nahe Supermarktfilialen in Bornheim mit dem Bereich »Regal für haltbare oder gekühlte Pflanzendrinks«."	"EASY"	"Mandeldrink: gewöhnlicher lokaler Bezugsweg über den Bereich »Regal für haltbare oder gekühlte Pflanzendrinks«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Mandeldrink“ in Rostock über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Mandeldrink: Rostocker Bezugsweg über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"RATING_RECONCILED_V2|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AMARANTH"	"Amaranth"	"APPLICABLE"	"Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar."	"GENERAL_BROAD"	"Katalogpfad Getreide oder Pseudogetreide → stärkehaltige Zutat oder Sättigungsbeilage. Warengruppe Getreide- oder Stärkeware, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganz gekocht oder gepufft verwendbar«. Allgemein planbarer, aber nicht lokal garantierter Weg über eine gezielte Filial- oder Bestellprüfung für Getreide- oder Stärkeware im allgemeinen deutschen Handel."	"PLANNED"	"Amaranth ist über eine gezielte Filial- oder Bestellprüfung für Getreide- oder Stärkeware im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel."	"OPTIONAL"	""	"GENERAL_BROAD"	"Für „Amaranth“ führt der Rostocker Marktweg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler."	"PLANNED"	"Amaranth: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHO_CHILI"	"Ancho-Chili"	"APPLICABLE"	"Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano."	"SPECIALTY_BROAD"	"Katalogpfad getrocknete Chili → Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht die frische grüne Poblano«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler MTG Gewürze – Ancho Chili sowie Hola Mexico – mexikanischer Fachhandel."	"SPECIALTY"	"Ancho-Chili ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler MTG Gewürze – Ancho Chili sowie Hola Mexico – mexikanischer Fachhandel."	"REQUIRED"	"AV2N-A-0003|AV2N-A-0004"	"SPECIALTY_BROAD"	"Tobias prüft „Ancho-Chili“ in Rostock über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand ausweist."	"SPECIALTY"	"Ancho-Chili: Rostocker Bezugsweg über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili; dokumentiert sind eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand."	"REQUIRED"	"AV2N-A-0003|AV2N-A-0004"	"EVIDENCE_REQUIRED|FORM_SENSITIVE|RESEARCH_REQUIRED|SPECIALTY_MARKET_BREADTH|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHOVIES"	"Sardellen"	"APPLICABLE"	"Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf."	"GENERAL_LOCAL"	"Katalogpfad fettreicher Fisch → Fisch → Fisch und Meeresfrüchte. Warengruppe konservierter Fisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »lösen sich beim Garen oft würzend auf«. Regelweg in Bornheim über den Bereich »Fischkonserven- oder internationales Trockenwarenregal« eines gewöhnlichen Bornheimer Vollsortimenters."	"EASY"	"Sardellen: gewöhnlicher lokaler Bezugsweg über den Bereich »Fischkonserven- oder internationales Trockenwarenregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Sardellen“ in Rostock über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Sardellen: Rostocker Bezugsweg über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"RATING_RECONCILED_V2|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANNATTO"	"Annatto"	"APPLICABLE"	"Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar."	"SPECIALTY_BROAD"	"Katalogpfad Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganz oder gemahlen verwendbar«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler My Asia Shop – Annatto Samen sowie Asia4Friends – Gewürze."	"SPECIALTY"	"Annatto ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler My Asia Shop – Annatto Samen sowie Asia4Friends – Gewürze."	"REQUIRED"	"AV2N-A-0005|AV2N-A-0006"	"SPECIALTY_BROAD"	"Tobias prüft „Annatto“ in Rostock über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen, wobei die Evidenz ein dokumentiertes laufendes Angebot und Standardversand ausweist."	"SPECIALTY"	"Annatto: Rostocker Bezugsweg über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen; dokumentiert sind ein dokumentiertes laufendes Angebot und Standardversand."	"REQUIRED"	"AV2N-A-0005|AV2N-A-0006"	"EVIDENCE_REQUIRED|RESEARCH_REQUIRED|SPECIALTY_MARKET_BREADTH|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE"	"Apfel"	"APPLICABLE"	"Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen."	"GENERAL_LOCAL"	"Katalogpfad Kernobst → Obst. Warengruppe Obst, formrelevanter Prüfhinweis aus der vollständigen Definition: »Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen«. Regelweg in Bornheim über den lokalen Supermarktbereich »Obst- und Gemüseabteilung« in Bornheim."	"EASY"	"Apfel: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Apfel“ in Rostock über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Apfel: Rostocker Bezugsweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"FORM_SENSITIVE|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE_CIDER_VINEGAR"	"Apfelessig"	"APPLICABLE"	"Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider."	"GENERAL_LOCAL"	"Katalogpfad Essig. Warengruppe Speiseessig, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Apfelsaft oder Cider«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Essig- und Ölregal«."	"EASY"	"Apfelessig: gewöhnlicher lokaler Bezugsweg über den Bereich »Essig- und Ölregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Die Beschaffung von „Apfelessig“ erfolgt in Rostock über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Apfelessig: gewöhnlicher lokaler Bezugsweg über den Bereich »Apfelessig«."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"APRICOT"	"Aprikose"	"APPLICABLE"	"Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch."	"GENERAL_LOCAL"	"Katalogpfad Steinobst → Obst. Warengruppe Obst, formrelevanter Prüfhinweis aus der vollständigen Definition: »oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Obst- und Gemüseabteilung«."	"EASY"	"Aprikose: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Aprikose“ in Rostock über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Aprikose: Rostocker Bezugsweg über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"FORM_SENSITIVE|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AQUAVIT"	"Aquavit"	"APPLICABLE"	"Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt."	"GENERAL_BROAD"	"Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd und kurzfristig lieferbar, während ein regulärer Bornheimer Spirituosenbestand nicht vorausgesetzt wird."	"PLANNED"	"Aquavit: Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd und kurzfristig lieferbar, während ein regulärer Bornheimer Spirituosenbestand nicht vorausgesetzt wird."	"REQUIRED"	"AV2N-A-0007"	"GENERAL_BROAD"	"Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd, ein verlässlicher Rostocker Regalbestand ist dagegen nicht belegt."	"PLANNED"	"Aquavit: Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd, ein verlässlicher Rostocker Regalbestand ist dagegen nicht belegt."	"REQUIRED"	"AV2N-A-0007"	"BORDERLINE_PLANNED|EVIDENCE_REQUIRED|RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ARTICHOKE"	"Artischocke"	"APPLICABLE"	"Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar."	"GENERAL_BROAD"	"Rapunzel Onlineshop – Artischockenherzen in Lake 200 g belegt formgenau: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware. Für Georgia in Bornheim gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; 1–3 Werktage; Logistik STANDARD_SHIPPING. Belegt ist die schlicht konservierte Form, nicht die saisonale frische Knospe; nach Öffnung muss das Glas gekühlt werden."	"PLANNED"	"Artischocke: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware."	"OPTIONAL"	"AV2N-A-0008|AV2N-P-0001"	"GENERAL_BROAD"	"Rapunzel Onlineshop – Artischockenherzen in Lake 200 g belegt formgenau: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware. Für Tobias in Rostock gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; 1–3 Werktage; Logistik STANDARD_SHIPPING. Belegt ist die schlicht konservierte Form, nicht die saisonale frische Knospe; nach Öffnung muss das Glas gekühlt werden."	"PLANNED"	"Artischocke: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware."	"REQUIRED"	"AV2N-A-0008|AV2N-P-0001"	"FORM_SENSITIVE|RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ARUGULA"	"Rucola"	"APPLICABLE"	"Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar."	"GENERAL_LOCAL"	"Katalogpfad Blattsalat → Blattgemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »roh oder kurz zusammenfallend einsetzbar«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung«."	"EASY"	"Rucola: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „Rucola“ führt der Rostocker Marktweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Rucola: Rostocker Bezugsweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
