concept_code,person,current_availability,recommended_availability,fields,issue_type,audit_finding,required_correction,audit_status
BEEF_STOCK,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Fertiger Rinderfond wird primär über Bedientheke, Metzgerei und Fleischversand begründet.",Fond-/Brühen- oder Feinkostsortiment und passenden allgemeinen Versand für die zulässige Fertigform nennen; Selbstkochen ist kein Einkaufsweg.,RESOLVED_VERIFIED
BELL_PEPPER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische Gemüsepaprika wird dem Gewürzregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung mit alltäglicher Ausweichquelle nennen.,RESOLVED_VERIFIED
BROWN_CHAMPIGNON,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische braune Champignons werden dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung mehrerer lokaler Märkte nennen.,RESOLVED_VERIFIED
BUTTER_BEANS,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Limabohnen werden Käsetheke und EU-Kühlversand zugeordnet.,"Trockenwaren-/Konservenregal, gut sortierten allgemeinen Handel oder ungekühlten Versand nennen.",RESOLVED_VERIFIED
BUTTERNUT_SQUASH,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Butternut-Kürbis wird dem Molkerei- oder Käsekühlregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung nennen und gegebenenfalls Saisonbreite abgrenzen.,RESOLVED_VERIFIED
CANNED_CHAMPIGNONS,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Champignonkonserve wird dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliches Konservenregal als formtreuen Alltagsweg nennen.,RESOLVED_VERIFIED
CANNED_SARDINES,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Sardinenkonserve wird dem Fisch- oder Tiefkühlregal zugeordnet.,Gewöhnliches Fischkonservenregal mehrerer Märkte nennen.,RESOLVED_VERIFIED
CANNED_TUNA,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Thunfischkonserve wird dem Fisch- oder Tiefkühlregal zugeordnet.,Gewöhnliches Fischkonservenregal mehrerer Märkte nennen.,RESOLVED_VERIFIED
CASHEW_BUTTER,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Cashewmus wird Käsetheke und EU-Kühlversand zugeordnet.,"Nussmus-/Aufstrichregal, Bio-/Feinkosthandel oder ungekühlten allgemeinen Versand nennen.",RESOLVED_VERIFIED
CHAMPIGNON,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Offener Champignonbegriff wird dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung beziehungsweise zulässige Konservenform differenziert nennen.,RESOLVED_VERIFIED
CHAMPIGNONS,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische Champignons werden dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung mehrerer lokaler Märkte nennen.,RESOLVED_VERIFIED
CHICKEN_STOCK,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Hühnerbrühe wird dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliches Brühen-/Fondregal oder haltbares Würzsortiment nennen.,RESOLVED_VERIFIED
COCONUT_CREAM,Georgia,PLANNED,PLANNED,availability_note,WRONG_MARKET_ROUTE,"Kokoscreme wird Käsetheke und EU-Kühlversand zugeordnet, obwohl die zulässige Form typischerweise haltbar ist.",Gut sortiertes allgemeines International-/Konservenregal oder ungekühlten Versand nennen.,RESOLVED_VERIFIED
COCONUT_MILK,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Kokosmilch wird dem Molkerei- oder Käsekühlregal zugeordnet.,Gewöhnliches Konserven-/Internationalregal als formtreuen Weg nennen; Kokosdrink abgrenzen.,RESOLVED_VERIFIED
DRIED_CHILI,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Getrocknete ganze Chili wird über Obst-/Gemüsemärkte und Frischehandel begründet.,Gut sortiertes Gewürz-/Trockenwarensortiment oder allgemeinen ungekühlten Versand nennen.,RESOLVED_VERIFIED
FISH_SAUCE,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Fischsauce wird Fischtheke, Fischfachhandel und Seafood-Versand zugeordnet.",Gut sortiertes Würz-/Internationalregal oder breiten allgemeinen Lebensmittelversand nennen; Fischfond abgrenzen.,RESOLVED_VERIFIED
FISH_STOCK,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Fischfond wird ausschließlich Fischtheke/Fischhandel/Seafood-Versand zugeordnet.,"Fond-/Brühensortiment, Feinkosthandel oder allgemeinen Versand für Fertigfond nennen.",RESOLVED_VERIFIED
FRUIT_DUMPLING,Georgia,PLANNED,PLANNED,availability_note,WRONG_MARKET_ROUTE,Fertige Obstknödel werden über Obst- und Gemüsemärkte begründet.,Gut sortiertes Kühl-/TK- beziehungsweise Fertigbeilagensortiment nennen und die erlaubte fertige Form beachten.,RESOLVED_VERIFIED
GOOSEBERRY,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Stachelbeeren werden Bedientheke, Metzgerei und Fleischversand zugeordnet.",Gut sortierten allgemeinen Frischehandel und Saison-/TK-Form konkret nennen.,RESOLVED_VERIFIED
GREEN_BEANS,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Grüne Bohnen werden dem Trockenwaren- oder Backregal zugeordnet.,Gewöhnliche Gemüse- beziehungsweise TK-Abteilung für die zulässige Form nennen.,RESOLVED_VERIFIED
GREEN_BELL_PEPPER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische grüne Gemüsepaprika wird dem Gewürzregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung nennen.,RESOLVED_VERIFIED
GREEN_PEAS,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Junge grüne Erbsen frisch oder TK werden dem Trockenwaren- oder Backregal zugeordnet.,Gewöhnliche Gemüse- oder TK-Abteilung als formtreuen Alltagsweg nennen.,RESOLVED_VERIFIED
KING_OYSTER_MUSHROOM,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Kräuterseitlinge werden Fischtheke, Fischhandel und Seafood-Versand zugeordnet.",Gut sortierten allgemeinen Obst-/Gemüse- oder Pilz-Frischehandel nennen.,RESOLVED_VERIFIED
LAMBS_LETTUCE,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Feldsalat wird dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung nennen und gegebenenfalls Saison berücksichtigen.,RESOLVED_VERIFIED
LAMBIC,Georgia,PLANNED,SPECIALTY,market_basis|availability_note,RATING_AND_ROUTE_CORRECTION,Die fruehere Fleischwarenroute war sachfremd; die verifizierten Lambic-Angebote liegen bei unabhaengigen spezialisierten Bierhaendlern.,Marktbasis und Kernnotiz auf einschlaegigen Spezialbierhandel umstellen und SPECIALTY vergeben.,RESOLVED_VERIFIED
MAGGI_SEASONING,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Flüssigwürze wird dem Gewürzregal zugeordnet.,Gewöhnliches Würz-/Saucenregal mehrerer Märkte nennen.,RESOLVED_VERIFIED
MASCARPONE,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Mascarpone wird dem Fisch- oder Tiefkühlregal zugeordnet.,Gewöhnliches Molkerei-/Käsekühlregal nennen.,RESOLVED_VERIFIED
MILK_CHOCOLATE,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Milchschokolade wird dem Molkerei- oder Käsekühlregal zugeordnet.,Gewöhnliches Süßwaren-/Backregal nennen.,RESOLVED_VERIFIED
MUSHROOM_STOCK,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Pilzfond wird über Obst-/Gemüsemärkte und Frischehandel begründet.,"Fond-/Brühensortiment, Feinkosthandel oder allgemeinen Versand für Fertigfond nennen.",RESOLVED_VERIFIED
OAT_DRINK,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Haferdrink wird dem Trockenwaren- oder Backregal zugeordnet.,Gewöhnliches Pflanzengetränke-/Getränke- oder Molkereiumfeld nennen.,RESOLVED_VERIFIED
OYSTER_SAUCE,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Austernsauce wird Fischtheke, Fischhandel und Seafood-Versand zugeordnet.",Gut sortiertes Würz-/Internationalregal oder breiten allgemeinen Lebensmittelversand nennen.,RESOLVED_VERIFIED
PADRON_PEPPER,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Frische Padrón-Paprika wird Gewürzregal und Gewürzhandel zugeordnet.,Gut sortierten allgemeinen Obst- und Gemüsehandel mit Saisonbezug nennen.,RESOLVED_VERIFIED
PEANUT_BUTTER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Erdnussbutter wird dem Molkerei- oder Käsekühlregal zugeordnet.,Gewöhnliches Brotaufstrich-/Nussmusregal nennen.,RESOLVED_VERIFIED
PICKLED_CUCUMBER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Eingelegte Gurke wird dem Obst- und Gemüsebereich zugeordnet.,Gewöhnliches Konserven-/Einlegeregal nennen.,RESOLVED_VERIFIED
PICKLED_GINGER,Georgia,PLANNED,PLANNED,availability_note,WRONG_MARKET_ROUTE,Gari wird über Obst-/Gemüsemärkte und Frischehandel begründet.,Gut sortiertes International-/Feinkostregal oder breiten allgemeinen Versand nennen.,RESOLVED_VERIFIED
PICKLED_MUSHROOMS,Georgia,PLANNED,PLANNED,availability_note,WRONG_MARKET_ROUTE,Eingelegte Pilze werden über Obst-/Gemüsemärkte und Frischehandel begründet.,Konserven-/Feinkostregal oder breiten allgemeinen Versand als formtreuen Weg nennen.,RESOLVED_VERIFIED
PLUM_BUTTER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Pflaumenmus wird dem Molkerei- oder Käsekühlregal zugeordnet.,Gewöhnliches Konfitüren-/Brotaufstrichregal nennen.,RESOLVED_VERIFIED
PORK_STOCK,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Fertiger Schweinefond wird primär über Bedientheke, Metzgerei und Fleischversand begründet.","Fond-/Brühensortiment, Feinkosthandel oder allgemeinen Versand für die Fertigform nennen.",RESOLVED_VERIFIED
QUAIL_EGG,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,"Frische Wachteleier werden über Bedientheke, Metzgerei und Fleischversand begründet.",Gut sortiertes Eier-/Feinkostsortiment oder belastbaren allgemeinen Bestellweg nennen.,RESOLVED_VERIFIED
RED_BELL_PEPPER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische rote Gemüsepaprika wird dem Gewürzregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung nennen.,RESOLVED_VERIFIED
ROASTED_RED_PEPPER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Geröstete Paprika im Glas/Öl wird dem Gewürzregal zugeordnet.,Gewöhnliches Konserven-/Antipastiregal nennen und selbst geröstete Frischware nicht als Beschaffungsform missverstehen.,RESOLVED_VERIFIED
SUN_DRIED_TOMATO,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Getrocknete Tomaten werden dem Obst- und Gemüsebereich zugeordnet.,Gewöhnliches Antipasti-/Konserven-/Trockenwarenregal nennen.,RESOLVED_VERIFIED
VEGETABLE_STOCK,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Gemüsebrühe wird dem Obst- und Gemüsebereich zugeordnet.,Gewöhnliches Brühen-/Fond- oder Würzregal nennen; Selbstkochen ist kein Beschaffungsbeleg.,RESOLVED_VERIFIED
WHITE_CHAMPIGNON,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische weiße Champignons werden dem Fleisch- oder Kühlregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung mehrerer lokaler Märkte nennen.,RESOLVED_VERIFIED
YELLOW_BELL_PEPPER,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische gelbe Gemüsepaprika wird dem Gewürzregal zugeordnet.,Gewöhnliche Obst- und Gemüseabteilung nennen.,RESOLVED_VERIFIED
AJVAR,Tobias,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Ajvar wird dem Gewürz- oder Backregal zugeordnet.,Gewöhnliches Saucen-/Konserven-/Feinkostregal mehrerer Rostocker Märkte nennen.,RESOLVED_VERIFIED
ANCHOVIES,Tobias,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Gesalzene Sardellen in Öl/Lake werden als Frisch-/Kühl-/TK-Fisch begründet.,Gewöhnliches Fischkonserven-/Feinkostregal als formtreuen Alltagsweg nennen.,RESOLVED_VERIFIED
CANNED_SARDINES,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Sardinenkonserve wird dem Frisch-/Kühl-/TK-Fischsortiment zugeordnet.,Gewöhnliches Fischkonservenregal mehrerer Rostocker Märkte nennen.,RESOLVED_VERIFIED
CANNED_TUNA,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Thunfischkonserve wird dem Frisch-/Kühl-/TK-Fischsortiment zugeordnet.,Gewöhnliches Fischkonservenregal mehrerer Rostocker Märkte nennen.,RESOLVED_VERIFIED
COCONUT_MILK,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,"Kokosmilch wird dem Nuss-, Süßwaren- oder Backregal zugeordnet.",Gewöhnliches Konserven-/Internationalregal nennen; Kokosdrink abgrenzen.,RESOLVED_VERIFIED
CORN,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,"Maiskörner frisch, TK oder konserviert werden pauschal dem Trockenwaren-/Backwarenregal zugeordnet.","Gewöhnliche Gemüse-, TK- oder Konservenabteilung für mindestens eine zulässige Form konkret benennen.",RESOLVED_VERIFIED
GINGER,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Frisches Ingwer-Rhizom wird dem Gewürz- oder Backregal zugeordnet.,Reguläre Obst- und Gemüseabteilung mehrerer Rostocker Supermärkte nennen.,RESOLVED_VERIFIED
GREEN_BELL_PEPPER,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Frische grüne Gemüsepaprika wird dem Gewürz- oder Backregal zugeordnet.,Reguläre Obst- und Gemüseabteilung nennen.,RESOLVED_VERIFIED
PRESERVED_FISH,Tobias,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Die offene konservierte Fischfamilie wird pauschal dem Frisch-/Kühl-/TK-Fischsortiment zugeordnet.,Mindestens eine zulässige alltagstaugliche Konserven-/Räucher-/Einlegeform und den zugehörigen gewöhnlichen Marktweg konkret benennen.,RESOLVED_VERIFIED
RED_BELL_PEPPER,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Frische rote Gemüsepaprika wird dem Gewürz- oder Backregal zugeordnet.,Reguläre Obst- und Gemüseabteilung nennen.,RESOLVED_VERIFIED
ROASTED_RED_PEPPER,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Geröstete Paprika im Glas/Öl wird dem Gewürz- oder Backregal zugeordnet.,Reguläres Konserven-/Antipastiregal nennen.,RESOLVED_VERIFIED
SALTY_LIQUORICE,Tobias,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Salzlakritz wird dem Gewürz- oder Backregal zugeordnet.,Gewöhnliches Süßwarensortiment mehrerer Rostocker Märkte nennen.,RESOLVED_VERIFIED
SAMBAL,Tobias,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Sambal-Paste/-Sauce wird dem Gewürz- oder Backregal zugeordnet.,Gewöhnliches Saucen-/Würz-/Internationalregal nennen.,RESOLVED_VERIFIED
SUGAR_SNAP_PEAS,Tobias,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Frische Zuckerschoten werden dem Gewürz- oder Backregal zugeordnet.,Reguläre Obst- und Gemüseabteilung mehrerer Rostocker Supermärkte nennen.,RESOLVED_VERIFIED
YELLOW_BELL_PEPPER,Tobias,EASY,EASY,market_basis|availability_note,WRONG_MARKET_ROUTE,Frische gelbe Gemüsepaprika wird dem Gewürz- oder Backregal zugeordnet.,Reguläre Obst- und Gemüseabteilung nennen.,RESOLVED_VERIFIED
