"concept_code","display_name","challenge_specificity","direct_parent_codes","direct_child_codes","curator_note","review_applicability","availability_profile","product_form_context"
"ALMOND_BUTTER","Mandelmus","SPECIFIC","ALMOND|NUT_AND_SEED_PASTES","","Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma."
"ALMOND_DRINK","Mandeldrink","SPECIFIC","PLANT_DRINKS","","Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst."
"AMARANTH","Amaranth","SPECIFIC","GRAINS","","Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar."
"ANCHO_CHILI","Ancho-Chili","SPECIFIC","DRIED_CHILI","","Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano."
"ANCHOVIES","Sardellen","SPECIFIC","OILY_FISH","","Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf."
"ANNATTO","Annatto","SPECIFIC","SPICES","","Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar."
"APPLE","Apfel","SPECIFIC","POME_FRUIT","","Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen."
"APPLE_CIDER_VINEGAR","Apfelessig","SPECIFIC","VINEGAR","","Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider."
"APRICOT","Aprikose","SPECIFIC","STONE_FRUIT","DRIED_APRICOT","Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch."
"AQUAVIT","Aquavit","SPECIFIC","COOKING_ALCOHOL","","Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt."
"ARTICHOKE","Artischocke","SPECIFIC","FLOWER_VEGETABLES","","Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar."
"ARUGULA","Rucola","SPECIFIC","SALAD_GREENS","","Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar."
"ASPARAGUS","Spargel","SPECIFIC","STEM_VEGETABLES","GREEN_ASPARAGUS|WHITE_ASPARAGUS","Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung."
"AVOCADO","Avocado","SPECIFIC","TROPICAL_FRUIT","","Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl."
"BACON","Bacon","SPECIFIC","CURED_MEAT|PORK","","Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren."
"BAGOONG","Bagoong","OPEN","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","BAGOONG_ALAMANG|BAGOONG_ISDA","Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar."
"BAGOONG_ALAMANG","Bagoong alamang","SPECIFIC","BAGOONG|SHRIMP_PASTE","","Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen."
"BAGOONG_ISDA","Bagoong isda","SPECIFIC","BAGOONG","","Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren."
"BAGUETTE","Baguette","SPECIFIC","BREAD","","Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot."
"BAKED_GOODS","Backware","OPEN","","BREAD|CROISSANT|KOLACHE|WAFFLES","Offene Familie gebackener oder vergleichbar ausgebackener stärkehaltiger Produkte; süße und herzhafte Formen sind umfasst.","NOT_APPLICABLE_STRUCTURE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Familie gebackener oder vergleichbar ausgebackener stärkehaltiger Produkte; süße und herzhafte Formen sind umfasst."
"BALSAMIC_VINEGAR","Balsamico","SPECIFIC","VINEGAR","","Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Reifegrad und Dichte können variieren.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Dunkler, süß-säuerlicher Essig nach Balsamico-Art auf Traubenbasis; Reifegrad und Dichte können variieren."
"BAMBOO_SHOOTS","Bambussprossen","SPECIFIC","STEM_VEGETABLES","","Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich."
"BANANA","Banane","SPECIFIC","TROPICAL_FRUIT","","Reife Dessertbanane mit weichem, süßem Fruchtfleisch; nicht stärkehaltige Kochbanane.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Reife Dessertbanane mit weichem, süßem Fruchtfleisch; nicht stärkehaltige Kochbanane."
"BANANA_BLOSSOM","Bananenblüte","SPECIFIC","FLOWER_VEGETABLES","","Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte."
"BANANA_KETCHUP","Bananenketchup","SPECIFIC","READY_SAUCES_AND_PASTES","","Filipinische süß-säuerliche Würzsauce auf Bananenbasis, typischerweise tomatenketchupähnlich gewürzt und gefärbt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Filipinische süß-säuerliche Würzsauce auf Bananenbasis, typischerweise tomatenketchupähnlich gewürzt und gefärbt."
"BANANA_LEAVES","Bananenblätter","SPECIFIC","FRESH_HERBS","","Große Bananenblätter als aromatisierende Hülle oder Unterlage zum Dämpfen, Kochen und Grillen; frisch oder tiefgekühlt verwendbar. Sie werden nicht als Blattgemüse gegessen und sind keine Konkretisierung der Bananenfrucht.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Große Bananenblätter als aromatisierende Hülle oder Unterlage zum Dämpfen, Kochen und Grillen; frisch oder tiefgekühlt verwendbar. Sie werden nicht als Blattgemüse gegessen und sind keine Konkretisierung der Bananenfrucht."
"BARBECUE_SAUCE","Barbecuesauce","SPECIFIC","READY_SAUCES_AND_PASTES","","Fertige kräftig gewürzte Sauce nach Barbecue-Art; Süße, Rauchigkeit, Säure und Schärfe können deutlich variieren.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Fertige kräftig gewürzte Sauce nach Barbecue-Art; Süße, Rauchigkeit, Säure und Schärfe können deutlich variieren."
"BARLEY","Gerste","SPECIFIC","GRAINS","PEARL_BARLEY","Gerstenkorn als Kochzutat, etwa geschält oder als Rollgerste; Graupen sind eine stärker verarbeitete Form.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Gerstenkorn als Kochzutat, etwa geschält oder als Rollgerste; Graupen sind eine stärker verarbeitete Form."
"BASIL","Basilikum","SPECIFIC","FRESH_HERBS","HOLY_BASIL|THAI_BASIL","Frisches Basilikum mit süßlich-pfeffrigem Aroma; Thai-Basilikum bleibt als eigenständige Ausprägung getrennt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Frisches Basilikum mit süßlich-pfeffrigem Aroma; Thai-Basilikum bleibt als eigenständige Ausprägung getrennt."
"BASMATI_RICE","Basmatireis","SPECIFIC","RICE","","Langkornreis mit charakteristisch duftigem Aroma und lockerem Korn; weiß oder als Vollkornvariante verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Langkornreis mit charakteristisch duftigem Aroma und lockerem Korn; weiß oder als Vollkornvariante verwendbar."
"BAY_LEAF","Lorbeerblatt","SPECIFIC","FRESH_HERBS","","Getrocknetes oder frisches Lorbeerblatt mit herb-würzigem Aroma für Brühen, Saucen und Schmorgerichte; vor dem Servieren üblicherweise entfernen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Getrocknetes oder frisches Lorbeerblatt mit herb-würzigem Aroma für Brühen, Saucen und Schmorgerichte; vor dem Servieren üblicherweise entfernen."
"BEAN_SPROUTS","Mungbohnensprossen","SPECIFIC","SPROUTS","","Knackige Sprossen der Mungbohne, im Handel oft als Sojasprossen bezeichnet; nicht mit Keimlingen der Sojabohne gleichsetzen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Knackige Sprossen der Mungbohne, im Handel oft als Sojasprossen bezeichnet; nicht mit Keimlingen der Sojabohne gleichsetzen."
"BEANS","Bohnen","OPEN","LEGUMES","ADZUKI_BEANS|BLACK_BEANS|BLACK_EYED_PEAS|BROAD_BEANS|BUTTER_BEANS|CANNELLINI_BEANS|KIDNEY_BEANS|MUNG_BEANS|PINTO_BEANS|SOYBEANS|WHITE_BEANS","Offene Vorgabe für trockene oder vorgegarte Bohnenkerne; frische grüne Bohnen und andere Schotengemüse sind nicht gemeint.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für trockene oder vorgegarte Bohnenkerne; frische grüne Bohnen und andere Schotengemüse sind nicht gemeint."
"BEEF","Rindfleisch","OPEN","MEAT","BEEF_BRISKET|BEEF_CHEEK|BEEF_GOULASH|BEEF_HEART|BEEF_LIVER|BEEF_MINCE|BEEF_ROAST|BEEF_ROULADE|BEEF_RUMP|BEEF_SHIN|BEEF_SHORT_RIBS|BEEF_STEAK|BEEF_TENDERLOIN|BEEF_TONGUE|BONE_MARROW|OXTAIL|TRIPE","Offene Vorgabe für Rindfleisch; Zuschnitt, Fettanteil und geeignete Garmethode werden bewusst nicht festgelegt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für Rindfleisch; Zuschnitt, Fettanteil und geeignete Garmethode werden bewusst nicht festgelegt."
"BEEF_BRISKET","Rinderbrust","SPECIFIC","BEEF","","Bindegewebsreiche Rinderbrust, besonders für langsames Schmoren, Kochen oder Barbecue geeignet.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Bindegewebsreiche Rinderbrust, besonders für langsames Schmoren, Kochen oder Barbecue geeignet."
"BEEF_CHEEK","Rinderbäckchen","SPECIFIC","BEEF","","Stark beanspruchtes, kollagenreiches Muskelfleisch aus der Rinderbacke; wird durch langes Schmoren zart.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Stark beanspruchtes, kollagenreiches Muskelfleisch aus der Rinderbacke; wird durch langes Schmoren zart."
"BEEF_GOULASH","Rindergulasch","SPECIFIC","BEEF","","Würfel oder grobe Stücke vom Rind für Schmorgerichte; gemeint ist der rohe Zuschnitt, nicht das fertige Gulasch.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Würfel oder grobe Stücke vom Rind für Schmorgerichte; gemeint ist der rohe Zuschnitt, nicht das fertige Gulasch."
"BEEF_HEART","Rinderherz","SPECIFIC","BEEF|OFFAL","","Mageres, festes Muskelfleisch vom Rinderherz mit kräftigem Eigengeschmack; nicht mit Lebertextur gleichsetzen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Mageres, festes Muskelfleisch vom Rinderherz mit kräftigem Eigengeschmack; nicht mit Lebertextur gleichsetzen."
"BEEF_LIVER","Rinderleber","SPECIFIC","BEEF|OFFAL","","Rinderleber mit kräftigem, mineralischem Geschmack und weicher Textur; kurze Garung verhindert unnötige Trockenheit.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Rinderleber mit kräftigem, mineralischem Geschmack und weicher Textur; kurze Garung verhindert unnötige Trockenheit."
"BEEF_MINCE","Rinderhack","SPECIFIC","BEEF|MINCED_MEAT","","Zerkleinertes Rindfleisch mit variablem Fettanteil; nicht gemischtes Hackfleisch.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Zerkleinertes Rindfleisch mit variablem Fettanteil; nicht gemischtes Hackfleisch."
"BEEF_ROAST","Rinderbraten","SPECIFIC","BEEF","","Größeres Rindfleischstück zum Braten oder Schmoren; der konkrete Teilzuschnitt bleibt offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Größeres Rindfleischstück zum Braten oder Schmoren; der konkrete Teilzuschnitt bleibt offen."
"BEEF_ROULADE","Rinderroulade","SPECIFIC","BEEF","","Dünne große Rindfleischscheibe zum Füllen und Schmoren; gemeint ist der Zuschnitt, nicht eine festgelegte Füllung.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Dünne große Rindfleischscheibe zum Füllen und Schmoren; gemeint ist der Zuschnitt, nicht eine festgelegte Füllung."
"BEEF_RUMP","Rinderhüfte","SPECIFIC","BEEF","","Rinderhüfte als relativ magerer, kurzbrat- oder bratentauglicher Zuschnitt; nicht das stärker marmorierte Roastbeef.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Rinderhüfte als relativ magerer, kurzbrat- oder bratentauglicher Zuschnitt; nicht das stärker marmorierte Roastbeef."
"BEEF_SHIN","Rinderbeinscheibe","SPECIFIC","BEEF","","Quergeschnittene Rinderhaxe mit Knochen und viel Kollagen; besonders für langsames Schmoren oder Brühen geeignet.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Quergeschnittene Rinderhaxe mit Knochen und viel Kollagen; besonders für langsames Schmoren oder Brühen geeignet."
"BEEF_SHORT_RIBS","Rinderrippen","SPECIFIC","BEEF","","Fleischige kurze Rinderrippen mit Fett und Bindegewebe; für langsames Garen oder Barbecue geeignet.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Fleischige kurze Rinderrippen mit Fett und Bindegewebe; für langsames Garen oder Barbecue geeignet."
