"concept_code"	"display_name"	"review_applicability"	"proposed_cooking_novelty"	"novelty_rationale"	"review_flags"	"approval_status"
"BAY_LEAF"	"Lorbeerblatt"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEAN_SPROUTS"	"Mungbohnensprossen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEANS"	"Bohnen"	"APPLICABLE"	"1"	"Die offene Bohnenvorgabe besitzt viele vertraute und breit einsetzbare Konkretisierungen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF"	"Rindfleisch"	"APPLICABLE"	"1"	"Die offene Fleischvorgabe lässt zahlreiche alltägliche Zuschnitte und Garmethoden zu."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_BRISKET"	"Rinderbrust"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_CHEEK"	"Rinderbäckchen"	"APPLICABLE"	"2"	"Rinderbäckchen besitzen eine klassische, unkomplizierte Schmorrolle; ihre Beschaffung ist für Novelty irrelevant."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_GOULASH"	"Rindergulasch"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_HEART"	"Rinderherz"	"APPLICABLE"	"3"	"Als Innerei klassisch verwertbar, für den gemeinsamen Alltag jedoch deutlich kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_LIVER"	"Rinderleber"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_MINCE"	"Rinderhack"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_ROAST"	"Rinderbraten"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_ROULADE"	"Rinderroulade"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_RUMP"	"Rinderhüfte"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_SHIN"	"Rinderbeinscheibe"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_SHORT_RIBS"	"Rinderrippen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_STEAK"	"Rindersteak"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_STOCK"	"Rinderfond"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_TENDERLOIN"	"Rinderfilet"	"APPLICABLE"	"1"	"Rinderfilet ist ein standardisierter, breit bekannter Kurzbrat-Zuschnitt."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_TONGUE"	"Rinderzunge"	"APPLICABLE"	"3"	"Klassische Innereienküche bietet klare Wege, bleibt im gemeinsamen Alltag aber stark kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BEER"	"Bier"	"APPLICABLE"	"4"	"Bier ist überwiegend Getränk; als verpflichtende Kochzutat sind die etablierten Rollen vergleichsweise eng."	"APPROVED_ANCHOR|LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"APPROVED_ANCHOR"
"BEETROOT"	"Rote Bete"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BELACAN"	"Belacan"	"APPLICABLE"	"3"	"In malaysischen Gerichten konventionelle intensive Würze, gemeinsam aber klar kontextgebunden."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BELL_PEPPER"	"Paprika"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BELUGA_LENTILS"	"Belugalinsen"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BERBERE"	"Berbere"	"APPLICABLE"	"3"	"In äthiopisch-eritreischen Gerichten konventionell, außerhalb davon stark richtungsgebend."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BERRIES"	"Beeren"	"APPLICABLE"	"1"	"Die offene Vorgabe erlaubt viele vertraute süße und herzhafte Anwendungen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"BIRDS_EYE_CHILI"	"Bird’s-Eye-Chili"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BITTER_MELON"	"Bittermelone"	"APPLICABLE"	"3"	"In mehreren asiatischen Küchen etabliertes Gemüse, dessen Bitterkeit die kulinarische Richtung deutlich prägt."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BIVALVES"	"Muscheln"	"APPLICABLE"	"2"	"Die offene Muschelvorgabe besitzt mehrere etablierte Zubereitungsfamilien."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_BEANS"	"schwarze Bohnen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_CARDAMOM"	"schwarzer Kardamom oder Thảo quả"	"APPLICABLE"	"3"	"In bestimmten süd- und südostasiatischen Gerichten klassisch, durch das rauchig-harzige Aroma aber stark richtungsgebend."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_CURRANT"	"schwarze Johannisbeere"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_EYED_PEAS"	"Augenbohnen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_GARLIC"	"schwarzer Knoblauch"	"APPLICABLE"	"3"	"Die süßlich-umamireiche gereifte Form hat etablierte Anwendungen, wirkt aber als deutlicher Twist."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_PEPPER"	"schwarzer Pfeffer"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_TEA"	"schwarzer Tee"	"APPLICABLE"	"4"	"Tee wird überwiegend als Getränk konsumiert; seine erkennbare Verwendung im Gericht ist auf wenige Rollen begrenzt."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_VINEGAR"	"chinesischer schwarzer Essig"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACKBERRY"	"Brombeere"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BLOOD_ORANGE"	"Blutorange"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BLOOD_SAUSAGE"	"Blutwurst"	"APPLICABLE"	"3"	"Regional konventionell, als verpflichtende Zutat jedoch stark auf deftige oder kontrastierende Anwendungen festgelegt."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER"	"PROPOSED_FOR_HUMAN_REVIEW"
"BLUE_CHEESE"	"Blauschimmelkäse"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BLUEBERRY"	"Heidelbeere"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BOMBA_RICE"	"Bomba-Reis"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BONE_MARROW"	"Knochenmark"	"APPLICABLE"	"3"	"Klassisch geröstet oder zum Anreichern genutzt, im gemeinsamen Alltag jedoch deutlich speziell und dominierend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BONITO_FLAKES"	"Bonitoflocken"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BRANDY"	"Brandy oder Weinbrand"	"APPLICABLE"	"3"	"In Saucen, Schmorgerichten und Desserts etabliert, als verpflichtende Zutat aber klar kontextgebunden."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BRATWURST"	"Bratwurst"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BRAZIL_NUT"	"Paranüsse"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BREAD"	"Brot oder Fladenbrot"	"APPLICABLE"	"1"	"Die offene Brotvorgabe besitzt viele selbstverständliche Rollen als Beilage, Basis oder Bindemittel."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"BREAD_DUMPLING"	"Semmelknödel"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BREADCRUMBS"	"Semmelbrösel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BRIE"	"Brie"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BROAD_BEANS"	"Dicke Bohnen"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BROCCOLI"	"Brokkoli"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BROKEN_RICE"	"Bruchreis"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BROWN_CHAMPIGNON"	"braune Champignons"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BROWN_RICE"	"Vollkornreis"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BROWN_SUGAR"	"brauner Zucker"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BRUNOST"	"Brunost"	"APPLICABLE"	"4"	"Das süß-karamellige Molkeprodukt wird überwiegend als Belag gegessen und bietet nur wenige naheliegende Kochrollen."	"LEVEL_4|PARENT_CHILD_OUTLIER"	"PROPOSED_FOR_HUMAN_REVIEW"
"BRUSSELS_SPROUTS"	"Rosenkohl"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BRUSSELS_WAFFLE"	"Brüsseler Waffel"	"APPLICABLE"	"4"	"Die fertige Waffel ist normalerweise Gebäck; ihre erkennbare Integration in ein Gericht verlangt eine konstruierte Rolle."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BUCKWHEAT"	"Buchweizen"	"APPLICABLE"	"2"	""	"APPROVED_ANCHOR"	"APPROVED_ANCHOR"
"BUCKWHEAT_FLOUR"	"Buchweizenmehl"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BULGUR"	"Bulgur"	"APPLICABLE"	"2"	""	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"BUTTER"	"Butter"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BUTTER_BEANS"	"Limabohnen"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BUTTERMILK"	"Buttermilch"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BUTTERNUT_SQUASH"	"Butternut-Kürbis"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CABBAGE_VEGETABLES"	"Kohlgemüse"	"APPLICABLE"	"1"	"Die offene Kohlgemüsefamilie umfasst viele alltägliche, vielseitige Konkretisierungen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CALAMANSI"	"Calamansi"	"APPLICABLE"	"3"	"In südostasiatischen und philippinischen Anwendungen konventionelle Zitrussäure, gemeinsam aber klar richtungsgebend."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"CALVADOS"	"Calvados"	"APPLICABLE"	"3"	"Für Saucen, Flambieren und Desserts klassisch, zugleich als Apfelbrand deutlich kontextgebunden."	"BOUNDARY_3_4"	"PROPOSED_FOR_HUMAN_REVIEW"
"CAMEMBERT"	"Camembert"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CANNED_CHAMPIGNONS"	"Dosenchampignons"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CANNED_SARDINES"	"Sardinen aus der Dose"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CANNED_TOMATOES"	"Dosentomaten"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CANNED_TUNA"	"Thunfisch aus der Dose"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CANNELLINI_BEANS"	"Cannellini-Bohnen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CANTALOUPE"	"Cantaloupe-Melone"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CAPERS"	"Kapern"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CARAWAY"	"Kümmel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CARDAMOM"	"Kardamom"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CARP"	"Karpfen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CARROT"	"Karotte"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CASHEW"	"Cashewkerne"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CASHEW_BUTTER"	"Cashewmus"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CASSAVA"	"Maniok"	"APPLICABLE"	"3"	"In tropischen Küchen eine normale Stärke, im gemeinsamen Alltag aber klar kontextgebunden und zubereitungsprägend."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER"	"PROPOSED_FOR_HUMAN_REVIEW"
"CATFISH"	"Wels"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CAULIFLOWER"	"Blumenkohl"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CAVA"	"Cava"	"APPLICABLE"	"4"	"Schaumwein wird überwiegend getrunken; als verpflichtende Kochzutat sind die etablierten Anwendungen eng."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CAYENNE_PEPPER"	"Cayennepfeffer"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CELERIAC"	"Knollensellerie"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CELERY_STALK"	"Staudensellerie"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHAMPIGNON"	"frische Champignons"	"APPLICABLE"	"1"	"Die offene Frischchampignon-Wahl bleibt innerhalb sehr vertrauter Pilzanwendungen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHAMPIGNONS"	"Champignons"	"APPLICABLE"	"1"	"Die offene Familie umfasst vertraute frische und konservierte Champignonformen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHANTERELLE"	"Pfifferlinge"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHARD"	"Mangold"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHEDDAR"	"Cheddar"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHEESE"	"Käse"	"APPLICABLE"	"1"	"Die breite Käsevorgabe lässt zahlreiche vertraute Kochrollen und Stilrichtungen offen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHERRY"	"Kirsche"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHERRY_TOMATO"	"Kirschtomaten"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHERVIL"	"Kerbel"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHESTNUT"	"Esskastanien"	"APPLICABLE"	"3"	"Saisonal klassisch in Füllungen, Suppen und Süßspeisen, im Alltag jedoch klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHIA_SEEDS"	"Chiasamen"	"APPLICABLE"	"3"	"Etablierte Quell- und Backanwendungen sind vorhanden, als erkennbare Pflichtzutat bleibt die Rolle jedoch eng."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN"	"Hähnchen"	"APPLICABLE"	"1"	""	"APPROVED_ANCHOR"	"APPROVED_ANCHOR"
"CHICKEN_BREAST"	"Hähnchenbrust"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_DRUMSTICKS"	"Hähnchenunterkeulen"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_FEET"	"Hühnerfüße"	"APPLICABLE"	"3"	"In Brühen, Dim Sum und südostasiatischen Gerichten konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_LIVER"	"Hähnchenleber"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_STOCK"	"Hühnerbrühe"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_THIGH"	"Hähnchenschenkel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_WINGS"	"Hähnchenflügel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKPEA_FLOUR"	"Kichererbsenmehl"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKPEAS"	"Kichererbsen"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICORY"	"Chicorée"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHILI"	"frische Chili"	"APPLICABLE"	"1"	"Die offene Vorgabe lässt viele vertraute frische Chilisorten und Rollen zu."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
