"concept_code"	"display_name"	"source_review_head"	"previous_proposed_cooking_novelty"	"reaudited_cooking_novelty"	"reaudit_outcome"	"reaudit_note"	"approval_status"
"ARUGULA"	"Rucola"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ASPARAGUS"	"Spargel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"AVOCADO"	"Avocado"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BACON"	"Bacon"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BAGOONG"	"Bagoong"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"BAGOONG_ALAMANG"	"Bagoong alamang"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BAGOONG_ISDA"	"Bagoong isda"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"BAGUETTE"	"Baguette"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BALSAMIC_VINEGAR"	"Balsamico"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BAMBOO_SHOOTS"	"Bambussprossen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA"	"Banane"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA_BLOSSOM"	"Bananenblüte"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA_KETCHUP"	"Bananenketchup"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA_LEAVES"	"Bananenblätter"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"BARBECUE_SAUCE"	"Barbecuesauce"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BARLEY"	"Gerste"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BASIL"	"Basilikum"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BASMATI_RICE"	"Basmatireis"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BAY_LEAF"	"Lorbeerblatt"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEAN_SPROUTS"	"Mungbohnensprossen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEANS"	"Bohnen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF"	"Rindfleisch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_BRISKET"	"Rinderbrust"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_CHEEK"	"Rinderbäckchen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_GOULASH"	"Rindergulasch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_HEART"	"Rinderherz"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_LIVER"	"Rinderleber"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_MINCE"	"Rinderhack"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_ROAST"	"Rinderbraten"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_ROULADE"	"Rinderroulade"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_RUMP"	"Rinderhüfte"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_SHIN"	"Rinderbeinscheibe"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_SHORT_RIBS"	"Rinderrippen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_STEAK"	"Rindersteak"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_STOCK"	"Rinderfond"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_TENDERLOIN"	"Rinderfilet"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEEF_TONGUE"	"Rinderzunge"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BEETROOT"	"Rote Bete"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BELACAN"	"Belacan"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BELL_PEPPER"	"Paprika"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BELUGA_LENTILS"	"Belugalinsen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BERBERE"	"Berbere"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BERRIES"	"Beeren"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BIRDS_EYE_CHILI"	"Bird’s-Eye-Chili"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BITTER_MELON"	"Bittermelone"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BIVALVES"	"Muscheln"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_BEANS"	"schwarze Bohnen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_CARDAMOM"	"schwarzer Kardamom oder Thảo quả"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_CURRANT"	"schwarze Johannisbeere"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_EYED_PEAS"	"Augenbohnen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_GARLIC"	"schwarzer Knoblauch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_PEPPER"	"schwarzer Pfeffer"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACK_VINEGAR"	"chinesischer schwarzer Essig"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLACKBERRY"	"Brombeere"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLOOD_ORANGE"	"Blutorange"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLOOD_SAUSAGE"	"Blutwurst"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLUE_CHEESE"	"Blauschimmelkäse"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BLUEBERRY"	"Heidelbeere"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BOMBA_RICE"	"Bomba-Reis"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BONE_MARROW"	"Knochenmark"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BONITO_FLAKES"	"Bonitoflocken"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BRANDY"	"Brandy oder Weinbrand"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BRATWURST"	"Bratwurst"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BRAZIL_NUT"	"Paranüsse"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BREAD"	"Brot oder Fladenbrot"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BREAD_DUMPLING"	"Semmelknödel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BREADCRUMBS"	"Semmelbrösel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BRIE"	"Brie"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BROAD_BEANS"	"Dicke Bohnen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BROCCOLI"	"Brokkoli"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BROKEN_RICE"	"Bruchreis"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BROWN_CHAMPIGNON"	"braune Champignons"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"BROWN_RICE"	"Vollkornreis"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
