"concept_code"	"display_name"	"review_applicability"	"previous_proposal_georgia"	"v2_proposal_georgia"	"transition_georgia"	"changed_georgia"	"previous_proposal_tobias"	"v2_proposal_tobias"	"transition_tobias"	"changed_tobias"	"person_difference"	"comparison_flags"
"BEEF_BRISKET"	"Rinderbrust"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BEEF_CHEEK"	"Rinderbäckchen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BEEF_GOULASH"	"Rindergulasch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEEF_HEART"	"Rinderherz"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BEEF_LIVER"	"Rinderleber"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BEEF_MINCE"	"Rinderhack"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEEF_ROAST"	"Rinderbraten"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEEF_ROULADE"	"Rinderroulade"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEEF_RUMP"	"Rinderhüfte"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BEEF_SHIN"	"Rinderbeinscheibe"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BEEF_SHORT_RIBS"	"Rinderrippen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BEEF_STEAK"	"Rindersteak"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEEF_STOCK"	"Rinderfond"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BEEF_TENDERLOIN"	"Rinderfilet"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BEEF_TONGUE"	"Rinderzunge"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BEER"	"Bier"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEETROOT"	"Rote Bete"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BELACAN"	"Belacan"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"NO"	""
"BELL_PEPPER"	"Paprika"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BELUGA_LENTILS"	"Belugalinsen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BERBERE"	"Berbere"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BERRIES"	"Beeren"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BIRDS_EYE_CHILI"	"Bird’s-Eye-Chili"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"EASY"	"SPECIALTY"	"EASY->SPECIALTY"	"YES"	"NO"	""
"BITTER_MELON"	"Bittermelone"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BIVALVES"	"Muscheln"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BLACK_BEANS"	"schwarze Bohnen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BLACK_CARDAMOM"	"schwarzer Kardamom oder Thảo quả"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BLACK_CURRANT"	"schwarze Johannisbeere"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BLACK_EYED_PEAS"	"Augenbohnen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BLACK_GARLIC"	"schwarzer Knoblauch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BLACK_PEPPER"	"schwarzer Pfeffer"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BLACK_TEA"	"schwarzer Tee"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BLACK_VINEGAR"	"chinesischer schwarzer Essig"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BLACKBERRY"	"Brombeere"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BLOOD_ORANGE"	"Blutorange"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BLOOD_SAUSAGE"	"Blutwurst"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BLUE_CHEESE"	"Blauschimmelkäse"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BLUEBERRY"	"Heidelbeere"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BOMBA_RICE"	"Bomba-Reis"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BONE_MARROW"	"Knochenmark"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BONITO_FLAKES"	"Bonitoflocken"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BRANDY"	"Brandy oder Weinbrand"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BRATWURST"	"Bratwurst"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BRAZIL_NUT"	"Paranüsse"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BREAD"	"Brot oder Fladenbrot"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BREAD_DUMPLING"	"Semmelknödel"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BREADCRUMBS"	"Semmelbrösel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BRIE"	"Brie"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BROAD_BEANS"	"Dicke Bohnen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BROCCOLI"	"Brokkoli"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BROKEN_RICE"	"Bruchreis"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BROWN_CHAMPIGNON"	"braune Champignons"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BROWN_RICE"	"Vollkornreis"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BROWN_SUGAR"	"brauner Zucker"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BRUNOST"	"Brunost"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"BRUSSELS_SPROUTS"	"Rosenkohl"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BRUSSELS_WAFFLE"	"Brüsseler Waffel"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BUCKWHEAT"	"Buchweizen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BUCKWHEAT_FLOUR"	"Buchweizenmehl"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BULGUR"	"Bulgur"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BUTTER"	"Butter"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BUTTER_BEANS"	"Limabohnen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BUTTERMILK"	"Buttermilch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BUTTERNUT_SQUASH"	"Butternut-Kürbis"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CABBAGE_VEGETABLES"	"Kohlgemüse"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CALAMANSI"	"Calamansi"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"CALVADOS"	"Calvados"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CAMEMBERT"	"Camembert"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CANNED_CHAMPIGNONS"	"Dosenchampignons"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CANNED_SARDINES"	"Sardinen aus der Dose"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CANNED_TOMATOES"	"Dosentomaten"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CANNED_TUNA"	"Thunfisch aus der Dose"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CANNELLINI_BEANS"	"Cannellini-Bohnen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CANTALOUPE"	"Cantaloupe-Melone"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CAPERS"	"Kapern"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CARAWAY"	"Kümmel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CARDAMOM"	"Kardamom"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CARP"	"Karpfen"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"NO"	""
"CARROT"	"Karotte"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CASHEW"	"Cashewkerne"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CASHEW_BUTTER"	"Cashewmus"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CASSAVA"	"Maniok"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"CATFISH"	"Wels"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CAULIFLOWER"	"Blumenkohl"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CAVA"	"Cava"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CAYENNE_PEPPER"	"Cayennepfeffer"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CELERIAC"	"Knollensellerie"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CELERY_STALK"	"Staudensellerie"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHAMPIGNON"	"frische Champignons"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHAMPIGNONS"	"Champignons"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHANTERELLE"	"Pfifferlinge"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CHARD"	"Mangold"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CHEDDAR"	"Cheddar"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
