concept_code,person,observed_route_category,required_route_focus,audit_reason,audit_status
ALMOND_DRINK,Georgia,Nuss-/Trockenwarenregal,Pflanzendrink-/Getraenkeregal fuer Mandeldrink,ALMOND_DRINK wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
ALMOND_DRINK,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Pflanzendrink-/Getraenkeregal fuer Mandeldrink,"ALMOND_DRINK wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
ANCHOVIES,Georgia,Fischtheke/-kuehlung,Fischkonserven-/Feinkostregal fuer gesalzene bzw. in Oel oder Lake konservierte Form,ANCHOVIES wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
ANCHOVIES,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Fischkonserven-/Feinkostregal fuer gesalzene bzw. in Oel oder Lake konservierte Form,"ANCHOVIES wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
APPLE,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.",APPLE wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
APPLE,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.","APPLE wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
APPLE_CIDER_VINEGAR,Georgia,Getraenke-/Weinregal,Essig-/Oel- oder Wuerzregal fuer Apfelessig,APPLE_CIDER_VINEGAR wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
APPLE_CIDER_VINEGAR,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Essig-/Oel- oder Wuerzregal fuer Apfelessig,"APPLE_CIDER_VINEGAR wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BAGUETTE,Georgia,Trockensortiment/Reis-Mehl-Nudeln,Backstation oder Baeckereitheke fuer ein fertiges Baguette,Die zuerst genannte Warengruppe passte nicht zur kuratierten verzehrfertigen Brotform; die finale Notiz fuehrt den konkreten Brotweg.,ROUTE_VERIFIED
BAMBOO_SHOOTS,Georgia,SEPARATE_OPEN_FORM_CONTROL,Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich.,BAMBOO_SHOOTS wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
BAMBOO_SHOOTS,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Junge essbare Bambussprossen mit mildem Geschmack und knackigem Biss; in Deutschland meist vorgegart in Dose oder Glas erhältlich.,"BAMBOO_SHOOTS wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
BANANA_BLOSSOM,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte.",BANANA_BLOSSOM wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
BANANA_BLOSSOM,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Essbare Bananenblüte mit faserigem Biss und mild herb-adstringierendem Geschmack; frisch oder schlicht konserviert für Salate, Suppen und Gemüsegerichte. Nicht Bananenfrucht oder bloß dekorative Blüte.","BANANA_BLOSSOM wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
BAY_LEAF,Georgia,Getraenke-/Weinregal,Gewuerzregal fuer getrocknete Lorbeerblaetter,BAY_LEAF wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BAY_LEAF,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Gewuerzregal fuer getrocknete Lorbeerblaetter,"BAY_LEAF wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BEANS,Georgia,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,"Huelsenfrucht-, Konserven- oder Trockenwarenregal fuer trockene oder vorgegarte Bohnenkerne; keine frische Form","BEANS wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
BEANS,Tobias,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,"Huelsenfrucht-, Konserven- oder Trockenwarenregal fuer trockene oder vorgegarte Bohnenkerne; keine frische Form","BEANS wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
BEEF_STOCK,Georgia,Fleischtheke/Metzgereisortiment,Bruehen-/Suppenregal fuer Rinderfond oder Rinderbruehe,BEEF_STOCK wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BEEF_STOCK,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Bruehen-/Suppenregal fuer Rinderfond oder Rinderbruehe,"BEEF_STOCK wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BEER,Georgia,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,Bier-/Getraenkeregal fuer vergorenes Getreidegetraenk; nicht pauschal Spirituosen- oder Weinregal,"BEER wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
BEER,Tobias,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,Bier-/Getraenkeregal fuer vergorenes Getreidegetraenk; nicht pauschal Spirituosen- oder Weinregal,"BEER wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
BEETROOT,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Rote Bete mit erdig-süßlichem Geschmack; frisch, vorgegart oder schlicht konserviert verwendbar.",BEETROOT wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
BEETROOT,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Rote Bete mit erdig-süßlichem Geschmack; frisch, vorgegart oder schlicht konserviert verwendbar.","BEETROOT wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
BERRIES,Georgia,Getraenke-/Weinregal,Obst-/Gemuesebereich oder Tiefkuehlung fuer Beeren,BERRIES wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BERRIES,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich oder Tiefkuehlung fuer Beeren,"BERRIES wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BIRDS_EYE_CHILI,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Kleine, sehr scharfe frische Chili der Bird’s-Eye-Familie; nicht getrocknete Flocken oder Pulver.",BIRDS_EYE_CHILI wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
BIRDS_EYE_CHILI,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Kleine, sehr scharfe frische Chili der Bird’s-Eye-Familie; nicht getrocknete Flocken oder Pulver.","BIRDS_EYE_CHILI wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
BLACK_BEANS,Georgia,SEPARATE_OPEN_FORM_CONTROL,Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Schwarze Bohnen mit cremigem Inneren und mild-erdigem Geschmack; getrocknet oder vorgegart verwendbar.,BLACK_BEANS wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
BLACK_BEANS,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Schwarze Bohnen mit cremigem Inneren und mild-erdigem Geschmack; getrocknet oder vorgegart verwendbar.,"BLACK_BEANS wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
BLACK_CURRANT,Georgia,Getraenke-/Weinregal,Obst-/Gemuesebereich oder Tiefkuehlung fuer schwarze Johannisbeeren,BLACK_CURRANT wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BLACK_CURRANT,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich oder Tiefkuehlung fuer schwarze Johannisbeeren,"BLACK_CURRANT wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BLACK_PEPPER,Georgia,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,"Gewuerzregal fuer getrockneten schwarzen Pfeffer, ganz oder gemahlen; keine Frischeabteilung","BLACK_PEPPER wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
BLACK_PEPPER,Tobias,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,"Gewuerzregal fuer getrockneten schwarzen Pfeffer, ganz oder gemahlen; keine Frischeabteilung","BLACK_PEPPER wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
BLACK_TEA,Georgia,Obst-/Gemuesebereich,Tee-/Heissgetraenkeregal fuer schwarzen Tee,BLACK_TEA wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BLACK_TEA,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Tee-/Heissgetraenkeregal fuer schwarzen Tee,"BLACK_TEA wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BLACKBERRY,Georgia,Getraenke-/Weinregal,Obst-/Gemuesebereich oder Tiefkuehlung fuer Brombeeren,BLACKBERRY wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BLACKBERRY,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich oder Tiefkuehlung fuer Brombeeren,"BLACKBERRY wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BLOOD_ORANGE,Georgia,Getraenke-/Weinregal,Obst-/Gemuesebereich fuer Blutorangen,BLOOD_ORANGE wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BLOOD_ORANGE,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich fuer Blutorangen,"BLOOD_ORANGE wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BLUEBERRY,Georgia,Getraenke-/Weinregal,Obst-/Gemuesebereich oder Tiefkuehlung fuer Heidelbeeren,BLUEBERRY wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BLUEBERRY,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich oder Tiefkuehlung fuer Heidelbeeren,"BLUEBERRY wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BREAD,Georgia,Trockensortiment/Reis-Mehl-Nudeln,"Brotregal, Backstation oder Baeckereitheke fuer fertiges Brot",Die zuerst genannte Warengruppe verwechselte das fertige Brot mit seinen Grundzutaten; die finale Notiz fuehrt den Brotweg.,ROUTE_VERIFIED
BROAD_BEANS,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Dicke Bohnen beziehungsweise Ackerbohnen; frisch, tiefgekühlt oder getrocknet verwendbar und nicht mit grünen Bohnen gleichzusetzen.",BROAD_BEANS wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
BROAD_BEANS,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Dicke Bohnen beziehungsweise Ackerbohnen; frisch, tiefgekühlt oder getrocknet verwendbar und nicht mit grünen Bohnen gleichzusetzen.","BROAD_BEANS wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
BROWN_CHAMPIGNON,Georgia,Fleischtheke/Metzgereisortiment,Obst-/Gemuesebereich bzw. Pilzsortiment fuer braune Champignons,BROWN_CHAMPIGNON wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BROWN_CHAMPIGNON,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich bzw. Pilzsortiment fuer braune Champignons,"BROWN_CHAMPIGNON wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BUTTER_BEANS,Georgia,Molkerei-/Kaesebereich,Konserven-/Huelsenfruechteregal fuer Limabohnen,BUTTER_BEANS wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BUTTER_BEANS,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Konserven-/Huelsenfruechteregal fuer Limabohnen,"BUTTER_BEANS wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
BUTTERNUT_SQUASH,Georgia,Molkerei-/Kaesebereich,Obst-/Gemuesebereich fuer Butternutkuerbis,BUTTERNUT_SQUASH wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
BUTTERNUT_SQUASH,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Obst-/Gemuesebereich fuer Butternutkuerbis,"BUTTERNUT_SQUASH wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
CALAMANSI,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Kleine südostasiatische Zitrusfrucht mit aromatischem, deutlich saurem Saft; frisch oder als ungesüßter Saft verwendbar.",CALAMANSI wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
CALAMANSI,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Kleine südostasiatische Zitrusfrucht mit aromatischem, deutlich saurem Saft; frisch oder als ungesüßter Saft verwendbar.","CALAMANSI wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
CANNED_CHAMPIGNONS,Georgia,Fleischtheke/Metzgereisortiment,Konservenregal fuer Champignons in Dose oder Glas,CANNED_CHAMPIGNONS wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
CANNED_CHAMPIGNONS,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Konservenregal fuer Champignons in Dose oder Glas,"CANNED_CHAMPIGNONS wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
CANNED_SARDINES,Georgia,Fischtheke/-kuehlung,Fischkonservenregal fuer gegarte Sardinen in Dose,CANNED_SARDINES wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
CANNED_SARDINES,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Fischkonservenregal fuer gegarte Sardinen in Dose,"CANNED_SARDINES wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
CANNED_TOMATOES,Georgia,Obst-/Gemuesebereich,Konservenregal fuer Dosentomaten,CANNED_TOMATOES wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
CANNED_TOMATOES,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Konservenregal fuer Dosentomaten,"CANNED_TOMATOES wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
CANNED_TUNA,Georgia,Fischtheke/-kuehlung,Fischkonservenregal fuer gegarten Thunfisch in Dose,CANNED_TUNA wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
CANNED_TUNA,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Fischkonservenregal fuer gegarten Thunfisch in Dose,"CANNED_TUNA wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
CARDAMOM,Georgia,Obst-/Gemuesebereich,Gewuerzregal fuer Kardamom,CARDAMOM wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
CARDAMOM,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Gewuerzregal fuer Kardamom,"CARDAMOM wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
CASHEW_BUTTER,Georgia,Molkerei-/Kaesebereich,Brotaufstrich-/Nussmusregal fuer Cashewmus,CASHEW_BUTTER wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
