"evidence_id","checked_on","concept_code","product_form","market_scope","market_breadth","person_relevance","supported_rating","evidence_role","source_name","url","availability_status","shipping_scope","logistics","search_terms","finding","limitations"
"AV2N-QA-0005","2026-09-04","POLENTA","Maisgrieß beziehungsweise daraus gegarte schnittfeste oder cremige Polenta; Körnung und Vorbehandlung bleiben offen.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE – Bio Polenta 500 g","https://www.rewe.de/shop/p/rewe-bio-polenta-500g/7270210","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Polenta Maisgrieß REWE Bio gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle REWE-Produktseite führt reinen Maisgrieß als Polenta und belegt für Georgia eine formtreue Packware im gewöhnlichen Getreide- und Grießsortiment.","Der konkrete Filialbestand ist standortabhängig; die unabhängige lokale Drogeriemarkt-Ausweichquelle AV2N-QA-0006 verhindert die Abhängigkeit von einem einzelnen Listing."
"AV2N-QA-0006","2026-09-04","POLENTA","Maisgrieß beziehungsweise daraus gegarte schnittfeste oder cremige Polenta; Körnung und Vorbehandlung bleiben offen.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","dmBio – Maisgrieß Polenta 500 g","https://www.dm.de/p/d/1446512/dmbio-maisgriess-polenta","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe dm-Filialen im Raum Bornheim mit Filialverfügbarkeitsprüfung; keine Spezialmarktquelle nötig","STANDARD_LOCAL","Polenta Maisgrieß dmBio dm Bornheim gewöhnlicher lokaler Drogeriemarkt Produktseite lieferbar","Die offizielle dm-Produktseite führt reinen Maisgrieß als dauerhaftes Eigenmarkenprodukt und bietet Georgia neben REWE einen unabhängigen gewöhnlichen lokalen Packwarenweg.","Die Seite bestätigt deutschlandweite Lieferbarkeit und ermöglicht die Filialprüfung; der konkrete Bornheimer Regalbestand bleibt vor dem Einkauf zu prüfen."
"AV2N-QA-0007","2026-09-04","SHELLFISH","Offene Vorgabe für Schalen- und Krustentiere, insbesondere Krebstiere und zweischalige Muscheln.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE ja! – Eismeergarnelen 100 g","https://www.rewe.de/shop/p/ja-eismeergarnelen-100g/9544145","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Schalen Krustentiere Eismeergarnelen REWE ja gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle REWE-Produktseite führt verzehrfertige Eismeergarnelen der Eigenmarke und erfüllt die offene Schalen- und Krustentierform über gewöhnliche Kühlware für Georgia.","Der Artikelbestand kann filialabhängig sein; als unabhängige TK-Ausweichquelle dient das EDEKA-Sortimentsprodukt AV2N-QA-0008."
"AV2N-QA-0008","2026-09-04","SHELLFISH","Offene Vorgabe für Schalen- und Krustentiere, insbesondere Krebstiere und zweischalige Muscheln.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","EDEKA – Eismeer-Garnelen 225 g","https://www.edeka.de/unsere-marken/produkte/edeka-eismeer-garnelen-4311501488089.jsp","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe EDEKA-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Schalen Krustentiere Eismeergarnelen EDEKA tiefgekühlt gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle EDEKA-Produktseite führt tiefgekühlte Eismeer-Garnelen und belegt für Georgia eine vom REWE-Kühlartikel unabhängige formtreue Alltagsausweichquelle.","Nicht jeder EDEKA-Markt führt jeden Artikel; die unabhängigen Kühl- und TK-Wege stützen gemeinsam die hohe Trefferwahrscheinlichkeit der offenen Produktform."
"AV2E-001","2026-09-04","ONION","Zwiebel: Küchenzwiebel mit schwefelig-scharfem, beim Garen süßlichem Aroma; gelbe beziehungsweise braune Standardsorte gemeint.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-001)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Zwiebel Küchenzwiebel mit schwefelig-scharfem, beim Garen süßlichem Aroma Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Zwiebel in Bezug auf Georgia|Tobias; Kerngrund: Gewöhnlicher lokaler Supermarkt- und Discounterstandard mit sehr hoher Trefferwahrscheinlichkeit.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Küchenzwiebel mit schwefelig-scharfem, beim Garen süßlichem Aroma; gelbe beziehungsweise braune Standardsorte gemeint.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-002","2026-09-04","POTATO","Kartoffel: Kartoffel als stärkehaltige Knolle; Sorte, Kochtyp und Zubereitungsform bleiben offen.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-002)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Kartoffel Kartoffel als stärkehaltige Knolle Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Kartoffel in Bezug auf Georgia|Tobias; Kerngrund: Gewöhnlicher lokaler Supermarkt- und Discounterstandard mit alltäglichen Ausweichquellen.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Kartoffel als stärkehaltige Knolle; Sorte, Kochtyp und Zubereitungsform bleiben offen.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-003","2026-09-04","CHICKEN","Hähnchen: Hähnchenfleisch ohne Festlegung auf einen Zuschnitt; ganzes Tier und unterschiedliche Teilstücke sind umfasst.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-003)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Hähnchen Hähnchenfleisch ohne Festlegung auf einen Zuschnitt Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Hähnchen in Bezug auf Georgia|Tobias; Kerngrund: Gängige Hähnchenformen gehören zum gewöhnlichen lokalen Supermarktsortiment.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Hähnchenfleisch ohne Festlegung auf einen Zuschnitt; ganzes Tier und unterschiedliche Teilstücke sind umfasst.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-004","2026-09-04","FISH","Fisch: Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-004)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Fisch Offene Vorgabe für Speisefisch Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Fisch in Bezug auf Georgia|Tobias; Kerngrund: Der offene Begriff kann durch gängigen frischen oder tiefgekühlten Speisefisch aus dem normalen Supermarkt erfüllt werden.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-005","2026-09-04","YOGURT","Joghurt: Durch Milchsäurekulturen gesäuerte Milch mit cremiger bis stichfester Textur; natur und ohne prägende Zusätze gemeint.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-005)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Joghurt Durch Milchsäurekulturen gesäuerte Milch mit cremiger bis stichfester Textur Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Joghurt in Bezug auf Georgia|Tobias; Kerngrund: Breiter Supermarkt- und Discounterstandard.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Durch Milchsäurekulturen gesäuerte Milch mit cremiger bis stichfester Textur; natur und ohne prägende Zusätze gemeint.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-006","2026-09-04","SAUERKRAUT","Sauerkraut: Milchsauer fermentierter fein geschnittener Weißkohl mit deutlicher Säure; roh oder gegart verwendbar.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-006)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Sauerkraut Milchsauer fermentierter fein geschnittener Weißkohl mit deutlicher Säure Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Sauerkraut in Bezug auf Georgia|Tobias; Kerngrund: Konserve, Beutel oder Kühlware sind im allgemeinen lokalen Handel regelmäßig vorhanden.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Milchsauer fermentierter fein geschnittener Weißkohl mit deutlicher Säure; roh oder gegart verwendbar.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-007","2026-09-04","BEER","Bier: Vergorenes Getreidegetränk als Kochzutat; Bierstil, Malzigkeit und Hopfenbittere bleiben bewusst wählbar.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-007)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Bier Vergorenes Getreidegetränk als Kochzutat Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Bier in Bezug auf Georgia|Tobias; Kerngrund: Breiter allgemeiner Supermarkt- und Discounterstandard; die ungewöhnliche Kochverwendung bleibt davon getrennt.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Vergorenes Getreidegetränk als Kochzutat; Bierstil, Malzigkeit und Hopfenbittere bleiben bewusst wählbar.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-008","2026-09-04","COFFEE","Kaffee: Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen als bitter-röstige Kochzutat.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-008)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Kaffee Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen als bitter-röstige Kochzutat Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Kaffee in Bezug auf Georgia|Tobias; Kerngrund: Breiter allgemeiner Supermarkt- und Discounterstandard.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen als bitter-röstige Kochzutat.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-009","2026-09-04","CORIANDER_SEED","Koriandersaat: Getrocknete Korianderfrüchte mit warmem, zitrisch-nussigem Aroma; ganz oder gemahlen, nicht Koriandergrün.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-009)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Koriandersaat Getrocknete Korianderfrüchte mit warmem, zitrisch-nussigem Aroma Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Koriandersaat in Bezug auf Georgia|Tobias; Kerngrund: Gewöhnliches Gewürzregal größerer wie auch vieler kleinerer Supermärkte.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Getrocknete Korianderfrüchte mit warmem, zitrisch-nussigem Aroma; ganz oder gemahlen, nicht Koriandergrün.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-010","2026-09-04","GARLIC","Knoblauch: Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma; frisch gemeint, nicht Pulver.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-010)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Knoblauch Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Knoblauch in Bezug auf Georgia|Tobias; Kerngrund: Gewöhnlicher lokaler Obst- und Gemüsestandard.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma; frisch gemeint, nicht Pulver.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-011","2026-09-04","RICE","Reis: Reiskorn als Kochzutat; Sorte, Kornlänge, Vollkornanteil und Klebrigkeit bleiben bewusst wählbar.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-011)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Reis Reiskorn als Kochzutat Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Reis in Bezug auf Georgia|Tobias; Kerngrund: Der offene Begriff lässt sich in jedem gewöhnlichen Supermarkt zuverlässig erfüllen.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Reiskorn als Kochzutat; Sorte, Kornlänge, Vollkornanteil und Klebrigkeit bleiben bewusst wählbar.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
"AV2E-012","2026-09-04","LIQUORICE","Lakritz: Lakritzware mit süßen und salzigen Ausprägungen, auch als Kochzutat verwendbar; nicht Süßholzwurzel oder reiner Lakritzextrakt.","GERMANY_EU","GENERAL_LOCAL","Georgia|Tobias","EASY","ANCHOR_APPROVAL","availability-reference-anchors-v2-20260904.csv + availability-reference-anchor-decisions-v2-20260904.csv (AV2-012)","","PERSONALLY_CONFIRMED","Georgia: Raum Bornheim; Tobias: Raum Rostock","STANDARD_LOCAL","Lakritz Lakritzware mit süßen und salzigen Ausprägungen, auch als Kochzutat verwendbar Georgia Bornheim Köln Düsseldorf Tobias Rostock EASY Marktbreite Produktform Beschaffung","Die menschliche v2-Ankerfreigabe bestätigt EASY für Lakritz in Bezug auf Georgia|Tobias; Kerngrund: Gewöhnliche Lakritzware ist im allgemeinen Süßwarensortiment zuverlässig erhältlich.","Redaktionelle Ankerfreigabe für Georgia|Tobias, keine Händler- oder Live-Bestandsprüfung; die exakte Form „Lakritzware mit süßen und salzigen Ausprägungen, auch als Kochzutat verwendbar; nicht Süßholzwurzel oder reiner Lakritzextrakt.“ ist bei nachgelagerter Marktevidenz gesondert zu prüfen."
