"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class"	"market_basis"	"proposed_availability"	"availability_note"	"evidence_requirement"	"evidence_search_terms"	"availability_evidence"	"review_flags"	"approval_status"
"ALMOND_BUTTER"	"Mandelmus"	"APPLICABLE"	"Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma."	"GENERAL_BROAD"	"Tobias prüft „Mandelmus“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler."	"PLANNED"	"Über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler prüft Tobias in Rostock „Mandelmus“, wobei folgende Abgrenzung gilt: „Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.“"	"OPTIONAL"	"Mandelmus Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; Tobias Rostock Nuss Samen Mus genaue Rohware; Mandeln / Nuss- oder Samenpaste; gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler; gezielter Einkauf Deutschland Wochenvorlauf; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND_DRINK"	"Mandeldrink"	"APPLICABLE"	"Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst."	"GENERAL_LOCAL"	"Tobias prüft „Mandeldrink“ in Rostock über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Mandeldrink“, wobei folgende Abgrenzung gilt: „Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst.“"	"OPTIONAL"	"Mandeldrink Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind…; Tobias Rostock Pflanzendrink genaue Basis gesüßt ungesüßt; pflanzlicher Drink; Das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"AMARANTH"	"Amaranth"	"APPLICABLE"	"Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar."	"GENERAL_BROAD"	"Für „Amaranth“ führt der Rostocker Marktweg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler."	"PLANNED"	"Den Weg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler nutzt Tobias in Rostock für „Amaranth“, wobei folgende Abgrenzung gilt: „Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.“"	"OPTIONAL"	"Amaranth Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; Tobias Rostock Getreide Stärke Teigware genaue Form; Getreide oder Pseudogetreide; gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler; gezielter Einkauf Deutschland Wochenvorlauf; die geforderte ganze oder körnige Form"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHO_CHILI"	"Ancho-Chili"	"APPLICABLE"	"Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano."	"SPECIALTY_BROAD"	"Tobias prüft „Ancho-Chili“ in Rostock über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand ausweist."	"SPECIALTY"	"Über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili (Evidenzstand: eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand) prüft Tobias in Rostock „Ancho-Chili“, wobei folgende Abgrenzung gilt: „Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano.“"	"REQUIRED"	"Ancho-Chili Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem…; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; getrocknete Chili; MTG Gewürze – Ancho Chili | Hola Mexico – mexikanischer Fachhandel; mehrere unabhängige Fachhändler Marktbreite; die getrocknete Produktform"	"AV2N-A-0003|AV2N-A-0004"	"TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|FORM_SENSITIVE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHOVIES"	"Sardellen"	"APPLICABLE"	"Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf."	"GENERAL_LOCAL"	"Tobias prüft „Sardellen“ in Rostock über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Sardellen“, wobei folgende Abgrenzung gilt: „Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.“"	"OPTIONAL"	"Sardellen Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake…; Tobias Rostock Fisch Seafood exakte Art Konserve Trockenware; fettreicher Fisch; Das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die konservierte Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANNATTO"	"Annatto"	"APPLICABLE"	"Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar."	"SPECIALTY_BROAD"	"Tobias prüft „Annatto“ in Rostock über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen, wobei die Evidenz ein dokumentiertes laufendes Angebot und Standardversand ausweist."	"SPECIALTY"	"Über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen (Evidenzstand: ein dokumentiertes laufendes Angebot und Standardversand) prüft Tobias in Rostock „Annatto“, wobei folgende Abgrenzung gilt: „Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar.“"	"REQUIRED"	"Annatto Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild…; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; Gewürz oder trockenes Würzmittel; My Asia Shop – Annatto Samen | Asia4Friends – Gewürze; mehrere unabhängige Fachhändler Marktbreite; die gemahlene oder pulverisierte Form"	"AV2N-A-0005|AV2N-A-0006"	"TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE"	"Apfel"	"APPLICABLE"	"Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen."	"GENERAL_LOCAL"	"Tobias prüft „Apfel“ in Rostock über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Apfel“, wobei folgende Abgrenzung gilt: „Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.“"	"OPTIONAL"	"Apfel Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit…; Tobias Rostock Obst frisch TK genaue Sorte; Kernobst; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die verlangte frische Form"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE_CIDER_VINEGAR"	"Apfelessig"	"APPLICABLE"	"Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider."	"GENERAL_LOCAL"	"Die Beschaffung von „Apfelessig“ erfolgt in Rostock über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „Apfelessig“ kontrolliert Tobias den Rostocker Bezug über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.“"	"OPTIONAL"	"Apfelessig Aus Apfelwein vergorener Essig mit fruchtiger Säure; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Essig; Das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"APRICOT"	"Aprikose"	"APPLICABLE"	"Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch."	"GENERAL_LOCAL"	"Tobias prüft „Aprikose“ in Rostock über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Aprikose“, wobei folgende Abgrenzung gilt: „Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.“"	"OPTIONAL"	"Aprikose Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit…; Tobias Rostock Obst frisch TK genaue Sorte; Steinobst; Der Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die zugelassene Frisch- oder Tiefkühlform"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AQUAVIT"	"Aquavit"	"APPLICABLE"	"Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt."	"GENERAL_BROAD"	"Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd, ein verlässlicher Rostocker Regalbestand ist dagegen nicht belegt."	"PLANNED"	"Tobias kann den exakten Dill-Kümmel-Aquavit kurzfristig bei Conalco bestellen; für Rostock ist damit eine planbare Route, aber kein spontaner Alltagskauf nachgewiesen."	"REQUIRED"	"O.P. Anderson Aquavit Dill Kümmel Bio Conalco Lager Rostock Versand"	"AV2N-A-0007"	"TOBIAS_ROSTOCK_PROFILE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"ARTICHOKE"	"Artischocke"	"APPLICABLE"	"Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar."	"GENERAL_BROAD"	"Rapunzel Onlineshop – Artischockenherzen in Lake 200 g belegt formgenau: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware. Für Tobias in Rostock gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; 1–3 Werktage; Logistik STANDARD_SHIPPING. Belegt ist die schlicht konservierte Form, nicht die saisonale frische Knospe; nach Öffnung muss das Glas gekühlt werden."	"PLANNED"	"Die Beschaffung von Tobias am Standort Rostock: Für Artischocke trägt die konservierte Form als ganze Herzen in Lake den geplanten Weg; frische Knospen werden daraus nicht abgeleitet."	"REQUIRED"	"Artischockenherzen Lake 200 g Rapunzel sofort verfügbar Deutschland | Tobias in Rostock | IN_STOCK STANDARD_SHIPPING"	"AV2N-A-0008|AV2N-P-0001"	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"ARUGULA"	"Rucola"	"APPLICABLE"	"Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar."	"GENERAL_LOCAL"	"Für „Rucola“ führt der Rostocker Marktweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Den Weg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts nutzt Tobias in Rostock für „Rucola“, wobei folgende Abgrenzung gilt: „Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar.“"	"OPTIONAL"	"Rucola Pfeffrig-scharfer Blattsalat, auch Rauke genannt; Tobias Rostock Gemüse frisch TK genaue Sorte; Blattsalat; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ASPARAGUS"	"Spargel"	"APPLICABLE"	"Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung."	"GENERAL_LOCAL"	"Die Beschaffung von „Spargel“ erfolgt in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „Spargel“ kontrolliert Tobias den Rostocker Bezug über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung.“"	"OPTIONAL"	"Spargel Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind…; Tobias Rostock Gemüse frisch TK genaue Sorte; Stängelgemüse; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AVOCADO"	"Avocado"	"APPLICABLE"	"Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl."	"GENERAL_LOCAL"	"Für „Avocado“ führt der Rostocker Marktweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Den Weg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts nutzt Tobias in Rostock für „Avocado“, wobei folgende Abgrenzung gilt: „Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl.“"	"OPTIONAL"	"Avocado Cremige, fettreiche Frucht mit mild-nussigem Geschmack; Tobias Rostock Obst frisch TK genaue Sorte; Tropenfrucht; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
