concept_code	display_name	review_applicability	cooking_novelty	availability_georgia	availability_tobias	availability_note_georgia	availability_note_tobias	novelty_approval_origin	availability_georgia_approval_origin	availability_tobias_approval_origin	availability_note_georgia_approval_origin	availability_note_tobias_approval_origin	overall_approval_origin	final_acceptance_status	base_draw_weight_review	source_provenance	catalog_commit	review_version
ALMOND_BUTTER	Mandelmus	APPLICABLE	2	PLANNED	PLANNED	Mandelmus ist über einen vorbereiteten Einkauf im gut sortierten Bereich »Aufstrich-, Nussmus- oder Feinkostregal« im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel.	Mandelmus: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Nuss- oder Biohändler.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ALMOND_DRINK	Mandeldrink	APPLICABLE	2	EASY	EASY	Mandeldrink: gewöhnlicher lokaler Bezugsweg über den Bereich »Regal für haltbare oder gekühlte Pflanzendrinks«.	Mandeldrink: Rostocker Bezugsweg über das Pflanzendrinkregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AMARANTH	Amaranth	APPLICABLE	2	PLANNED	PLANNED	Amaranth ist über eine gezielte Filial- oder Bestellprüfung für Getreide- oder Stärkeware im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel.	Amaranth: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ANCHOVIES	Sardellen	APPLICABLE	2	EASY	EASY	Sardellen: gewöhnlicher lokaler Bezugsweg über den Bereich »Fischkonserven- oder internationales Trockenwarenregal«.	Sardellen: Rostocker Bezugsweg über das Fischkonserven- oder haltbare Seafood-Regal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ANCHO_CHILI	Ancho-Chili	APPLICABLE	3	SPECIALTY	SPECIALTY	Ancho-Chili ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler MTG Gewürze – Ancho Chili sowie Hola Mexico – mexikanischer Fachhandel.	Ancho-Chili: Rostocker Bezugsweg über Hola Mexico – mexikanischer Fachhandel und MTG Gewürze – Ancho Chili; dokumentiert sind eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ANNATTO	Annatto	APPLICABLE	3	SPECIALTY	SPECIALTY	Annatto ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler My Asia Shop – Annatto Samen sowie Asia4Friends – Gewürze.	Annatto: Rostocker Bezugsweg über Asia4Friends – Gewürze und My Asia Shop – Annatto Samen; dokumentiert sind ein dokumentiertes laufendes Angebot und Standardversand.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
APPLE	Apfel	APPLICABLE	1	EASY	EASY	Apfel: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Apfel: Rostocker Bezugsweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
APPLE_CIDER_VINEGAR	Apfelessig	APPLICABLE	1	EASY	EASY	Apfelessig: gewöhnlicher lokaler Bezugsweg über den Bereich »Essig- und Ölregal«.	Apfelessig: gewöhnlicher lokaler Bezugsweg über den Bereich »Apfelessig«.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
APRICOT	Aprikose	APPLICABLE	2	EASY	EASY	Aprikose: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Aprikose: Rostocker Bezugsweg über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AQUAVIT	Aquavit	APPLICABLE	4	PLANNED	PLANNED	Aquavit: Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd und kurzfristig lieferbar, während ein regulärer Bornheimer Spirituosenbestand nicht vorausgesetzt wird.	Aquavit: Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd, ein verlässlicher Rostocker Regalbestand ist dagegen nicht belegt.	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	APPROVED_FINAL		AI_REVIEW_BASE|HUMAN_CHARGE_6	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ARTICHOKE	Artischocke	APPLICABLE	2	PLANNED	PLANNED	Artischocke: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware.	Artischocke: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ARUGULA	Rucola	APPLICABLE	1	EASY	EASY	Rucola: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Rucola: Rostocker Bezugsweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ASPARAGUS	Spargel	APPLICABLE	1	EASY	EASY	Spargel: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Spargel: gewöhnlicher lokaler Bezugsweg über den Bereich »Spargel«.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AVOCADO	Avocado	APPLICABLE	1	EASY	EASY	Avocado: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Avocado: Rostocker Bezugsweg über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BACON	Bacon	APPLICABLE	1	EASY	EASY	Bacon: gewöhnlicher lokaler Bezugsweg über den Bereich »Wurstkühlung oder Bedientheke«.	Bacon: Rostocker Bezugsweg über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAGOONG	Bagoong	APPLICABLE	3	DIFFICULT	DIFFICULT	Bagoong bleibt auf wenige philippinische Importhändler beschränkt; mehrere Listings bilden noch keinen breiten allgemeinen Asia-Spezialmarkt.	Bagoong bleibt auf wenige philippinische Importhändler beschränkt; mehrere Listings bilden noch keinen breiten allgemeinen Asia-Spezialmarkt.	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	HUMAN_EXPLICIT	APPROVED_FINAL		AI_REVIEW_BASE|NOVELTY_REFERENCE_ANCHOR_HUMAN|AVAILABILITY_V2_ANCHOR_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAGOONG_ALAMANG	Bagoong alamang	APPLICABLE	3	DIFFICULT	DIFFICULT	Bagoong alamang bleibt auf wenige philippinische Importhändler mit wechselnden Varianten und Beständen beschränkt.	Bagoong alamang bleibt auf wenige philippinische Importhändler mit wechselnden Varianten und Beständen beschränkt.	AI_BULK_ACCEPTED	HUMAN_EXPLICIT	HUMAN_EXPLICIT	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	MIXED	APPROVED_FINAL		AI_REVIEW_BASE|AVAILABILITY_V2_ANCHOR_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAGOONG_ISDA	Bagoong isda	APPLICABLE	3	DIFFICULT	DIFFICULT	Fischbasiertes Bagoong ist nur über wenige philippinische Importwege belegt; regionale Varianten erhöhen die Formverwechslungsgefahr.	Fischbasiertes Bagoong ist nur über wenige philippinische Importwege belegt; regionale Varianten erhöhen die Formverwechslungsgefahr.	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	HUMAN_EXPLICIT	APPROVED_FINAL		AI_REVIEW_BASE|NOVELTY_REFERENCE_ANCHOR_HUMAN|AVAILABILITY_V2_ANCHOR_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAGUETTE	Baguette	APPLICABLE	1	EASY	EASY	Baguette: Frisches oder aufgebackenes Baguette liegt im Brot- und Backwarenbereich gewöhnlicher Bornheimer Vollsortimenter, an Backstation oder Bäckereitheke.	Baguette: Rostocker Bezugsweg über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAKED_GOODS	Backware	NOT_APPLICABLE_STRUCTURE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE			HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	NOT_APPLICABLE	NOT_APPLICABLE	HUMAN_EXPLICIT	APPROVED_FINAL		AI_REVIEW_BASE|STRUCTURE_DECISION_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BALSAMIC_VINEGAR	Balsamico	APPLICABLE	1	EASY	EASY	Balsamico: gewöhnlicher lokaler Bezugsweg über den Bereich »Essig- und Ölregal«.	Balsamico: gewöhnlicher lokaler Bezugsweg über den Bereich »Balsamico«.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAMBOO_SHOOTS	Bambussprossen	APPLICABLE	2	PLANNED	PLANNED	Bambussprossen ist über eine gezielte Filial- oder Bestellprüfung für konservierte Pflanzenware im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel.	Bambussprossen: Rostocker Bezugsweg über gut sortierte Vollsortimenter und etablierte deutsche Händler für haltbare Gemüseformen.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BANANA	Banane	APPLICABLE	2	EASY	EASY	Banane: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Banane: gewöhnlicher lokaler Bezugsweg über den Bereich »Banane«.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BANANA_BLOSSOM	Bananenblüte	APPLICABLE	3	SPECIALTY	SPECIALTY	Bananenblüte: Konservierte Ware ist bei vielen breit aufgestellten Asia-Händlern regulär erhältlich.	Bananenblüte: Konservierte Ware ist bei vielen breit aufgestellten Asia-Händlern regulär erhältlich.	AI_BULK_ACCEPTED	HUMAN_EXPLICIT	HUMAN_EXPLICIT	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	MIXED	APPROVED_FINAL		AI_REVIEW_BASE|AVAILABILITY_V2_ANCHOR_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BANANA_KETCHUP	Bananenketchup	APPLICABLE	3	SPECIALTY	SPECIALTY	Bananenketchup ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler PinoyFood – UFC Banana Sauce Sweet & Spicy sowie Asia Foodstore – UFC Banana Sauce.	Bananenketchup: Rostocker Bezugsweg über Asia Foodstore – UFC Banana Sauce und PinoyFood – UFC Banana Sauce Sweet & Spicy; dokumentiert sind beim Abruf verfügbaren Bestand und Standardversand.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BANANA_LEAVES	Bananenblätter	APPLICABLE	3	SPECIALTY	SPECIALTY	Bananenblätter: Frisch oder TK bei mehreren breit aufgestellten Asia-Händlern üblich; lokale Zufallsfunde ändern die Marktklasse nicht.	Bananenblätter: Frisch oder TK bei mehreren breit aufgestellten Asia-Händlern üblich; lokale Zufallsfunde ändern die Marktklasse nicht.	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	HUMAN_EXPLICIT	APPROVED_FINAL		AI_REVIEW_BASE|NOVELTY_REFERENCE_ANCHOR_HUMAN|AVAILABILITY_V2_ANCHOR_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BARBECUE_SAUCE	Barbecuesauce	APPLICABLE	2	EASY	EASY	Barbecuesauce: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«.	Barbecuesauce: gewöhnlicher lokaler Bezugsweg über den Bereich »Barbecuesauce«.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BARLEY	Gerste	APPLICABLE	2	PLANNED	PLANNED	Gerste ist über eine geplante Fahrt zu einem großen Markt mit dem Sortiment »Reis-, Mehl-, Nudel- oder Trockenwarenregal« im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel.	Gerste: Die Beschaffung von „Gerste“ erfolgt in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BASIL	Basilikum	APPLICABLE	1	EASY	EASY	Basilikum: gewöhnlicher lokaler Bezugsweg über den Bereich »frische Kräuterabteilung«.	Basilikum: Rostocker Bezugsweg über die Kräuterkühlung der Obst- und Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BASMATI_RICE	Basmatireis	APPLICABLE	1	EASY	EASY	Basmatireis: gewöhnlicher lokaler Bezugsweg über den Bereich »Reis-, Mehl-, Nudel- oder Trockenwarenregal«.	Basmatireis: Rostocker Bezugsweg über das Getreide-, Mehl-, Reis- oder Teigwarenregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
BAY_LEAF	Lorbeerblatt	APPLICABLE	1	EASY	EASY	Lorbeerblatt: gewöhnlicher lokaler Bezugsweg über den Bereich »Gewürzregal, ergänzend frische Kräuterabteilung«.	Lorbeerblatt: Rostocker Bezugsweg über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
