"concept_code"	"display_name"	"previous_cooking_novelty"	"proposed_cooking_novelty"	"delta"	"absolute_delta"	"novelty_rationale"	"review_flags"
"BACON"	"Bacon"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BAGOONG"	"Bagoong"	"4"	"3"	"-1"	"1"	"In philippinischen Gerichten konventionell, gemeinsam aber klar kontext- und richtungsgebunden."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"BAGOONG_ALAMANG"	"Bagoong alamang"	"4"	"3"	"-1"	"1"	"Die fermentierte Garnelenwürze ist im philippinischen Kontext konventionell, außerhalb davon stark richtungsgebend."	"CHANGED_FROM_BASELINE"
"BAGOONG_ISDA"	"Bagoong isda"	"4"	"3"	"-1"	"1"	"Die fermentierte Fischwürze ist im philippinischen Kontext konventionell, außerhalb davon stark richtungsgebend."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"BAMBOO_SHOOTS"	"Bambussprossen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BANANA"	"Banane"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BANANA_BLOSSOM"	"Bananenblüte"	"4"	"3"	"-1"	"1"	"Als Gemüse in süd- und südostasiatischen Gerichten etabliert, im gemeinsamen Alltag jedoch klar richtungsgebend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"BANANA_KETCHUP"	"Bananenketchup"	"4"	"3"	"-1"	"1"	"Philippinische Würzsauce mit vertrauter Saucenrolle, aber deutlich kontextgebundenem Geschmacksprofil."	"CHANGED_FROM_BASELINE"
"BANANA_LEAVES"	"Bananenblätter"	"4"	"3"	"-1"	"1"	"Als aromatisierende Garhülle etabliert, aber die Verwendung legt Technik und kulinarische Richtung deutlich fest."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"BEAN_SPROUTS"	"Mungbohnensprossen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BEEF_CHEEK"	"Rinderbäckchen"	"4"	"2"	"-2"	"2"	"Rinderbäckchen besitzen eine klassische, unkomplizierte Schmorrolle; ihre Beschaffung ist für Novelty irrelevant."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"BEEF_HEART"	"Rinderherz"	"4"	"3"	"-1"	"1"	"Als Innerei klassisch verwertbar, für den gemeinsamen Alltag jedoch deutlich kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"BEEF_LIVER"	"Rinderleber"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BEEF_ROULADE"	"Rinderroulade"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BEEF_SHIN"	"Rinderbeinscheibe"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BEEF_SHORT_RIBS"	"Rinderrippen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BEEF_TENDERLOIN"	"Rinderfilet"	"3"	"1"	"-2"	"2"	"Rinderfilet ist ein standardisierter, breit bekannter Kurzbrat-Zuschnitt."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"BEEF_TONGUE"	"Rinderzunge"	"4"	"3"	"-1"	"1"	"Klassische Innereienküche bietet klare Wege, bleibt im gemeinsamen Alltag aber stark kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"BEER"	"Bier"	"1"	"4"	"3"	"3"	"Bier ist überwiegend Getränk; als verpflichtende Kochzutat sind die etablierten Rollen vergleichsweise eng."	"APPROVED_ANCHOR|LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"BELACAN"	"Belacan"	"4"	"3"	"-1"	"1"	"In malaysischen Gerichten konventionelle intensive Würze, gemeinsam aber klar kontextgebunden."	"CHANGED_FROM_BASELINE"
"BERBERE"	"Berbere"	"4"	"3"	"-1"	"1"	"In äthiopisch-eritreischen Gerichten konventionell, außerhalb davon stark richtungsgebend."	"CHANGED_FROM_BASELINE"
"BIRDS_EYE_CHILI"	"Bird’s-Eye-Chili"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BITTER_MELON"	"Bittermelone"	"4"	"3"	"-1"	"1"	"In mehreren asiatischen Küchen etabliertes Gemüse, dessen Bitterkeit die kulinarische Richtung deutlich prägt."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"BLACK_BEANS"	"schwarze Bohnen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BLACK_CARDAMOM"	"schwarzer Kardamom oder Thảo quả"	"4"	"3"	"-1"	"1"	"In bestimmten süd- und südostasiatischen Gerichten klassisch, durch das rauchig-harzige Aroma aber stark richtungsgebend."	"CHANGED_FROM_BASELINE"
"BLACK_CURRANT"	"schwarze Johannisbeere"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BLACK_EYED_PEAS"	"Augenbohnen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BLACK_GARLIC"	"schwarzer Knoblauch"	"4"	"3"	"-1"	"1"	"Die süßlich-umamireiche gereifte Form hat etablierte Anwendungen, wirkt aber als deutlicher Twist."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"BLACK_TEA"	"schwarzer Tee"	"2"	"4"	"2"	"2"	"Tee wird überwiegend als Getränk konsumiert; seine erkennbare Verwendung im Gericht ist auf wenige Rollen begrenzt."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"BLACK_VINEGAR"	"chinesischer schwarzer Essig"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BLUEBERRY"	"Heidelbeere"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BONE_MARROW"	"Knochenmark"	"5"	"3"	"-2"	"2"	"Klassisch geröstet oder zum Anreichern genutzt, im gemeinsamen Alltag jedoch deutlich speziell und dominierend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"BONITO_FLAKES"	"Bonitoflocken"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"BRANDY"	"Brandy oder Weinbrand"	"2"	"3"	"1"	"1"	"In Saucen, Schmorgerichten und Desserts etabliert, als verpflichtende Zutat aber klar kontextgebunden."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE"
"BRATWURST"	"Bratwurst"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BREAD_DUMPLING"	"Semmelknödel"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BRIE"	"Brie"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"BRUSSELS_WAFFLE"	"Brüsseler Waffel"	"2"	"4"	"2"	"2"	"Die fertige Waffel ist normalerweise Gebäck; ihre erkennbare Integration in ein Gericht verlangt eine konstruierte Rolle."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"BULGUR"	"Bulgur"	"1"	"2"	"1"	"1"	""	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"BUTTERMILK"	"Buttermilch"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CALAMANSI"	"Calamansi"	"4"	"3"	"-1"	"1"	"In südostasiatischen und philippinischen Anwendungen konventionelle Zitrussäure, gemeinsam aber klar richtungsgebend."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"CAMEMBERT"	"Camembert"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CANNED_CHAMPIGNONS"	"Dosenchampignons"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CANNELLINI_BEANS"	"Cannellini-Bohnen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CARP"	"Karpfen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CASHEW_BUTTER"	"Cashewmus"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CATFISH"	"Wels"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CAVA"	"Cava"	"2"	"4"	"2"	"2"	"Schaumwein wird überwiegend getrunken; als verpflichtende Kochzutat sind die etablierten Anwendungen eng."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"CHARD"	"Mangold"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CHERRY"	"Kirsche"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CHERVIL"	"Kerbel"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CHESTNUT"	"Esskastanien"	"2"	"3"	"1"	"1"	"Saisonal klassisch in Füllungen, Suppen und Süßspeisen, im Alltag jedoch klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"CHIA_SEEDS"	"Chiasamen"	"2"	"3"	"1"	"1"	"Etablierte Quell- und Backanwendungen sind vorhanden, als erkennbare Pflichtzutat bleibt die Rolle jedoch eng."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"CHICKEN_FEET"	"Hühnerfüße"	"4"	"3"	"-1"	"1"	"In Brühen, Dim Sum und südostasiatischen Gerichten konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"CHICKEN_LIVER"	"Hähnchenleber"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CHIPOTLE"	"Chipotle"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CHOCOLATE"	"Schokolade"	"1"	"2"	"1"	"1"	"Die offene Schokoladenfamilie besitzt viele etablierte herzhafte und süße Verwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"CILANTRO"	"Koriandergrün"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CLAMS"	"Venusmuscheln"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"CLOUDBERRY"	"Moltebeere"	"4"	"3"	"-1"	"1"	"In nordischen Süßspeisen und Saucen konventionell, gemeinsam jedoch klar kontextgebunden."	"BOUNDARY_3_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"COCKLES"	"Herzmuscheln"	"4"	"2"	"-2"	"2"	"Herzmuscheln folgen vertrauten Muschelrollen wie Dämpfen, Pasta, Reis oder Suppe; die konkrete Art erhöht Novelty kaum."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"COCOA_POWDER"	"Kakaopulver"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"COCONUT_OIL"	"Kokosöl"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"COCONUT_WATER"	"Kokoswasser"	"3"	"4"	"1"	"1"	"Kokoswasser wird überwiegend getrunken; als erkennbare Kochzutat sind die etablierten Rollen eng."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"COFFEE"	"Kaffee"	"3"	"4"	"1"	"1"	"Kaffee wird überwiegend getrunken; als verpflichtende Kochzutat ist er ein deutlicher röstig-bitterer Twist."	"APPROVED_ANCHOR|LEVEL_4|CHANGED_FROM_BASELINE"
"COGNAC"	"Cognac"	"2"	"3"	"1"	"1"	"Für Saucen, Flambieren und Desserts klassisch, als konkreter Weinbrand aber deutlich richtungsgebend."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE"
"COM_ME"	"Mẻ oder Cơm mẻ"	"5"	"4"	"-1"	"1"	"Die fermentierte Reiswürze hat eine enge, stark vietnamesisch geprägte Säuerungs- und Würzrolle."	"APPROVED_ANCHOR|LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"COOKING_ALCOHOL"	"Kochalkohol"	"2"	"3"	"1"	"1"	"Die offene Familie bietet mehrere klassische Kochwege, lenkt ein Gericht aber deutlich in Sauce, Marinade oder Schmoransatz."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"CORIANDER_ROOT"	"Korianderwurzel"	"4"	"3"	"-1"	"1"	"In südostasiatischen Pasten und Marinaden konventionell, außerhalb davon stark kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"CORNMEAL"	"Maismehl"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CRAYFISH"	"Flusskrebse"	"4"	"2"	"-2"	"2"	"Flusskrebse haben klassische Koch-, Suppen- und Saucenrollen; mögliche Beschaffungsfragen bleiben getrennt."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"CRISPBREAD"	"Knäckebrot"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"CROISSANT"	"Croissant"	"1"	"3"	"2"	"2"	"Als Gebäck oder Sandwichbasis etabliert, als verpflichtende Gerichtskomponente aber deutlich enger als Brot."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"CULANTRO"	"Culantro oder Sägeblattkoriander"	"5"	"3"	"-2"	"2"	"In karibischen, lateinamerikanischen und südostasiatischen Gerichten konventionelles Kraut, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"CULTURED_DAIRY"	"gesäuertes Milchprodukt"	"2"	"1"	"-1"	"1"	"Die offene Familie lässt viele vertraute säuerliche Milchprodukte und Rollen zu."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"CURRY_LEAVES"	"Curryblätter"	"4"	"3"	"-1"	"1"	"In südasiatischen Gerichten konventionell, durch ihr spezifisches Aroma aber klar richtungsgebend."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"CUTTLEFISH"	"Sepia"	"4"	"2"	"-2"	"2"	"Sepia folgt etablierten Tintenfischrollen für Grill, Pfanne, Reis und Schmorgericht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"DAING"	"Daing"	"4"	"3"	"-1"	"1"	"In der philippinischen Küche konventioneller Trockenfisch, gemeinsam aber klar kontextgebunden."	"CHANGED_FROM_BASELINE"
"DANABLU"	"Danablu"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"DANBO"	"Danbo"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"DASHI"	"Dashi"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"DATE"	"Dattel"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"DOENJANG"	"Doenjang"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"DOUBANJIANG"	"Doubanjiang"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"DRIED_APRICOT"	"getrocknete Aprikosen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"DRIED_CHILI"	"getrocknete Chili"	"2"	"1"	"-1"	"1"	"Die offene Familie umfasst viele vertraute Würzrollen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"DUCK_CONFIT"	"Entenconfit"	"4"	"3"	"-1"	"1"	"Als französische Gar- und Konservierungsform klassisch, als fertige Pflichtkomponente aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"DUCK_EGG"	"Entenei"	"4"	"2"	"-2"	"2"	"Ein frisches Entenei erfüllt dieselben breiten Back-, Brat- und Bindefunktionen wie andere Eier, mit graduellen Unterschieden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"DUCK_FAT"	"Entenfett"	"4"	"2"	"-2"	"2"	"Entenfett besitzt klare, klassische Brat-, Confit- und Verfeinerungsrollen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"DULSE"	"Dulse"	"4"	"3"	"-1"	"1"	"Als Alge und Würzzutat etabliert, gemeinsam aber eine deutlich kontextgebundene Meeresnote."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"DUMPLING_DOUGH"	"Dumpling-Teig"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"DUMPLING_WRAPPERS"	"Teigblatt oder Dumpling-Hülle"	"3"	"2"	"-1"	"1"	"Die offene Hüllenwahl bietet mehrere vertraute gefüllte oder geschichtete Anwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"EDIBLE_SNAILS"	"essbare Schnecken"	"4"	"3"	"-1"	"1"	"Die offene Schneckenfamilie hat klassische Zubereitungen, bleibt als Pflichtzutat aber deutlich speziell."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"EEL"	"Aal"	"4"	"3"	"-1"	"1"	"In japanischen und europäischen Gerichten konventionell, außerhalb davon jedoch deutlich richtungsgebend."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"EGUSI_SEEDS"	"Egusi-Samen"	"5"	"3"	"-2"	"2"	"In westafrikanischen Suppen und Eintöpfen als Binder konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"ENOKI"	"Enoki"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"ESCARGOT"	"Weinbergschnecken"	"5"	"3"	"-2"	"2"	"Klassische französische und regionale Schneckengerichte sind etabliert, die Zutat bleibt aber stark richtungsgebend."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"EVAPORATED_MILK"	"Kondensmilch"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"FARRO"	"Emmer oder Farro"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"FENALAR"	"Fenalår"	"4"	"3"	"-1"	"1"	"Als norwegisches Trockenfleisch konventionell, gemeinsam aber auf deutlich nordisch geprägte Rollen begrenzt."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"FERMENTED_BLACK_BEANS"	"fermentierte schwarze Bohnen"	"4"	"3"	"-1"	"1"	"In chinesischen Würz- und Saucenrollen konventionell, gemeinsam aber deutlich kontextgebunden."	"CHANGED_FROM_BASELINE"
"FERMENTED_CUCUMBER"	"Salzgurke"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"FERMENTED_TOFU"	"fermentierter Tofu"	"4"	"3"	"-1"	"1"	"In chinesischen und südostasiatischen Gerichten als Würzmittel konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"FIG"	"Feige"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"FINGERROOT"	"Fingerwurz"	"4"	"3"	"-1"	"1"	"In südostasiatischen Currys und Würzpasten konventionell, außerhalb davon sehr richtungsgebend."	"CHANGED_FROM_BASELINE"
"FISH_MINT"	"Fischminze"	"5"	"3"	"-2"	"2"	"In vietnamesischen Kräutertellern und Salaten konventionell, durch das intensive Aroma gemeinsam aber klar kontextgebunden."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"FISH_ROE"	"Fischrogen"	"3"	"2"	"-1"	"1"	"Die offene Rogenfamilie bietet mehrere etablierte kalte und warme Anwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"FISH_STOCK"	"Fischfond"	"3"	"1"	"-2"	"2"	"Fischfond ist eine selbstverständliche Flüssigkeits- und Saucenbasis; Bezugsaufwand verändert diese Rolle nicht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"FIVE_SPICE"	"Fünf-Gewürze-Pulver"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"FLATBROD"	"Flatbrød"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"FLAXSEED"	"Leinsamen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"FLOWER_VEGETABLES"	"Blütengemüse"	"2"	"1"	"-1"	"1"	"Die offene Familie umfasst mehrere vertraute Gemüse und Zubereitungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"FOIE_GRAS"	"Foie gras"	"5"	"3"	"-2"	"2"	"Klassische Terrinen-, Saucen- und Anrichteformen sind etabliert, die Zutat bleibt aber stark richtungsgebend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"FRANKFURT_GREEN_SAUCE"	"Frankfurter Grüne Soße"	"4"	"3"	"-1"	"1"	"Als fertige regionale Kräutersauce konventionell, jenseits ihrer typischen Begleiter aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"FREEKEH"	"Freekeh"	"4"	"3"	"-1"	"1"	"In levantinischen Getreidegerichten konventionell, im gemeinsamen Alltag aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"FRENCH_FRIES"	"Pommes frites"	"1"	"3"	"2"	"2"	"Als fertige Beilage selbstverständlich, als erkennbare Pflichtkomponente eines eigenständigen Gerichts jedoch deutlich enger."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"FRESH_TURMERIC"	"frischer Kurkuma"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"FRESHWATER_SNAILS"	"Süßwasserschnecken"	"5"	"3"	"-2"	"2"	"In vietnamesischen und anderen regionalen Gerichten konventionell, gemeinsam aber stark kontextgebunden."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"FROG_LEGS"	"Froschschenkel"	"5"	"3"	"-2"	"2"	"Klassische gebratene und geschmorte Anwendungen existieren, die Zutat bleibt gemeinsam aber deutlich speziell."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"FRUIT_DUMPLING"	"Obstknödel"	"2"	"4"	"2"	"2"	"Der bereits gefüllte süße Knödel ist nahezu ein fertiges Gericht; eine neue erkennbare Rolle muss stark darum konstruiert werden."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"GAC_FRUIT"	"Gấc-Frucht"	"5"	"4"	"-1"	"1"	"Die etablierten Kochanwendungen konzentrieren sich stark auf Färbung und wenige vietnamesische Festgerichte."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"GALANGAL"	"Galgant"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"GAME_MEAT"	"Wildfleisch"	"3"	"2"	"-1"	"1"	"Die offene Wildvorgabe bietet mehrere klassische Brat- und Schmorwege."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"GARLIC_CHIVES"	"Knoblauch-Schnittlauch"	"4"	"2"	"-2"	"2"	"Knoblauch-Schnittlauch wird wie ein etabliertes Aromakraut in Teigen, Pfannen und Füllungen verwendet."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"GHEE"	"Ghee"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"GIO_LUA"	"Giò lụa oder Chả lụa"	"4"	"3"	"-1"	"1"	"Als vietnamesische Wurst und Einlage konventionell, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"GLASS_NOODLES"	"Glasnudeln"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"GOAT"	"Ziegenfleisch"	"4"	"3"	"-1"	"1"	"In vielen regionalen Küchen konventionelles Fleisch, im gemeinsamen Alltag aber deutlich richtungsgebend."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"GOCHUGARU"	"Gochugaru"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"GOOSE"	"Gans"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"GRAPE"	"Weintrauben"	"1"	"3"	"2"	"2"	"Weintrauben werden überwiegend roh gegessen; warme und herzhafte Kochrollen sind etabliert, aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"GREEN_RICE_FLAKES"	"Cốm oder grüne Reisflocken"	"5"	"3"	"-2"	"2"	"In vietnamesischen Süßspeisen, Kuchen und Panierungen etabliert, außerhalb davon jedoch klar kontextgebunden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"GREEN_SPLIT_PEAS"	"grüne Schälerbsen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"GREEN_TEA"	"grüner Tee"	"2"	"4"	"2"	"2"	"Grüner Tee wird überwiegend getrunken; seine erkennbare Verwendung im Gericht ist auf wenige Aufguss-, Räucher- und Dessertrollen begrenzt."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"GUAVA"	"Guave"	"4"	"3"	"-1"	"1"	"Die Frucht hat etablierte Getränke-, Dessert- und Saucenrollen, bleibt als Pflichtzutat aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"HABANERO"	"Habanero"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"HALLOUMI"	"Halloumi"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
